Author,Gender,Date,Post Text,Likes,Comments,Shares,Page Link
Akash Agrawal,Male,2024-02-26,""" 30 Million "" views on a reel - all 100% organic! Our conversation with Namita is still going viral on social media 1 year later! During our Shark Tank India Season 2 pitch, a reel featuring my brother Ashish asking Namita to name a few spice brands went viral.The post was all over the internet back then, but to my surprise, it went viral again in the last few days...With marketing, I've realized that nothing can be truly predictable.No one can predict trends, but all you can do is just flow with them at times. Plus, let's be honest, who doesn't love to have a good laugh? 😂Memes, with their humor and relatability, are lethal marketing tools, conveying messages that spread widely across online platforms.Memes = Organic Growth + Relatability + Chance of ViralityAlso, let's not forget, Shark Tank itself is a cultural staple. Memorable moments from the show, like Aman Gupta's ""Hum bhi bana lenge"" and Namita Thapar's ""Ye meri expertise nahi hai,"" are immortalized in the meme history book.So much so that the sharks themselves have fun with these memes now 🤣There's so much that comes out of Shark Tank apart from the deals!P.S. - Having said that, can you name 4 spice brands? 😂PPS: The most iconic answer to the aforementioned question is still Anupam Mittal's ""Zoff, Zoff, Zoff and ZOFF""PPPS: What is your favorite meme from the show?https://lnkd.in/gEfF2w_H#d2c #sharktank #brand #marketing #startup



…see more",4931,150,39,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAO3nzQBfuJYkFoVwLugVZkyjyQWPu7WYss%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAO3nzQBfuJYkFoVwLugVZkyjyQWPu7WYss&keywords=akash%20agrawal&origin=CLUSTER_EXPANSION&position=0&searchId=70360449-c259-4c24-8181-b4d827fc7a4d&sid=NiU&sortBy=%22date_posted%22
Akash Agrawal,Male,2023-06-26,"Naya season ho ya controversy- Shark Tank is always in limelight.We are a Shark Tank funded startup ourselves and we are not in favor of the recent show related controversies!I understand and respect other people’s differing opinions. But, I wanted to share this to make sure every person knows the other side of the coin as well!As audience, you just see the grand pitch and handing over of the cheque. But in reality, a lot goes on behind the stage. ✅ You have to go through a long due diligence process! And if you can’t give solid proof of the claims you have made- Why would the sharks go ahead with the deal? Think for yourself- Would you invest in someone if you can’t trust them? ✅ People have spread rumors that the sharks ghost you. I don’t stand by this statement. Personally, Aman Gupta is the best thing that could have happened to the company. We're extremely grateful to him and his team for the constant support.I have personally seen businesses get the much needed exposure with the help of sharks. Another point to think- The sharks can’t always be at your beck and call,  right?Simple hai- Commitment comes from both sides! I have seen businesses reap benefits just after the registration process. The show helps businesses look at their business from a different approach! ZOFF will always be thankful to the show for providing us with such an amazing platform. P.s.- A huge shout out to the whole shark tank team for taking entrepreneurship in India to the next level and making startups a dinner table conversation. Thank you to the sharks for giving in so much of their time to the show and to budding entrepreneurs. Amit Jain Anupam Mittal Namita Thapar Aman Gupta Vineeta Singh Peyush BansalSony Pictures EntertainmentShark Tank India#zoff #d2c #sharktank #startup #entrepreneurship #business #india #respect #stage #controversy #linkedincommunity",2694,120,6,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAO3nzQBfuJYkFoVwLugVZkyjyQWPu7WYss%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAO3nzQBfuJYkFoVwLugVZkyjyQWPu7WYss&keywords=akash%20agrawal&origin=CLUSTER_EXPANSION&position=0&searchId=70360449-c259-4c24-8181-b4d827fc7a4d&sid=NiU&sortBy=%22date_posted%22
Akash Agrawal,Male,2024-02-26,"8th February, 2023: The day that changed ZOFF from a brand from Raipur to a brand from “INDIA”.A year ago today, our Shark Tank India episode aired & saying that “It changed our life,” would be an understatement. So many people have asked me, “How did it feel?”Honestly, it’s the hardest question Ashish Agrawal and I’ve had to answer.  But, I don’t think any other experience of my life will ever come close to this one :)Unlike a common opinion, the impact of this show is MUCH MORE than getting an investor cheque or marketing!✅We represented the Raipur ecosystem in on national level. And, it has brought in a lot of hope and encouragement in founders building from Tier 2 🔥✅I’ve been invited to so many school and college events in and outside Raipur to share my story with aspiring entrepreneurs. ✅The show gave us a mentor who changed our lives. On the show, Aman Gupta entered ZOFF as an investor, but our relationship goes much beyond. He’s always been there to guide us, help us, and show us the right direction. And, we couldn’t be more thankful!Because of the show, it feels like all we have a responsibility to spread that enthusiasm in others and create a second-level impact! I’m sure all other entrepreneurs like Chinu Kala and Siddharth DUNGARWAL, would agree with me here 🚀🙌🏻I can go on and on about this, but LinkedIn has a word limit :)So, just a heartfelt thanks to everyone who supported us, from the entire team at Shark Tank India to everyone who watches the show!PS - To the upcoming entrepreneurs of Shark Tank S3: I'm rooting for you! Whatever the outcome, DEAL or NO DEAL, your journey is just taking off.Let’s build Bharat, now and together! Jai Hind!#india #sharktank #brand #startup #entrepreneurship",959,100,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAO3nzQBfuJYkFoVwLugVZkyjyQWPu7WYss%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAO3nzQBfuJYkFoVwLugVZkyjyQWPu7WYss&keywords=akash%20agrawal&origin=CLUSTER_EXPANSION&position=0&searchId=70360449-c259-4c24-8181-b4d827fc7a4d&sid=NiU&sortBy=%22date_posted%22
Akash Agrawal,Male,2023-06-26,"From 5 failed businesses to getting an invitation from the Prime Minister's office, Aman Gupta came a long way!!Recently, he got invited by the Government of India to attend the Indo-French CEO Forum in Paris, where he spoke about 'Make In India' and Indian Startups.Apne desh ko ek international level par represent karna is the proudest moment that one can ever experience. And now, there isn’t any doubt why he is an inspiration to thousands of young entrepreneurs across India. 🔥 We, at ZOFF, feel so grateful to have him as an investor and a mentor. Your growth becomes natural when you have the support of such a dynamic and inspiring individual. Aur isse zyada khushi ki baat ek entrepreneur ke liye shayad hi ho sakti hai. ✨ Thank you for always encouraging and inspiring us, Aman!Congratulations for such an amazing feat! 🎉",648,41,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAO3nzQBfuJYkFoVwLugVZkyjyQWPu7WYss%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAO3nzQBfuJYkFoVwLugVZkyjyQWPu7WYss&keywords=akash%20agrawal&origin=CLUSTER_EXPANSION&position=0&searchId=70360449-c259-4c24-8181-b4d827fc7a4d&sid=NiU&sortBy=%22date_posted%22
Akash Agrawal,Male,2023-11-26,"A couple of years back, nobody would have thought that D2C brands would capture the market like this, much less launch an IPO. We were in for a surprise. Mamaearth launched its IPO less than 20 days ago and has been creating buzz since then. Launched at Rs. 324, it has risen by 41% in a short duration. Lekin one might wonder ki aakhir ismein badhi baat kya hai? After all, the stock market is full of shocks, and rollercoaster case studies. Mamaearth itni headlines kyun bana raha hai?The simple answer: nobody saw this coming. Despite the public support and good financials, critics are of the opinion that the future of D2C brands is limited and find it hard to believe that people would actually invest in such companies. Well, if you are one of the confused ones, consider these: 》Honasa Consumer Ltd., the parent company has been in high spirits since finalizing the IPO launch as revenues in FY 22 doubled from the previous year to Rs 943 crores, recording a profit of Rs 14.4 crores. 》Admittedly, Mamaearth is planning to improve brand visibility and inorganic growth such as exclusive brand outlets, and that might be one of the reasons why primary stakeholders are aiming to sell their shares. 》Jefferies reported the share being a “high conviction buy,” and for good reason: The company's management is confident about achieving over 30% revenue growth, mirroring the success seen in the first half of the year. 》Mamaearth has demonstrated an impressive 33% year-on-year growth in the first half of FY24, surpassing the average growth of FMCG companies in India by 3.8 times.Aam bhasha mein bolein toh the growth is making heads turn, the future seems stable, and all seems to be going well for Mamaearth. Anyone who has interacted with Varun Alagh and Ghazal Alagh would understand why. All credit to them! The trajectory of the company has been nothing short of a wonder, and it’s all thanks to raising confidence in the stock market and a generally positive reception from the public. Now that Mamaearth has done it and paved the way, I am sure we will soon see more D2C brands launching their IPOs. PS: Who knows, ZOFF might be the next one! :)#d2c #brand #startup #ipo #mamaearth #business #investing #ipo #stockmarket",566,33,2,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAO3nzQBfuJYkFoVwLugVZkyjyQWPu7WYss%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAO3nzQBfuJYkFoVwLugVZkyjyQWPu7WYss&keywords=akash%20agrawal&origin=CLUSTER_EXPANSION&position=0&searchId=70360449-c259-4c24-8181-b4d827fc7a4d&sid=NiU&sortBy=%22date_posted%22
Akash Agrawal,Male,2024-01-26,"6500+ orders in just 3 days!!Haan haan sahi padha hai :) ZOFF clinched a remarkable 6501 orders in a mere 3 days through the Open Network For Digital Commerce (ONDC)! ZOFF is enabled as a seller on the network by Shiprocket !ONDC is presently transforming the digital marketplace, providing an invaluable Network for both sellers and buyers. ONDC currently:→ has 1.5L+ merchants→ has expanded into 620+ cities → charges lower commission compared to its competitors who charge as high as 25% commission.What I really like about this Network is that they allow all the players, whether a big name or a kirana store, to put up their products. This not only encourages healthy competition among them but also provides more choices for the consumers. A win-win for both!ONDC is also government-backed, so you know it’s legitimate! Iske alawa there’s always some kind of discount or promotion going on there. Customer support bhi top-notch hai boss! These are just a few reasons why ZOFF has been a distinguished member of ONDC for some time now, and we couldn't be more delighted about it!We're immensely proud of this achievement. Here's to many more milestones like this in the future!Have you managed to spot ZOFF  on ONDC yet?#d2c #startup #ondc #ecommerce #india #retail",504,84,7,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAO3nzQBfuJYkFoVwLugVZkyjyQWPu7WYss%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAO3nzQBfuJYkFoVwLugVZkyjyQWPu7WYss&keywords=akash%20agrawal&origin=CLUSTER_EXPANSION&position=0&searchId=70360449-c259-4c24-8181-b4d827fc7a4d&sid=NiU&sortBy=%22date_posted%22
Akash Agrawal,Male,2023-07-26,"86 saal baad bhi yeh brand unstoppable hai!(Hint: Your favourite bhujia)See, you got it right!I’m talking about none other than Haldiram Snacks Pvt.Ltd. 😋 I recently planned a visit to their manufacturing plant, and was stunned by something I strongly noticed.8 decades baad bhi yeh brand utna hi relevant hai jitna pehle hua karta tha! 🔥 They’ve constantly developed new product lines, added new segments and opened retail outlets all across India. Aaj bhi almost har Indian ghar mai Haldiram ki Bikaneri bhujia toh mil jaati hai, nahi?I noticed how they’ve also adapted their packaging, keeping up with the evolving market. Not just this, unki advertising bhi hamesha se kaafi traditional rahi hai.But, to be in sync with current times, they have also switched to modern forms for better reach and discoverability. 📈 Recently, they tied up with a Bollywood movie- Bawaal, starring Varun Dhawan and Janhvi Kapoor.Isn’t it crazy to see an age-old brand constantly advancing itself according to the market? To me, it is super inspiring!As an entrepreneur, this taught me one of the most important lessons:""Jo business evolve nahi hua, samjho wo dissolve ho gaya!""What are your thoughts on the same?#zoff #d2c #brand #branding #evolve #product #market #fmcg #marketing #foodandbeverageindustry #entrepreneurship #founder #linkedinlearning",466,47,3,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAO3nzQBfuJYkFoVwLugVZkyjyQWPu7WYss%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAO3nzQBfuJYkFoVwLugVZkyjyQWPu7WYss&keywords=akash%20agrawal&origin=CLUSTER_EXPANSION&position=0&searchId=70360449-c259-4c24-8181-b4d827fc7a4d&sid=NiU&sortBy=%22date_posted%22
Akash Agrawal,Male,2023-05-26,"I'm filled with gratitude after this remarkable experience.Here's what happened: At the D2C Insider, Aman Gupta gave ZOFF a shoutout!!Crazyyyy 🔥People often ask us, "" Aman k aane se kya farak pada hai""? Well, it's not only about the funds; it's about the belief he has in our business. He genuinely takes an interest in the business and pushes it forward.He had no reason to give us a shout-out, but he still did.Why?Because he sees value in our vision. ✨ Having the support of thought leaders like Aman Gupta is a game-changer.His trust and endorsement motivate us to be the best version of ourselves, to push boundaries, and strive for excellence. 📈 We're inspired to continue innovating and creating exceptional experiences for our users.Exciting things ahead!#zoff #d2c #amangupta #sharktank #enterprenuership #business #leaders #gratitude #startup #founder",441,46,1,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAO3nzQBfuJYkFoVwLugVZkyjyQWPu7WYss%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAO3nzQBfuJYkFoVwLugVZkyjyQWPu7WYss&keywords=akash%20agrawal&origin=CLUSTER_EXPANSION&position=0&searchId=70360449-c259-4c24-8181-b4d827fc7a4d&sid=NiU&sortBy=%22date_posted%22
Akash Agrawal,Male,2024-04-05,"FY 23-24 has been nothing if not flavourful!! Before starting the new financial calendar, how could I not look back, filled with warmth and gratitude. Saying that the last year has been amazing will be an understatement. Every achievement was not just a milestone, but markers of the trust and love that India has given us. We at ZOFF: 📍Doubled our turnover as compared to last year, closing at nearly 100 Cr📍Received the amount of our first ever investment cheque from Aman Gupta📍Are trying to raise a series A round for amplified growth But more importantly, we got closer to serving health and taste to every Indian. We:😋 Listed Zoff on Q-com platforms- Zepto, Swiggy Instamart and Blinkit! Now, hundreds of Indians get Zoff spices delivered at the doorsteps within minutes, daily. 😋 Met an unparalleled response on Open Network For Digital Commerce (ONDC)! You remember the largest ever spice sampling campaign we did in partnership? We shipped 20,000+ orders within a week 😋 Entered the offline channels to penetrate deeper into the Indian market as the heart of India’ retail is still not digital And we did not stop there. Local went global with us entering Amazon US ✈Now, as we step into FY24-25, our commitment to delivering healthy and hygienic spices remains unwavering. Your support is our greatest strength, and together, we promise to keep adding zest to your meals and lives.Here's to a year filled with prosperity, growth, and, of course, unparalleled flavors. 🌶✨#d2c #fmcg #foodandbeverage #startup #financialyear",384,60,2,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAO3nzQBfuJYkFoVwLugVZkyjyQWPu7WYss%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAO3nzQBfuJYkFoVwLugVZkyjyQWPu7WYss&keywords=akash%20agrawal&origin=CLUSTER_EXPANSION&position=0&searchId=70360449-c259-4c24-8181-b4d827fc7a4d&sid=NiU&sortBy=%22date_posted%22
Akash Agrawal,Male,2023-07-26,"Yeh Startups hai, CBSE ke Board Exams nahi! Aur isiliye yahan collaboration chalta hai, competition nahi! 💯 This is exactly why I’m grateful to be a part of communities like Shark Tank India (participants), Young Indians , D2C Insider & Amazon Propel where thousands of Indian founders co-create India’s future. Yes, ‘co-create’.The smartest of entrepreneurs believe in the power of building a community. Par, ek community ka part banna hi kyu hai? Hear me out. A community acts like a helping hand, where all the members contribute to their mutual growth by sharing learnings from their unique experiences. Maano ya na maano, kabhi-kabhi na khudki galtiya kaafi mehengi pad jaati hai. So, isn’t it always wiser to learn from the mistakes of others than your own? The amount of time, energy and capital that you would end up saving with this would be massive. Uske saath jo aapki next-level growth hogi wo alag! If you are still in that competition wala mindset, please introspect. Because it’s a pure blessing for any young entrepreneur to have a supportive network on their side. Trust me, aage badhna aasaan ho jaata hai! 😃 #zoff #d2c #startup #founder #entrepreneur #d2cinsider #community #learning #growth #mindset #collaboration #linkedinlearning",342,59,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAO3nzQBfuJYkFoVwLugVZkyjyQWPu7WYss%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAO3nzQBfuJYkFoVwLugVZkyjyQWPu7WYss&keywords=akash%20agrawal&origin=CLUSTER_EXPANSION&position=0&searchId=70360449-c259-4c24-8181-b4d827fc7a4d&sid=NiU&sortBy=%22date_posted%22
