Author,Gender,Date,Post Text,Likes,Comments,Shares,Page Link
Andrew Mewborn,Male,2024-02-26,"The biggest lie ever...The more hours you put in, the more valuable you are.Let's dig into this:🚫 Hours worked are a mere quantity.✅ Value created is about quality.Ever had that one coworker who's first to arrive, last to leave, but you're never quite sure what they did all day? Or how about that rockstar team member who seems to get everything done in half the time?Remember:1 -- Efficiency trumps hours. Working smart is key. Know your goals, strategize, prioritize, and execute.2 -- Breaks enhance creativity. Moments of rest often birth the best ideas. Ever had that Eureka moment during a walk or a shower?3 -- Burnout kills value. Overworking diminishes the quality of work. Exhausted brains make mistakes.4 -- Redefine 'hard work'. It's not about hours clocked in but challenges overcome, solutions found, and results achieved.So next time you're burning the midnight oil ask yourself:Am I doing this for the illusion of productivity or am I genuinely creating value?Don't measure worth by the ticking clock.Measure it by the impact you make.Play full out,Andy___P.S. My process for efficiently generating leads without burning out: https://lnkd.in/e8z77_SB",5796,514,304,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAkQk7MB0tiY-Gcq0djXnh2wScE715lS9-I%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAkQk7MB0tiY-Gcq0djXnh2wScE715lS9-I&keywords=andy%20mewborn&origin=CLUSTER_EXPANSION&position=0&searchId=5583466b-5adf-48d1-b2c4-af788ba180c3&sid=CTG&sortBy=%22date_posted%22
Andrew Mewborn,Male,2024-02-26,Harsh truth: What employees don't care about:• Team building activities• Inspirational quotes• Casual Fridays• Pizza partiesWhat employees do care about: • Getting paid• PizzaThanks for coming to my TED talk. ____P.S. My process to generating leads online: https://lnkd.in/e8z77_SB,2963,423,85,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAkQk7MB0tiY-Gcq0djXnh2wScE715lS9-I%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAkQk7MB0tiY-Gcq0djXnh2wScE715lS9-I&keywords=andy%20mewborn&origin=CLUSTER_EXPANSION&position=0&searchId=5583466b-5adf-48d1-b2c4-af788ba180c3&sid=CTG&sortBy=%22date_posted%22
Andrew Mewborn,Male,2023-09-26,"15 years at a company, laid off via email.15 years at a company, not a phone call.15 years at a company, no word from the manager.15 years at a company, no opportunity to give feedback.15 years at a company. See ya.""But hey we did so well with a severance package, it's better than average.""""The 'impacted' employees will always be part of the fam.""PLEASE remember this kind of stuff when you are:*Considering backing out of an offer you accepted for a better one*Considering leaving a company for a better opportunity*Considering taking that recruiter call for a co. that looks intriguing*Considering how much work-life balance you sacrifice for your 'work-fam'They will 100% look out for number 1.So should you.💪P.S. Free resource to research what your peers think about 1,000s of cos (w salary data) below: https://bit.ly/3LuZ9VC",2465,273,86,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAkQk7MB0tiY-Gcq0djXnh2wScE715lS9-I%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAkQk7MB0tiY-Gcq0djXnh2wScE715lS9-I&keywords=andy%20mewborn&origin=CLUSTER_EXPANSION&position=0&searchId=5583466b-5adf-48d1-b2c4-af788ba180c3&sid=CTG&sortBy=%22date_posted%22
Andrew Mewborn,Male,2024-03-26,Let’s be honest↓PS... I put my ENTIRE LinkedIn social selling workflow into a 10-minute video for you here: https://lnkd.in/eGgAdaaE,2372,403,74,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAkQk7MB0tiY-Gcq0djXnh2wScE715lS9-I%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAkQk7MB0tiY-Gcq0djXnh2wScE715lS9-I&keywords=andy%20mewborn&origin=CLUSTER_EXPANSION&position=0&searchId=5583466b-5adf-48d1-b2c4-af788ba180c3&sid=CTG&sortBy=%22date_posted%22
Andrew Mewborn,Male,2024-02-26,"This mindset shift changed my life(and may change yours):Every day my Ironman coach would remind me:""You showed up today. The hardest part of the workout is done.""Simple? Yes. Profound? Absolutely.Because here's the truth:The quality of the workout—good, bad, or amazing—is secondary.The victory is in showing up. Day in, day out.But you're probably thinking, ""It can't be that simple.""Yet, here's your reality check:• Your biggest hurdle isn't the task, but the start.• Your worry about perfectionism is dumb af.• YOU need to redefine success.Success isn’t just crossing the finish line.It’s stepping up to the starting line—consistently.I challenge myself to show up, every single day.And now, I challenge you:Next time you dread the start, remember:Showing up IS the start.You've already won half the battle.This isn't just about workouts or races.It's about life.___📌 P.S... Here's the process I use to show up every to create leads on LinkedIn: https://lnkd.in/e8z77_SBImage Credit: Hannah Wilson",2032,397,130,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAkQk7MB0tiY-Gcq0djXnh2wScE715lS9-I%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAkQk7MB0tiY-Gcq0djXnh2wScE715lS9-I&keywords=andy%20mewborn&origin=CLUSTER_EXPANSION&position=0&searchId=5583466b-5adf-48d1-b2c4-af788ba180c3&sid=CTG&sortBy=%22date_posted%22
Andrew Mewborn,Male,2023-12-26,"Here are 10 LinkedIn Tips you probably know nothing about.____ 📌 PS - social selling: want to create, launch, and scale your social selling playbook in 30 days? Our community opens again on Jan 1st: https://lnkd.in/e3u9fy_Y",1650,287,188,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAkQk7MB0tiY-Gcq0djXnh2wScE715lS9-I%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAkQk7MB0tiY-Gcq0djXnh2wScE715lS9-I&keywords=andy%20mewborn&origin=CLUSTER_EXPANSION&position=0&searchId=5583466b-5adf-48d1-b2c4-af788ba180c3&sid=CTG&sortBy=%22date_posted%22
Andrew Mewborn,Male,2024-04-05,"The career advice you can't afford to ignore...  Take a look at this pie chart:  > MY #1 PIECE OF CAREER ADVICE  It's not networking. It's not skill-building.  It's not even about seizing opportunities.  It's personal. It's profound.  It's about life partners.  𝗠𝗮𝗿𝗿𝘆 𝘁𝗵𝗲 𝗿𝗶𝗴𝗵𝘁 𝗽𝗲𝗿𝘀𝗼𝗻.  Sounds like relationship advice, doesn't it?   But here's how it's career gold:  ==> 𝗦𝘂𝗽𝗽𝗼𝗿𝘁 𝗦𝘆𝘀𝘁𝗲𝗺 - Having a partner who's got your back? Priceless. ==> 𝗦𝗼𝘂𝗻𝗱𝗯𝗼𝗮𝗿𝗱 - The best ideas often come from those pillow talks. ==> 𝗕𝗮𝗹𝗮𝗻𝗰𝗲 - They keep you grounded when the career-high gets too dizzying.  Every other career hack blows in comparison.   Because when you have a partner who:  • believes in your dreams • challenges you • cheers you on...  The path to success becomes a shared adventure.  Let’s normalize talking about the role of personal relationships in career growth.  So here's to finding a co-pilot in life's journey.  🌮  If you've got a shoutout to give to a partner who's been your rock, let's hear it ⬇️  ♻️ Liked this content? Repost this to your network And follow Andy Mewborn for more content like this  📌 PS: Want to start taking LinkedIn seriously? Join our community: https://www.brand30.io/ Get access to 4000+ high-performing founders, marketers, and sellers.",1416,298,52,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAkQk7MB0tiY-Gcq0djXnh2wScE715lS9-I%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAkQk7MB0tiY-Gcq0djXnh2wScE715lS9-I&keywords=andy%20mewborn&origin=CLUSTER_EXPANSION&position=0&searchId=5583466b-5adf-48d1-b2c4-af788ba180c3&sid=CTG&sortBy=%22date_posted%22
Andrew Mewborn,Male,2024-02-26,"Harsh Truth:  Your company doesn't own your LinkedIn profile.  Let that sink in.  In the digital age of personal branding: Your voice matters. Your online presence? It's YOURS.  Here's the raw truth:  1. Companies come and go. 2. Your personal brand? It's forever. 3. LinkedIn? It's your digital handshake.  YES.  That's right, I'm laying it out:  A. It's not your company's resume. B. It's your personal billboard. C. It's your career story.  It's more than just a job title. ↳ It's your legacy:  • Authenticity: Be genuine, be you. • Networking: Connect, don't just collect. • Growth: Share your journey, not just your job.  You might think it's just another platform.  But here's the deal:  → Your LinkedIn is your first impression. → Your LinkedIn is your professional narrative. → Your LinkedIn is your control.  It's not just about the now.  I challenge you to take ownership every single day.  Here's the deal.  The next time your company wants to dictate your LinkedIn, STOP.  Ask yourself.  Is this my voice? My journey? My brand?  Prioritize your personal brand. Always.  🌮  Play full out, Andy   _____ P.S... Become A Full Stack Sales Rep In Just 7 Days: https://lnkd.in/eWEukCXq",1281,291,52,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAkQk7MB0tiY-Gcq0djXnh2wScE715lS9-I%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAkQk7MB0tiY-Gcq0djXnh2wScE715lS9-I&keywords=andy%20mewborn&origin=CLUSTER_EXPANSION&position=0&searchId=5583466b-5adf-48d1-b2c4-af788ba180c3&sid=CTG&sortBy=%22date_posted%22
Andrew Mewborn,Male,2023-10-26,"I just interviewed the CEO of a company doing $350,000,000 in revenue.He wanted my opinion on the biggest GTM mistake most companies are making.ME: ""Most companies think they are doing 'sales' ""HIM: ""Isn't sales how you make money?""ME: ""Nope. Nurturing your prospects is how you make money. At any moment, 3% of potential customers are ready to buy now. The other 97 percent fall into three categories: 60 percent are not problem aware, 20 percent are problem aware, 17 percent are gathering info. Your goal should be to capture and nurture this 97 percent. ""HIM: ""97%?""ME: ""yes and most companies either don't have any nurture process or treat everyone like they are in the 3% ready-to-buy bucket when it comes to messages"".HIM: ""you need to talk to my head of marketing""ME: *act cool Andrew act cool*TL;DR -Y'all aren't in sales.Y'all are in nurturing.Those who learn to nurture the best will win the best._________PS: In the next few weeks, I’m rolling out my free new mini-course, Effortless Lead Gen Mastery.It’s a 5-step blueprint designed to help you create AND launch money-making lead magnets 10x faster (with the help of AI). 👉 https://lnkd.in/ebht9VKk",1162,319,57,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAkQk7MB0tiY-Gcq0djXnh2wScE715lS9-I%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAkQk7MB0tiY-Gcq0djXnh2wScE715lS9-I&keywords=andy%20mewborn&origin=CLUSTER_EXPANSION&position=0&searchId=5583466b-5adf-48d1-b2c4-af788ba180c3&sid=CTG&sortBy=%22date_posted%22
Andrew Mewborn,Male,2023-08-26,"I created 97 AI PROMPTS you can use to SELL LIKE CRAZY.And I spent 6 months curating the best 97 to share.If we get 297 Likes I'll share them with you.I'll give you every prompt I've personally been using:• Sales Emails• Sales Closing• Sales Training• Sales Planning• Sales Follow-up• Sales Reporting• Sales Prospecting• Sales Negotiation• Sales Methodologies• Sales Presentations• Competitor Research• Sales Process Analysis• Sales Objection Handling• Develop and Hone Discovery Questions• Build out Ideal Customer Profiles (ICPs)• Sales Research with 10Ks (provide links to chatGPT)And most importantly -how you can use them today for pipeline & sales.297 Likes. Go!👇P.S... Comment ""SEND"" below and I'll send them to you directly if we hit our goal_____________🚨 UPDATE:We hit our goal!You can grab the prompts here: https://lnkd.in/d_MvgGRb",1102,"1,939",12,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAkQk7MB0tiY-Gcq0djXnh2wScE715lS9-I%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAkQk7MB0tiY-Gcq0djXnh2wScE715lS9-I&keywords=andy%20mewborn&origin=CLUSTER_EXPANSION&position=0&searchId=5583466b-5adf-48d1-b2c4-af788ba180c3&sid=CTG&sortBy=%22date_posted%22
