Author,Gender,Date,Post Text,Likes,Comments,Shares,Page Link
Anooja Bashir,Female,2024-03-26,"Don't tell me this is happening! ⚡ ⚡ Excitement doesn't even describe the whirlwind of emotions I experienced as I received the prestigious Inspiring Women Leader 2024 award ✨ at the #ETEconomicTimesWomenConclave. It was truly surreal to stand before the ever-inspiring #SushmitaSen, a woman I'd admired throughout my youth, and have her present me with the honor.When I hugged her on the stage, I felt this was ""The Moment"" - one of the most memorable. For a second, I thought, is it the twice-failed entrepreneur standing on the stage today? As a woman entrepreneur and business leader, I can attest that the path hasn't always been smooth. I have always been called a woman who has shattered the glass ceiling. From my perspective, I believe in 3 things: believing in making my dreams come true, never giving up, and working towards my goals which make my dream world into a reality. The 2024 ET Woman Conclave event was an outstanding one as it provided an opportunity for me to connect with a powerful network of accomplished women, and men of business acumen. Thank you, CA Tripti Shinghal Somani (तृप्ति ) and Womennovator for nominating me.The esteemed chief guest, BK Shivani, offered invaluable insights that resonated deeply with the audience. Meeting Ayesha Shroff & Krishna Shroff was the icing on the cake. Let me tell you, the power of manifestation is truly magical. I have always dreamt of these accomplishments, which I achieved through sheer determination and hard work.Today women are increasingly occupying leadership roles across diverse sectors like technology, finance, healthcare, & politics. This progress is fueled by a growing recognition of the vital role diversity & inclusion play in driving innovation and business success.Here are some key trends that highlight this positive shift:▶️ Greater Representation: There's a slow but steady increase in the number of women holding executive positions and board seats in corporations worldwide.▶️ Supportive Policies & Initiatives: Organizations are adopting policies to enhance gender diversity in leadership, such as mentorship programs, women's leadership training, and flexible work arrangements for better work-life balance.▶️ Recognition of the Gender Pay Gap: Companies are increasingly committing to equal pay for equal work and transparency in compensation to address the gender pay gap.▶️ Challenges in Retention & Promotion: Despite progress, women often face barriers to advancement into leadership roles, including unconscious bias and a lack of sponsorship.▶️ Entrepreneurship Growth: Female entrepreneurship is growing rapidly, yet access to capital remains a major obstacle.I believe today's women are winds of change, transforming the business landscape with their incredible leadership and thought processes.Share your thoughts on improving the representation of women in leadership and boardrooms.LinkedIn LinkedIn News India#events #entrepreneurs #india #networking",1778,240,16,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAuDXVoBN0JflssjZAAhiLJqMNgh9h33Q5g%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAuDXVoBN0JflssjZAAhiLJqMNgh9h33Q5g&keywords=anooja%20bashir&origin=CLUSTER_EXPANSION&position=0&searchId=4abafcd3-bdf1-49e6-8d85-73c1976063c5&sid=(B5&sortBy=%22date_posted%22
Anooja Bashir,Female,2023-12-26,"My Ikigai for 2024 💫💫 A Journey with Purpose and Positive Vibes 🌈🌈 As we bid farewell to 2023, many of us fall into the familiar rhythm of resolutions. However this year, I'm choosing a different path. Instead of rigid pledges, I'm embracing the concept of Ikigai: aligning my deepest passions, skills, and purpose to create a fulfilling and meaningful journey. Here's what fuels my Ikigai in 2024: 🌀Passion + Mission: ✅ Nurturing Genuine ConnectionsBuilding impactful relationships is at the heart of my values in 2024, be it with my team or my associates. Concentrating on more of me time along with quality family time. ✅ Empowering Aspiring EntrepreneursAs a seasoned entrepreneur, I believe in sharing my knowledge and experience to pave the way for the next generation. Mentoring and contributing to their success resonates deeply with me. ✅ Building a Sustainable FutureFostering diversity, inclusion, and equity is not just a principle, but a path to a better world. I'm committed to advocating for these values within my business and beyond. 🌀Skill + Profession: ✅ Brand AlchemyI believe that transforming ambitious ventures into powerful brands is my superpower. In 2024, I'll continue to hone my branding expertise, helping startups find their unique voice and reach their full potential. 🌀 Contribution to World ✅ Marketing Expertise Filling the gap in strategic marketing for my startups is my professional mission. I'll dedicate my skills to crafting innovative and effective marketing strategies that propel my businesses forward. Join me on this quest! Share your own Ikigai inspirations in the comments below. Let's make 2024 a year of empowered purpose and shared success.#ikigai #india #flexicloud #familytime #innovation #business #entrepreneur #marketing #womenpreneurs #forbeswoman #startups #kochi #indianwomen #influencer #licreator #licreatoraccelartor #2024goals #newyear #linkedininfluencer #linkedin #newyear #resolutions",1741,104,4,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAuDXVoBN0JflssjZAAhiLJqMNgh9h33Q5g%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAuDXVoBN0JflssjZAAhiLJqMNgh9h33Q5g&keywords=anooja%20bashir&origin=CLUSTER_EXPANSION&position=0&searchId=4abafcd3-bdf1-49e6-8d85-73c1976063c5&sid=(B5&sortBy=%22date_posted%22
Anooja Bashir,Female,2024-04-12,"The Glorified side of Entrepreneurship 💫  Thrilled to announce that FlexiCloud.in has been crowned the Most Promising Tech Startup of 2024 by the Times Business Awards! 💫 Since our 2020 launch, it's been a phenomenal journey. We've scaled revenue, secured Series A funding, and garnered recognition for our innovative solutions. This wouldn't have been possible without my incredible Co-Founder Vinod Chacko, Binu Mathew, and our team – they've been the wind beneath our wings through every thick and thin. Receiving this prestigious award from Suniel Shetty, a legendary entrepreneur I deeply admire, was an unforgettable moment. His content and thought leadership on LinkedIn are a constant source of inspiration.This recognition is both a humbling reminder of our progress and a motivator to reach even greater heights.  As an entrepreneur, I've learned that excuses are a dead end. Success hinges on taking responsibility for my actions and the performance of our amazing team.Here's what I believe are the keys to successful entrepreneurship:▶️Having a Vision and Expertise in Your Niche: It's all about knowing where you want to go and having the deep expertise in your area to get there. It’s understanding how your product or service can truly make a difference.▶️Creating a Successful Business and Revenue Model: This is crucial. Having a solid business model and a promising revenue model is what sustains a business financially. It's the foundation that which everything else is built.▶️Embracing Responsibility: I stand by the belief that as entrepreneurs, we must own our actions and the outcomes they produce. It's about being responsible and accountable, not just for ourselves, but for our teams as well.▶️Seeing Entrepreneurship as More Than a Career: For me, entrepreneurship is a signature. It's about the mark I leave on society and being known for the difference I make. It's not just a career or a passion; it’s the legacy I’m building.Additionally, I would also like to stress on these Insights- ⏺️ Agility is key ⏺️ Embrace resilience⏺️ Build your network⏺️ Lead to empower These principles have been pivotal in my entrepreneurial journey, shaping how I approach challenges and opportunities.Congrats to my fellow entrepreneurs Kiran James & Premnath Parayath of Qwatt Technologies Pvt. Ltd for winning the Most Emerging Startup of the Year.Share your thoughts in the comments below.OneXtel Communication Media LinkedIn LinkedIn News India LinkedIn Guide to CreatingAnitha Puthussery, Abhijith E S, Antu Varghese, Annette Antony#FlexiCloud #TechStartup #Entrepreneurship",1619,315,28,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAuDXVoBN0JflssjZAAhiLJqMNgh9h33Q5g%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAuDXVoBN0JflssjZAAhiLJqMNgh9h33Q5g&keywords=anooja%20bashir&origin=CLUSTER_EXPANSION&position=0&searchId=4abafcd3-bdf1-49e6-8d85-73c1976063c5&sid=(B5&sortBy=%22date_posted%22
Anooja Bashir,Female,2024-03-26,"The Evolving Marketing LandscapeBeyond the TextbookThe world of marketing is constantly changing, and a traditional MBA from a top school just isn't enough to guarantee a good job anymore. Today's employers seek candidates who can bridge the gap between theoretical knowledge and real-world application.Recently, I was invited as a keynote speaker at Woxsen University, discussing the transformative power of technological innovation in marketing. It was great meeting some wonderful business leaders at the Conclave, - Mr. Ravindran Reddy, Consultant and Ex. Vice President – Marketing of Hogar Controls; Mr. Preetam Patnaik, Head Of Marketing, CCL Products (India) Limited; Brigadier Inder Sethi, Head Of Faculty, College Of Defence Management; Mr. Harshavardhan Gaddalae, Managing Director, Medha Research and Consulting Private Limited. Truly an inspiring experience to converse with these veterans and witness the university's unique pedagogy.Conversing with Professor Pradip Ganguli and Dr. Saradhi Gonela, gave me a lot of insights about the University. I was particularly impressed by Woxsen's focus on preparing students to thrive in the professional ecosystem, not just equipping them with a degree. Their proactive student body further exemplifies this commitment.The industry offers exciting opportunities for fresh graduates, but to ensure career success, honing specific skills is crucial. Here are some of my top tips:▶️ Continuous Learning: Stay updated with industry trends, technologies, and best practices through ongoing education and professional development.▶️ Adaptability: Be flexible and open to change, as industries and job roles evolve rapidly.▶️ Communication Skills: Master both verbal and written communication to effectively convey ideas, collaborate with colleagues, and engage with clients.▶️ Problem-Solving Abilities: Develop critical thinking and analytical skills to tackle complex challenges and find innovative solutions.▶️ Time Management: Efficiently prioritize tasks, manage deadlines, and optimize productivity to maximize output.▶️ Networking: Build and nurture professional relationships, both within and outside your industry, to access opportunities and resources.▶️ Leadership Skills: Cultivate qualities such as empathy, integrity, and resilience to inspire and motivate others, even in challenging situations.▶️ Emotional Intelligence: Understand and manage your emotions effectively, as well as empathize with and relate to others, fostering positive relationships and teamwork.By focusing on these skills, individuals can position themselves for long-term career success and growth.P.S. Special thanks to Raul Villamarin Rodriguez and Pradip Ganguli for extending the invitation to their remarkable campus!What skills should one develop to ensure career success? Share your thoughts in the comments section.#LinkedInNewsIndia #CareerGoals #LinkedinInsider #MarketingConclave #LIPostingChallengeIndia",1380,77,15,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAuDXVoBN0JflssjZAAhiLJqMNgh9h33Q5g%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAuDXVoBN0JflssjZAAhiLJqMNgh9h33Q5g&keywords=anooja%20bashir&origin=CLUSTER_EXPANSION&position=0&searchId=4abafcd3-bdf1-49e6-8d85-73c1976063c5&sid=(B5&sortBy=%22date_posted%22
Anooja Bashir,Female,2023-12-26,"Building Impact 💫 UN GCNI Connects with MSMEs in Kochi! 💫 I recently had the opportunity to attend the UN GCNI event held at Crowne Plaza Kochi. This wasn't just another event; it was a bridge, connecting ambitious businesses with the global sustainability movement and proving that joining the UN isn't a distant dream.✅ The Core TeamIt was wonderful to connect with Ratnesh Jha who helped bust myths about how everyone considers it to be a tedious process to be part of the UN circle. The panel discussion on ""SDGs and ESG: Connected Paths to a Sustainable Future"" was very insightful. Being an SDG Ambassador, attending the event allowed me to gain more insights into the other UNSDG goals and the impact it is having on global communities. ✅ The Talented Gen ZA huge shoutout to The Choice School and St. Teresa's College. Having students incorporate such events gives them channels to grow and gain knowledge on the different sectors. Such openings are great for the students.Last but not least, a huge shout out to my dear friend Dr.Nirmala Lilly for providing the opportunity to witness lively discussions, knowledge-sharing, and genuine networking events. This wasn't just an event; it was a hand UNSC is extending towards the private sector and business of God's own country UN message is clear - With UN Global Compact Network India, MSMEs can prove that good governance is not just a buzzword, but a powerful roadmap to success.Share about your experiences in events that you had attended recently. Drop them in the comments below. 👇 Ashutosh Gupta, Kanta Singh, Sushmita Jain, Yeshasvini Ramaswamy, Aanya Wig (She/Her), Saaket Tharad, Ira Pradhan, Leena Narayanan, Anirudh Bhiwaniwalla, Nidhi Rungta, Manvendra Singh Gohil, Siddhant Garg, Tejaswee Tripathy, Neha Sethi, Neha K Puri, Priyank Ahuja, Arjun Vaidya, Shreya Hegde, Srikanth Acharya, Sumit Agarwal, Devansh Lakhani - Angel Investor, Jibi Mathew, Dhanya Balachandran#uncni #msmeeempowerment #sustainablebusiness #kochi #networking #sustainabilitynow #unsdg #globalimpact #businessforgood #kochievents #businessconnect #msmeinsights #sustainablefuture #unimpact #networkingopportunity",1227,75,11,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAuDXVoBN0JflssjZAAhiLJqMNgh9h33Q5g%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAuDXVoBN0JflssjZAAhiLJqMNgh9h33Q5g&keywords=anooja%20bashir&origin=CLUSTER_EXPANSION&position=0&searchId=4abafcd3-bdf1-49e6-8d85-73c1976063c5&sid=(B5&sortBy=%22date_posted%22
Anooja Bashir,Female,2024-03-26,"How did I turn my passion into a successful one ??The journey that took me to the epitome of glory - My entrepreneurial saga✨✨The road to success is paved with passion, but let's be honest, it takes some serious persistence to keep that passion burning bright!  I recently received the incredible honor of being named the National Fame Award Most Enterprising Women Entrepreneur of the Year (Branding & Communications).Standing there, holding the award from the ever-gracious Dia Mirza, all I could think about was my journey.It wasn't always glamorous red carpets and award ceremonies. There were moments of doubt, late nights fueled by coffee (and maybe a little bit of fear!), and roadblocks that seemed impossible to overcome. But through it all, the fire within – my passion for what I do – never truly went out.At the ceremony, I even had the chance to meet the legendary Alka Yagnik – and let me tell you, she's as radiant as ever! It was a surreal moment, a reminder that chasing your dreams can lead you to some pretty incredible experiences.The biggest takeaway from my journey and the key to unlocking your potential is persistence the fuel that keeps the fire of passion burning.Here are some pointers I've picked up along the way:▶️ Believe in yourself, even when no one else does. There will be doubters, but your unwavering belief is your greatest asset.▶️ Embrace the grind. Persistence doesn't mean blind optimism. It's about putting in the hard work, day in, and day out.▶️ Learn from your mistakes (and celebrate your wins!). Every setback is a chance to grow, and every achievement is a moment to savor.▶️ Never stop learning. The business world is constantly evolving, so keep your mind sharp and stay ahead of the curve.Remember, success isn't a destination. It's a journey.  Enjoy the ride, embrace the challenges, and never give up on your dreams!Share your thoughts in the comments below!LinkedIn LinkedIn News India#successjourney #passionandpersistence #entreprenuerlife #womeninbusiness",1212,184,5,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAuDXVoBN0JflssjZAAhiLJqMNgh9h33Q5g%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAuDXVoBN0JflssjZAAhiLJqMNgh9h33Q5g&keywords=anooja%20bashir&origin=CLUSTER_EXPANSION&position=0&searchId=4abafcd3-bdf1-49e6-8d85-73c1976063c5&sid=(B5&sortBy=%22date_posted%22
Anooja Bashir,Female,2024-01-26,"When the world pulls you down, stick on to the whisper of Hope and Self-belief.✨✨Today let me tell you a story of positive powerful manifestations.😊Twice failed 75 Lakh Debt that shot up to 1 CR eventually Peers thought I could never make a great entrepreneur The family thought I was running behind a false dream But still ??I did hope that one day would be mine ⚡️⚡️Today ❇️A Seasoned Entrepreneur with successful startups ❇️Startup Mentor to more than 30+ incubators ❇️Multiple time TEDx Speaker ❇️Keynote Speaker to both National and International platforms❇️Angel InvestorSo like everyone asked after Sharan Hegde's interview how did you flip the switch? I believe we never fail until we stop believing in our dreams. So never self doubt yourself I didn't give up on myself 😎Never Ever Give up⚡️⚡️I have been getting so many DM's and personal messages on the catchy phrase #Neverever Felt great about that 😇😇To my fellow entrepreneurs and LinkedIn fam, even in adversity, you can thrive. Find a solution. Be positive♻️As Paulo Coelho said, ""When you want something, the whole universe conspires in order for you to achieve it."" As the book Secret says, your body is a tower that will absorb energy that you brew. So think positively. Sharing my entrepreneurial journey, with all its ups and downs, was a wild ride in itself. Thanks, Sharan Hegde for having me on the show. Thank you, Shreya Hegde for your warm hospitality and the entire team on The 1% Club.Huge shoutout to my amazing and wonderful co-founder, my partner in crime Vinod Chacko who believed in me other than me.Thanks to my Founders Team Abhijith E S, Antu Varghese, Annette Antony, and my ventures FlexiCloud.in, Ourea and PokketCFO– they're the Rockstar's behind the scenes making everything happen. And let's not forget my family especially my kids, always there with their unwavering love and belief. ❤️It has been definitely a journey and I feel the journey starts with you, with believing in yourself. Chase your dreams, chase them hard, and remember, there's a whole community of folks like you cheering you on every step of the way.So, if you haven't watched the video yet? Here's the link: https://lnkd.in/gBx5xHez I'd love to hear your thoughts – drop a comment below 👇 #flexicloud #ourea #pokketcfo #entrepreneurship #gratitude #community #neverever",1105,291,19,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAuDXVoBN0JflssjZAAhiLJqMNgh9h33Q5g%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAuDXVoBN0JflssjZAAhiLJqMNgh9h33Q5g&keywords=anooja%20bashir&origin=CLUSTER_EXPANSION&position=0&searchId=4abafcd3-bdf1-49e6-8d85-73c1976063c5&sid=(B5&sortBy=%22date_posted%22
Anooja Bashir,Female,2023-11-26,"Striking the Perfect Work-Life Symphony! 🚀✨All work and no play makes me a very dull girl Achieving a balance between work and personal life is an art, especially for us entrepreneurs known for our relentless work ethic. For me, it's about integrating my two passions: work and cherished personal time.✅ Team Time Triumph 🌐In my view, team bonding is pivotal for cultivating relationships and sparking creativity. Working collaboratively on projects and celebrating small wins fosters engagement, fun, and enhanced productivity. Team members are more engaged, have more fun, and get more done when they work together on projects and celebrate even the smallest of successes.✅Family, My Unyielding Pillar 👨‍👩‍👧‍👦 My family is my rock, offering strength and perspective in challenging times. Regular quality time with loved ones creates an invaluable support system crucial for navigating the hurdles of business.✅ Me Time, Non-Negotiable 🌿A place of refuge for self-renewal, my time is non-negotiable. Taking time for yourself, whether that's to read, relax, or pursue a hobby, is essential for avoiding burnout and keeping your mind sharp. I utilize the Pomodoro approach, which involves dividing my work into intervals and then taking brief pauses to maximize concentration, to keep myself on track and focused. An effective way to manage one's time is to use a tool like the matrix created by Eisenhower to prioritize one's duties. Moreover, a healthy mind-body connection can be developed by the incorporation of mindfulness practices and regular exercise. How do you strike the ideal work-life balance? Share your tips below!Sameer Karulkar, Ashim Jolly, Anushka Iyer, Natasha Shirazi, Chinu Kala, Neha K Puri, Sanjjanaa Galrani, Raghav Gupta, Vinitha Joseph, Anisha Cherian, Tejaswee Tripathy, Siddhant Garg, Priyank Ahuja, Akshat Shrivastava, Neha Rani, Tuhina Bapuli, Srikanth Acharya, Shikha Gupta, Shabina Khatoon, Gaurika Tandon, Lina Ashar, Siji Varghese - Leaders in Lipstick®, Aanya Wig (She/Her), Pavan Sathiraju, Priyank Modi, Tarun Shukla, Shivangi Narula, Divas Gupta, Daniel Kelly, Shoaib Ahmed, Suranjika Mohapatra, Sakshi Shukla, Rosie Chong, Haris Aboobacker, Shreya Hegde, Catalina Valentino 🔥Roshni Aditya, Tasleem Ahmad Fateh 👽 Susheel Kumar Valappil - Top Person Ambassador, Palak Tannaa#worklifeharmony #entrepreneurialinsights #balancedlifestyle #team #teambuilding #magic #familyfirst #metime #productivityhacks #worklifeintegration #businessandpleasure #balancedliving #selfcarejourney #mindfulnessatwork #successrituals #entrepreneurlifebalance #worklifeequilibrium #teamengagement #family #strength #timemanagementtips #selfrenewal #entrepreneurialwisdom #stressfreeselling #entrepreneurship #business #lifeblend",1048,107,12,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAuDXVoBN0JflssjZAAhiLJqMNgh9h33Q5g%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAuDXVoBN0JflssjZAAhiLJqMNgh9h33Q5g&keywords=anooja%20bashir&origin=CLUSTER_EXPANSION&position=0&searchId=4abafcd3-bdf1-49e6-8d85-73c1976063c5&sid=(B5&sortBy=%22date_posted%22
Anooja Bashir,Female,2023-06-26,"Celebrating the Spectacular TEDx Talk ✨ Drawing inspiration from personal journeys ⚡ TEDx Talks, renowned for their captivating presentations of well-crafted ideas within a tight 18-minute timeframe, have become a beacon of enlightenment in communities worldwide. TEDx events bring the essence of TED to local stages, igniting intellectual discourse and fostering profound connections. This particular one holds a special place in my heart among my numerous TEDx talks. ✅ The Enchanting Theme The theme of TEDxBocconiUMumbai - Glow Stick - resonates deeply with the essence of this remarkable platform. It serves as a captivating metaphor that imparts invaluable life lessons. I emphasized the transformative power that lies within moments of brokenness, as they can define one's true character and inspires the courage to tread a different path, ultimately bringing out the best in oneself. I extend my heartfelt appreciation to the individual who conceived the inspiring theme of Glow Stick. ✅ The Exemplary Organizing Team The meticulous planning and flawless execution by the exceptional team at SDS Bocconi were evident in every aspect of the event. From the seamless coordination of each speaker to the creation of an enchanting atmosphere, their dedication was palpable. A special mention goes out to the amazing team - Shubham Tiwari, Pritesh Jain, Nishi Patidar. It was also absolutely lovely connecting with Mr. Alessandro Giuliani as well.✅ The Stellar Speaker Lineup The selection of speakers for this TEDx event was nothing short of extraordinary. Each speaker embodied the Glow stick theme through their remarkable personal journeys, triumphing over adversity and emerging victorious. It was an honor to share the stage with such an exceptional group. I express my heartfelt gratitude to SDA Bocconi Asia Center for extending the invitation to be a TEDx speaker and for the incredible hospitality they provided throughout the event. Vaishali Shadangule, Dixita Patel, Zeeshaan Pathan, Shriram Iyer, Ashish Chopra, Dr. Shibani B., Rev. Dr. Manisha AnwekarTEDx Bocconi was a truly unforgettable experience, filled with profound insights, shared wisdom, and the celebration of human resilience. It is through platforms like these that we can collectively nurture and spread the light of inspiration, igniting positive change in the world.#gratitude #team #share #connections #inspiration #hospitality #change #stage #experience #power #event #planning #tedxspeaker #forbeswomen #licreatoraccelerator #influencers #metaphor",1036,129,1,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAuDXVoBN0JflssjZAAhiLJqMNgh9h33Q5g%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAuDXVoBN0JflssjZAAhiLJqMNgh9h33Q5g&keywords=anooja%20bashir&origin=CLUSTER_EXPANSION&position=0&searchId=4abafcd3-bdf1-49e6-8d85-73c1976063c5&sid=(B5&sortBy=%22date_posted%22
Anooja Bashir,Female,2024-03-26,"“The greatest power of a woman is absolutely to be a woman”Have you ever thought of how women can multitask so wonderfully?I usually get this question a lot, what is my secret recipe for the wonderful ability to manage everything so perfectly 💫Let me tell you - I AM NOT A SUPERWOMAN 💃🏻Today we as women are being celebrated nationally and internationally. We are called superpowers and glorified worldwide ✨✨Who is this Superwoman? The myth of the superwoman portrays an image of a woman who flawlessly balances work, family, and personal aspirations. Yet, this idealized figure belies the complex realities women face daily. As Women, we tend to balance a lot of roles in our lives and the balancing act is a never-ending roller coaster. According to a write-up by Chetan Bhagat in TOI - 87% of our women feel stressed out most of the time. His words are so true that reality for women is far more nuanced. She is under pressure to be perfect.The truth is, that striving for this perfection sets an unattainable standard, fostering imposter syndrome, burnout and mental health struggles among countless women.But the reality is that - ➡️ Women still shoulder a disproportionate share of domestic labor, even with dual-income families (Pew Research Center, 2022).➡️ In the US, women earn 83 cents for every dollar earned by a man (Bureau of Labor Statistics, 2023).➡️ Women hold only 27% of leadership roles globally (Grant Thornton, 2022).So, on Women’s Day let us celebrate ourselves. We are diverse, and our journeys are unique. True strength lies in embracing our individuality.  We achieve our greatness through ➡️ Resilience: Overcoming challenges and bouncing back from setbacks.➡️ Collaboration: Supporting and empowering each other.➡️ Authenticity: Being true to ourselves and defying expectations.Instead of ""Superwoman,"" let’s celebrate the real women that we are. We are skilled and determined professionals, loving mothers, daughters, and friends, visionary leaders, and changemakers.We are not all the same, but we all deserve to be valued and empowered.This year, the Women's Day theme is 'Invest in Women: Accelerate Progress'I believe that by empowering our women, we also help to boost the economy of the nation. Our nation's dream of achieving a $5 trillion GDP is impossible without the substantial contributions of women. Despite constituting 48% of the population, women only contribute 18% to the GDP. While men and women may be physiologically distinct, both genders bring unique qualities that can propel our society and country forward. Together, we can forge a more inclusive and prosperous future. Happy Women's Day!(Pic taken at Rock Garden @Bali ,one of my favourite tourist spot 💕)#LinkedIn #LinkedInNewsIndia #LinkedInInsider #IWD2024 #InspireInclusion",909,104,2,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAuDXVoBN0JflssjZAAhiLJqMNgh9h33Q5g%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAuDXVoBN0JflssjZAAhiLJqMNgh9h33Q5g&keywords=anooja%20bashir&origin=CLUSTER_EXPANSION&position=0&searchId=4abafcd3-bdf1-49e6-8d85-73c1976063c5&sid=(B5&sortBy=%22date_posted%22
