Author,Gender,Date,Post Text,Likes,Comments,Shares,Page Link
Bill Gates,Male,2024-03-27,"Thirty years ago, we wanted to show just how much information a single CD-ROM could hold. The team decided a visual demonstration was necessary! © Louie Psihoyos",186898,"2,597","1,792",https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc&keywords=bill%20gates&origin=CLUSTER_EXPANSION&position=0&searchId=0bf95569-b297-405a-bf67-0a43b5140a37&sid=RAV&sortBy=%22date_posted%22
Bill Gates,Male,2023-08-27,"Some memories stick with you forever. Others follow you around the internet for 28 years. Happy birthday, Windows.",75898,"1,984","1,332",https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc&keywords=bill%20gates&origin=CLUSTER_EXPANSION&position=0&searchId=0bf95569-b297-405a-bf67-0a43b5140a37&sid=RAV&sortBy=%22date_posted%22
Bill Gates,Male,2024-02-27,Every trip with my dad was special—including our last visit to the Taj Mahal. I can’t wait to go back to India later this month.,51641,"1,183",203,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc&keywords=bill%20gates&origin=CLUSTER_EXPANSION&position=0&searchId=0bf95569-b297-405a-bf67-0a43b5140a37&sid=RAV&sortBy=%22date_posted%22
Bill Gates,Male,2022-04-27,"I really enjoyed reading these five books this year, and I think you will too.",43890,"1,274","1,438",https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc&keywords=bill%20gates&origin=CLUSTER_EXPANSION&position=0&searchId=0bf95569-b297-405a-bf67-0a43b5140a37&sid=RAV&sortBy=%22date_posted%22
Bill Gates,Male,2024-02-27,"It was an honor to speak to the talented students at Indian Institute of Technology, Delhi. I'm confident that their generation will come up with new technologies to tackle tough problems and pave the way for scalable, sustainable ways to improve the human condition.",42140,471,297,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc&keywords=bill%20gates&origin=CLUSTER_EXPANSION&position=0&searchId=0bf95569-b297-405a-bf67-0a43b5140a37&sid=RAV&sortBy=%22date_posted%22
Bill Gates,Male,2021-04-27,"Most of the books on my summer reading list this year touch on what happens when people come into conflict with the world around them. I’ve included a look at how researchers are trying to undo damage done to the planet by humans, a deep dive about how your body keeps you safe from microscopic invaders, a president’s memoir that addresses the fallout from an oil spill, and a novel about a group of ordinary people fighting to save the trees. There’s also a fascinating look at the downfall of one of America’s greatest companies.I hope at least one of these books sparks your interest this summer.",31821,"1,227","1,181",https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc&keywords=bill%20gates&origin=CLUSTER_EXPANSION&position=0&searchId=0bf95569-b297-405a-bf67-0a43b5140a37&sid=RAV&sortBy=%22date_posted%22
Bill Gates,Male,2024-03-27,"I learn something new and inspiring every time I visit India—and my latest trip was no exception. As always, I was blown away by the ideas and inventions coming out of this country.",31240,559,625,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc&keywords=bill%20gates&origin=CLUSTER_EXPANSION&position=0&searchId=0bf95569-b297-405a-bf67-0a43b5140a37&sid=RAV&sortBy=%22date_posted%22
Bill Gates,Male,2023-04-27,I’m lucky to have been involved with the PC and Internet revolution. I’m just as excited about this moment with artificial intelligence.,30546,"1,084","2,541",https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc&keywords=bill%20gates&origin=CLUSTER_EXPANSION&position=0&searchId=0bf95569-b297-405a-bf67-0a43b5140a37&sid=RAV&sortBy=%22date_posted%22
Bill Gates,Male,2023-12-27,"When I think back on 2023, I will always remember it as the year I became a grandfather. It was amazing to watch my daughter Jenn and her husband Nayel welcome Leila into the world.  Another highlight was sharing the stage with Phoebe, my youngest, at the Bill & Melinda Gates Foundation Goalkeepers event. It’s been a special joy to watch my children grow up to become invaluable sources of wisdom in their own right. With the launch of my new podcast, I had the opportunity to meet and learn from incredible experts—and do fun things like gift Seth Rogen my very own ceramic creation and surprise a music legend like Questlove with a record. It’s been a wonderful year. I’m looking forward to all that’s to come in the next one.",29669,734,216,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc&keywords=bill%20gates&origin=CLUSTER_EXPANSION&position=0&searchId=0bf95569-b297-405a-bf67-0a43b5140a37&sid=RAV&sortBy=%22date_posted%22
Bill Gates,Male,2021-04-27,Avoiding a climate disaster will be really hard. But we can do it. This book is about what it will take to get to zero greenhouse gas emissions—from deploying the tools we already have like solar and wind to creating and rolling out breakthrough technologies that can take us the rest of the way.,27715,"1,665",791,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc&keywords=bill%20gates&origin=CLUSTER_EXPANSION&position=0&searchId=0bf95569-b297-405a-bf67-0a43b5140a37&sid=RAV&sortBy=%22date_posted%22
Bill Gates,Male,2023-11-27,"I love learning more about complex health issues like sanitation. So it was great to visit a sewer museum about thirty feet below Brussels. I learned a lot about the surprising history of the city’s wastewater system—and how scientists test wastewater for COVID, polio, and other diseases to keep people healthy. #WorldToiletDay",23739,910,446,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc&keywords=bill%20gates&origin=CLUSTER_EXPANSION&position=0&searchId=0bf95569-b297-405a-bf67-0a43b5140a37&sid=RAV&sortBy=%22date_posted%22
Bill Gates,Male,2024-04-06,I do!,23250,"1,346",371,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc&keywords=bill%20gates&origin=CLUSTER_EXPANSION&position=0&searchId=0bf95569-b297-405a-bf67-0a43b5140a37&sid=RAV&sortBy=%22date_posted%22
Bill Gates,Male,2024-02-27,"India’s culture of innovation always inspires me. During my trip last year, I took an electric rickshaw for a spin through the streets of Delhi.",22529,725,418,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc&keywords=bill%20gates&origin=CLUSTER_EXPANSION&position=0&searchId=0bf95569-b297-405a-bf67-0a43b5140a37&sid=RAV&sortBy=%22date_posted%22
Bill Gates,Male,2023-04-27,"As big as the problems facing the world are right now, my visit to India reminded me that our capacity to solve them is even bigger.",21627,717,427,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc&keywords=bill%20gates&origin=CLUSTER_EXPANSION&position=0&searchId=0bf95569-b297-405a-bf67-0a43b5140a37&sid=RAV&sortBy=%22date_posted%22
