Author,Gender,Date,Post Text,Likes,Comments,Shares,Page Link
Dean Seddon,Male,2024-02-27,"""One day"" will become a regret.Start now",1289,70,24,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAcEjSkBZ0YdUbxNrqzBhjBkPFSLNDGfTD8%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAcEjSkBZ0YdUbxNrqzBhjBkPFSLNDGfTD8&keywords=dean%20seddon&origin=CLUSTER_EXPANSION&position=0&searchId=a83a2fa7-2549-4092-a90e-68f85c4fb648&sid=D1R&sortBy=%22date_posted%22
Dean Seddon,Male,2023-04-27,Who doesn't love a hack right?These are simple and anyone can do them.,857,35,9,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAcEjSkBZ0YdUbxNrqzBhjBkPFSLNDGfTD8%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAcEjSkBZ0YdUbxNrqzBhjBkPFSLNDGfTD8&keywords=dean%20seddon&origin=CLUSTER_EXPANSION&position=0&searchId=a83a2fa7-2549-4092-a90e-68f85c4fb648&sid=D1R&sortBy=%22date_posted%22
Dean Seddon,Male,2023-10-27,"ALWAYS look beyond the surface...In a world where appearances often take the spotlight, it's crucial to remember that just because something looks good from the outside doesn't necessarily mean it's good on the inside.We're constantly bombarded with beautifully curated images on social media and polished presentations in business, making it easy to be deceived by surface-level allure.This can apply to everything from products and services to personal relationships and career opportunities.The truth is, that the superficial can be misleading.We must learn to see beyond the façade and dig deeper to uncover the substance beneath.In Business, it's about evaluating the actual value a company or product offers, rather than being swayed solely by slick marketing.In our personal lives, it means valuing authenticity and character over image and popularity.The lesson is clear: Look past the aesthetics, explore the depths, and assess the true worth of what lies beneath the surface. This discernment will not only help you make wiser decisions but also build more meaningful and genuine connections.In a world that often prioritizes the glitzy veneer, remember that substance and integrity are what truly matter in the end.#leadership #management #marketing",785,81,96,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAcEjSkBZ0YdUbxNrqzBhjBkPFSLNDGfTD8%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAcEjSkBZ0YdUbxNrqzBhjBkPFSLNDGfTD8&keywords=dean%20seddon&origin=CLUSTER_EXPANSION&position=0&searchId=a83a2fa7-2549-4092-a90e-68f85c4fb648&sid=D1R&sortBy=%22date_posted%22
Dean Seddon,Male,2024-03-27,"Is it a job or a mission?People with a purpose are easy to spot - their energy is infectious.Their work isn't a job, it's a mission.They believe in it, they're passionate about it, they go the extra mile.Working just for the pay check is no way to live.Becoming great at something and wanting to make a difference with your skills is how we find purpose and meaning to life.So, how can you use your skillset and turn your work into a mission? ➡️ Passionate Pursuit: Find what truly ignites your passion and aligns with your values. Discover the area where your skills and interests converge, and where you feel most alive. ➡️ Lifelong Learning: Embrace a growth mindset and commit to continuous learning. Stay curious, seek out new challenges, and strive to expand your knowledge and skills. ➡️ Seek Mastery: Strive for excellence in everything you do. Set high standards for yourself and work diligently to surpass them. Be relentless in your pursuit of mastery.➡️ Collaboration: Connect with like-minded individuals who share your passion. Collaborate, exchange ideas, and learn from others in your field. ➡️  Embrace Challenges: Step outside your comfort zone and embrace challenges. Embrace the unknown, take risks, and welcome failure as an opportunity for growth. When you have a mission, work no longer feels like a mundane routine it fuels your ambition and gives your life meaning.People living with a purpose are great people to be around.They are a source of inspiration - a catalyst for personal and professional growth, and a platform for making a positive impact on the world. We can create a world where our professions become our missions, and where our collective efforts contribute to a brighter future.",693,93,63,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAcEjSkBZ0YdUbxNrqzBhjBkPFSLNDGfTD8%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAcEjSkBZ0YdUbxNrqzBhjBkPFSLNDGfTD8&keywords=dean%20seddon&origin=CLUSTER_EXPANSION&position=0&searchId=a83a2fa7-2549-4092-a90e-68f85c4fb648&sid=D1R&sortBy=%22date_posted%22
Dean Seddon,Male,2023-12-27,Weirdly true.,603,56,6,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAcEjSkBZ0YdUbxNrqzBhjBkPFSLNDGfTD8%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAcEjSkBZ0YdUbxNrqzBhjBkPFSLNDGfTD8&keywords=dean%20seddon&origin=CLUSTER_EXPANSION&position=0&searchId=a83a2fa7-2549-4092-a90e-68f85c4fb648&sid=D1R&sortBy=%22date_posted%22
Dean Seddon,Male,2024-03-27,"""You obviously come from money""This was a comment I got on TikTokMy advice was being criticised because I was 'obviously minted from birth'In other words, my advice wasn't valid because they judged me to be from wealthy roots.It couldn't be further from the truth...Here is the reality about me...➡️ Introvert by nature➡️ No university education️➡️ Working class upbringing➡️ Had to sell door to door to get by️➡️ Bootstrapped my business ( No VCs)➡️ Got myself £250k in debt trying to build it➡️ Lost a few friends (I thought they were friends)I've been the person with two kids and less than £10 in the bank.It's not nice.You feel like you've let your family down.BUT...✅️ Also built a business that has a global impact✅️ Transformed hundreds of other businesses using my social selling training.Sometimes people invalidate your opinions because they don't see the struggle.They can't see your journey, they just see you now.I used to do this too...I would dismiss expertise from others because.....""They had it easy""Get help from people who've done what you want to do....",593,123,1,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAcEjSkBZ0YdUbxNrqzBhjBkPFSLNDGfTD8%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAcEjSkBZ0YdUbxNrqzBhjBkPFSLNDGfTD8&keywords=dean%20seddon&origin=CLUSTER_EXPANSION&position=0&searchId=a83a2fa7-2549-4092-a90e-68f85c4fb648&sid=D1R&sortBy=%22date_posted%22
Dean Seddon,Male,2023-12-27,"Before you win, everyone will ask you why you're working so hard.  After you win, the same people will tell you how lucky you are.",588,40,19,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAcEjSkBZ0YdUbxNrqzBhjBkPFSLNDGfTD8%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAcEjSkBZ0YdUbxNrqzBhjBkPFSLNDGfTD8&keywords=dean%20seddon&origin=CLUSTER_EXPANSION&position=0&searchId=a83a2fa7-2549-4092-a90e-68f85c4fb648&sid=D1R&sortBy=%22date_posted%22
Dean Seddon,Male,2024-03-27,Make the decision.Then take the first step.,568,20,20,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAcEjSkBZ0YdUbxNrqzBhjBkPFSLNDGfTD8%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAcEjSkBZ0YdUbxNrqzBhjBkPFSLNDGfTD8&keywords=dean%20seddon&origin=CLUSTER_EXPANSION&position=0&searchId=a83a2fa7-2549-4092-a90e-68f85c4fb648&sid=D1R&sortBy=%22date_posted%22
Dean Seddon,Male,2024-03-27,7 steps to happiness.....♻️Repost and share this with your network,566,41,205,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAcEjSkBZ0YdUbxNrqzBhjBkPFSLNDGfTD8%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAcEjSkBZ0YdUbxNrqzBhjBkPFSLNDGfTD8&keywords=dean%20seddon&origin=CLUSTER_EXPANSION&position=0&searchId=a83a2fa7-2549-4092-a90e-68f85c4fb648&sid=D1R&sortBy=%22date_posted%22
Dean Seddon,Male,2024-03-27,We fall. We learn.We rise.,561,146,13,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAcEjSkBZ0YdUbxNrqzBhjBkPFSLNDGfTD8%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAcEjSkBZ0YdUbxNrqzBhjBkPFSLNDGfTD8&keywords=dean%20seddon&origin=CLUSTER_EXPANSION&position=0&searchId=a83a2fa7-2549-4092-a90e-68f85c4fb648&sid=D1R&sortBy=%22date_posted%22
