Author,Gender,Date,Post Text,Likes,Comments,Shares,Page Link
Emmy Sobieski CFA,Female,2023-04-27,"How My $100M Trade of A Lifetime Led to Career ComplacencyIn 2000, I recommended we bet $2 billion that semiconductors would go down.I was betting against everyone else. I knew my billionaire boss had hired me to get this ONE trade right.He made over $100M personally on that ONE trade.The year before, I’d made my previous boss $24M by running the #1 fund in the world.I had what it takes to make big money, but it was for others…The logical next steps to MY $100M were: (1) Launching my own fund or (2) Joining a tech startup in silicon valleyInstead, I played it safe for 14 years as an employee - not an owner. My waiting wasted 14 years of potential wealth and career compounding.​I realized I was on a path of the 3 B’s: Break In, Build Equity, and Break Out.But I got stuck in Breaking In. Don’t do what I did. Follow the 3 B’s for a high leverage $100M career:Break In: Get a job in investment banking, management consulting, or investing. You can also break in working at a great startup.You can break in later too. I didn’t have the grades and was able to break in later, using my MBA at USC.Build Equity:Get paid for performance, not based on your salary, but based on the inherent leverage in the business.Break Out:Build your own firm, either a startup or asset management company.The very wealthiest in the world, they all went to Phase 3. Elon Musk. Bill Gates. Warren Buffett. Multiple female billionaires like the Sarah Blakely, CEO of Spanx.#investing #venturecapital #entrepenurship",69,15,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABWFie8B8fDf38Kg9hW8O1evNvA7A8s8fII%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABWFie8B8fDf38Kg9hW8O1evNvA7A8s8fII&keywords=emmy%20sobieski%20cfa&origin=CLUSTER_EXPANSION&position=0&searchId=3fec08fe-0c77-48db-b257-20fe7cbb3609&sid=%3BE%2C&sortBy=%22date_posted%22
Emmy Sobieski CFA,Female,2024-01-27,"Patagonia 30-Day Escape: 1 of 15 TakeawaysI put off unplugging and going to my dream destination of Patagonia for over 20 years.Over the next 10 days, I'll share photos and lessons learned on my journey to one of the least populated areas on earth.1. DON'T DELAY YOUR DREAMSThe first time I heard about Patagonia, it was on an earnings call in 2000.The CEOs of JDS and Uniphase, two optical chip companies, ran into each other on a hike in Patagonia and decided to merge their companies.I thought, that Patagonia must be a powerful place!Yet, I waited 23 years to take one month off and explore.It was only an 8-hour flight from Miami to Buenos Aires, similar to going to Europe.Don't delay your dreams like I did!#entrepreneurship #management #wealth",61,22,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABWFie8B8fDf38Kg9hW8O1evNvA7A8s8fII%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABWFie8B8fDf38Kg9hW8O1evNvA7A8s8fII&keywords=emmy%20sobieski%20cfa&origin=CLUSTER_EXPANSION&position=0&searchId=3fec08fe-0c77-48db-b257-20fe7cbb3609&sid=%3BE%2C&sortBy=%22date_posted%22
Emmy Sobieski CFA,Female,2023-04-27,I’ve read Des Hague’s book. It’s a masterclass on breaking out of poverty and adversity to advance all the way to the C-Suite of the world’s largest companies.  Amazing lessons here for anyone starting out in their career.#careers #management #money,48,13,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABWFie8B8fDf38Kg9hW8O1evNvA7A8s8fII%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABWFie8B8fDf38Kg9hW8O1evNvA7A8s8fII&keywords=emmy%20sobieski%20cfa&origin=CLUSTER_EXPANSION&position=0&searchId=3fec08fe-0c77-48db-b257-20fe7cbb3609&sid=%3BE%2C&sortBy=%22date_posted%22
Emmy Sobieski CFA,Female,2023-07-27,"Networking: Your ultimate key to unlocking investment opportunities? 🗝️You may have noticed individuals showcasing their successful private investments.How do these people get so lucky?Networking played a major role in their investment journey and it can do the same for you!Successful investors attribute their wealth to their network. Nowadays, you have access to incredible people online, especially on LinkedIn. By learning from them and getting to know them, you can increase your chances of finding great investments. Networking is your “get lucky” ticket. How do you identify great managers and investment opportunities?1- Be able to recognize great managers by observing people over time. Track their decisions, how they make them, and how they treat others. 2- Be able to “add value” so they want you as an investor. Build your trifecta – know smart people, have your own skills and knowledge, and know others who can help them succeed. Educate yourself, be curious, and think of your career as a networking opportunity rather than a list of jobs. Remember, it’s never too late. Start building your connections today and unlock a world of opportunities in the realm of investing. 🚀#careers #investing #entrepenurship",36,4,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABWFie8B8fDf38Kg9hW8O1evNvA7A8s8fII%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABWFie8B8fDf38Kg9hW8O1evNvA7A8s8fII&keywords=emmy%20sobieski%20cfa&origin=CLUSTER_EXPANSION&position=0&searchId=3fec08fe-0c77-48db-b257-20fe7cbb3609&sid=%3BE%2C&sortBy=%22date_posted%22
Emmy Sobieski CFA,Female,2023-04-27,"I really enjoyed speaking to the fantastic group of MBA students at Boston University""Dear Emmy: I wanted to take a moment to express our sincere appreciation for your distinguished guest lecture to our MBA students last Thursday. Your fantastic lecture was both informative and inspiring, and it left a lasting impression on everyone in attendance. The three topics you covered during your lecture were particularly enlightening. Your insights on how to moonshot an MBA career to $100M were invaluable, and the strategies you shared for achieving such an ambitious goal will undoubtedly be put into practice by our students. Your predictions about what's next after GPT were thought-provoking, and it's clear that you have a deep understanding of these unique emerging technologies and their potential impact on society. Your tech forecasting skill is surely amazing. Finally, your advice on using competitive storytelling to win funding, customers, and talent was creative, practical and insightful. Your own success as a storyteller was evident throughout your lecture, and our students were fortunate to learn from someone with such a talent for capturing an audience's attention. Thank you again for your time and expertise, Emmy. Your lecture was a highlight of our MBA semester, and we hope to have the opportunity to welcome you back in the future.  ""#careers #entrepreneurship #personaldevelopment",33,9,1,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABWFie8B8fDf38Kg9hW8O1evNvA7A8s8fII%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABWFie8B8fDf38Kg9hW8O1evNvA7A8s8fII&keywords=emmy%20sobieski%20cfa&origin=CLUSTER_EXPANSION&position=0&searchId=3fec08fe-0c77-48db-b257-20fe7cbb3609&sid=%3BE%2C&sortBy=%22date_posted%22
Emmy Sobieski CFA,Female,2023-06-27,"Stop taking notes during meetings. Seriously. 📝❌At first, like any good analyst, I took notes. I wanted to remember everything that was said.But as we walked out of a meeting one day, my previous boss told me, ""You’re smart enough to remember what was said for thirty minutes. Don't take notes.""Here's why you should ditch the notepad and embrace a new approach:In today's fast-paced business world, it's common for professionals to enter meetings armed with notepads or laptops, ready to jot down every detail of the conversation.However, my old boss challenged this approach by encouraging his analysts to stop taking notes during meetings. Instead, he recommends retaining information mentally and jotting down key points after leaving the room.Why should you adopt this unconventional method?The idea is that taking notes during meetings can make others feel guarded and less open to sharing valuable information. By refraining from writing down every word, you can maintain eye contact and focus on the speaker, making them feel important and heard. This subtle shift can lead to richer, more insightful conversations and ultimately, better networking experiences.Another critical aspect of networking is mastering the art of conversation.To become a better conversationalist, ask open-ended, neutral questions followed by relevant follow-ups. This hopscotch method allows you to delve deeper into a topic without making the other person feel uncomfortable or pressured to overshare. Remember, the key to successful networking is to talk less, ask more, and listen intently.#careers #entrepreneurship #venturecapital",33,20,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABWFie8B8fDf38Kg9hW8O1evNvA7A8s8fII%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABWFie8B8fDf38Kg9hW8O1evNvA7A8s8fII&keywords=emmy%20sobieski%20cfa&origin=CLUSTER_EXPANSION&position=0&searchId=3fec08fe-0c77-48db-b257-20fe7cbb3609&sid=%3BE%2C&sortBy=%22date_posted%22
Emmy Sobieski CFA,Female,2023-05-27,"“If you have those two things, I challenge you to try to be unhappy.”On the Lifeonaire Show with Jason Wojo, I share the two pieces you need to be a happy millionaire or billionaire.😄Control over your Calendar.Calendar control is not an empty calendar.  It’s a schedule (or lack thereof!) that perfectly suits your personality, goals, and desired life.  Build it with purpose!Most with control over their calendar, not having to leave their kid’s birthday party to pitch a deal, are happier and at peace. 😄Control over your Confidence.Confidence is being able to separate you from your achievements.  Be comfortable in your skin. Know you have value as a human being. Know you have value to others as a mother, father, partner, and friend, separate from your net worth.Confidence is being, not doing.Confidence is also a life-long process.  You’re worth it. I had such a fantastic time with Jason and Peter on their podcast, check it out!“Secrets from the $100M Career Coach” https://lnkd.in/gu8WQauG#entrepreneurship #careers #venturecapital",30,8,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABWFie8B8fDf38Kg9hW8O1evNvA7A8s8fII%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABWFie8B8fDf38Kg9hW8O1evNvA7A8s8fII&keywords=emmy%20sobieski%20cfa&origin=CLUSTER_EXPANSION&position=0&searchId=3fec08fe-0c77-48db-b257-20fe7cbb3609&sid=%3BE%2C&sortBy=%22date_posted%22
Emmy Sobieski CFA,Female,2021-04-27,"Can You De-Stress Yourself? How? Avoidance or Action?Many think de-stressing is avoidance. Avoid stressful people, situations, thoughts, feelings, emotionsAvoidance is tactical. Let’s get strategic!Sometimes avoidance 𝒊𝒔 the best strategy.Mostly, a more active approach will serve you. Step 1: Build Resilience to be Prepared for StressBuild your vagal tone (mind-gut connection) and immune system:🎯 Connect with friends🎯 Walk in the sun, breathe and meditate🎯 Avoid sugar, fast, processed or junk foods🎯 Eat whole foods, probiotics & prebiotics Step 2: Process Stress🎯 Strong vagal tone helps de-stress your body actively and quickly🎯 Healthy gut (microbiome) is home to 95% of your serotonin receptors🎯 Mind connected to a healthy gut allows you to feel more satisfied and peaceful in lifeHow do you prepare for or deal with stress?#motivation #health #My10Min",29,14,1,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABWFie8B8fDf38Kg9hW8O1evNvA7A8s8fII%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABWFie8B8fDf38Kg9hW8O1evNvA7A8s8fII&keywords=emmy%20sobieski%20cfa&origin=CLUSTER_EXPANSION&position=0&searchId=3fec08fe-0c77-48db-b257-20fe7cbb3609&sid=%3BE%2C&sortBy=%22date_posted%22
Emmy Sobieski CFA,Female,2023-11-27,"My second book, $100M Wealth, is out.For my first book, I was worried and tried to game the Amazon algorithm. This time, I trusted that I wrote valuable content for an audience I know.No algorithm gaming.No weird tactics.Just release and share. And I woke up to an Amazon #1 Bestseller status and #1 New Release (in a small category). 🎉 Thank you everyone! 🙏 Curious what $100M Wealth includes?1. How to combine your career and investing strategy to massively increase your chances at wealth.2. How to map your wealth destination by architecting your own personal money flywheel.3. How to map the path to your destination by knowing where you are and where you are going using the 3Bs (Breaking In, Building Equity, and Breaking Out) framework.4. How to remove roadblocks on your way to success using the $100M Wealth Pyramid.5. How to use the Positive Change Investing System used by the Billionaires I worked for to analyze target industries and companies to invest in AND to work for.Your career is your biggest single investment. Research it like you are putting all your money into one stock!Check out the comments for my investing framework and where you can buy $100M Wealth.#wealth #career #investmentbanking",29,29,1,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABWFie8B8fDf38Kg9hW8O1evNvA7A8s8fII%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABWFie8B8fDf38Kg9hW8O1evNvA7A8s8fII&keywords=emmy%20sobieski%20cfa&origin=CLUSTER_EXPANSION&position=0&searchId=3fec08fe-0c77-48db-b257-20fe7cbb3609&sid=%3BE%2C&sortBy=%22date_posted%22
Emmy Sobieski CFA,Female,2024-02-27,"Patagonia 30-Day Escape 15 of 15 Takeaways15. PLAY IS UNDER-RATED On the first day cruising in the Chilean Fjords of Patagonia, we took black Zodiac inflatable boats out to an island inhabited by cute penguins.It was early summer, so the baby penguins are in the background, swimming in the small bay behind the rock.We learn far faster and better when we are relaxed. It's easiest to be relaxed when playing.We can use play to advance at work:✅ Have fun with your customers and watch the relationship deepen.✅ Opt for gamified learning of any new skill you or your team wants to master.✅ Don't underestimate teambuilding playful getaways for increasing communication faster than long seminars.What place do you think play has in business?#management #entrepreneurship #inspiration",28,24,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABWFie8B8fDf38Kg9hW8O1evNvA7A8s8fII%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABWFie8B8fDf38Kg9hW8O1evNvA7A8s8fII&keywords=emmy%20sobieski%20cfa&origin=CLUSTER_EXPANSION&position=0&searchId=3fec08fe-0c77-48db-b257-20fe7cbb3609&sid=%3BE%2C&sortBy=%22date_posted%22
