Author,Gender,Date,Post Text,Likes,Comments,Shares,Page Link
Gary Vaynerchuk,Male,2024-02-27,"Stop overthinking .. it’s driving you crazy… we just over do it these days … worried about so much .. when in actuality we control so little … focus on a deep breath and a little more joy instead of stressing about many things you have no control over anyway … doesn’t mean be aloof, it just means you need to relax a little more .. it will actually help you solve shit ;) 🪣🪜⚓️",55676,"1,361","3,539",https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAACgAVMBb8w4dbaqCMriT5tTYE0H4M_oFKE%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAACgAVMBb8w4dbaqCMriT5tTYE0H4M_oFKE&keywords=gary%20vaynerchuk&origin=CLUSTER_EXPANSION&position=0&searchId=e214fa94-7d13-4c23-ba32-8efb196ddcac&sid=xia&sortBy=%22date_posted%22
Gary Vaynerchuk,Male,2024-03-27,This video hits on one of the biggest issues in the “game” & we couldn’t recommend it more for those in charge .. please really lean in on this video⁣,28407,"1,190","4,548",https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAACgAVMBb8w4dbaqCMriT5tTYE0H4M_oFKE%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAACgAVMBb8w4dbaqCMriT5tTYE0H4M_oFKE&keywords=gary%20vaynerchuk&origin=CLUSTER_EXPANSION&position=0&searchId=e214fa94-7d13-4c23-ba32-8efb196ddcac&sid=xia&sortBy=%22date_posted%22
Gary Vaynerchuk,Male,2024-03-27,"People want to succeed fast because they want to prove something to somebody else.That’s what makes them vulnerable.People might think ambition contradicts patience, but I think patience is the path to your ambitions.People often don’t achieve their ambitions because of their own insecurity. In their desperation to put wins on the board so the audience claps for them, they end up taking shortcuts.It’s hard for such people to build a meaningful business because they’re so focused on making a million dollars and buying clothes, boats, and other fancy things without having cultivated patience.Whatever you do professionally is normally going to be something that will take up most of your life, so patience is a practical way to get to your ambition and build something meaningful.",14827,786,910,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAACgAVMBb8w4dbaqCMriT5tTYE0H4M_oFKE%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAACgAVMBb8w4dbaqCMriT5tTYE0H4M_oFKE&keywords=gary%20vaynerchuk&origin=CLUSTER_EXPANSION&position=0&searchId=e214fa94-7d13-4c23-ba32-8efb196ddcac&sid=xia&sortBy=%22date_posted%22
Gary Vaynerchuk,Male,2024-03-27,Let’s all really take this in this morning 💛 ..if not an email make those meetings 15m  .. please share this with someone on your team right now … or slack or email it to your company …so much waste in corporate meetings,13734,812,685,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAACgAVMBb8w4dbaqCMriT5tTYE0H4M_oFKE%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAACgAVMBb8w4dbaqCMriT5tTYE0H4M_oFKE&keywords=gary%20vaynerchuk&origin=CLUSTER_EXPANSION&position=0&searchId=e214fa94-7d13-4c23-ba32-8efb196ddcac&sid=xia&sortBy=%22date_posted%22
Gary Vaynerchuk,Male,2024-04-24,Love is a better motivator than fear in business.,11754,419,"1,101",https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAACgAVMBb8w4dbaqCMriT5tTYE0H4M_oFKE%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAACgAVMBb8w4dbaqCMriT5tTYE0H4M_oFKE&keywords=gary%20vaynerchuk&origin=CLUSTER_EXPANSION&position=0&searchId=e214fa94-7d13-4c23-ba32-8efb196ddcac&sid=xia&sortBy=%22date_posted%22
Gary Vaynerchuk,Male,2024-03-27,Did the people you love wake up today ???Well then whatever you’re complaining about right now is dramatically less important ..imagine if what you’re upset about right now was all fixed but you had something horrible happen last night ..we need more perspective…let’s use this moment as a sign ❤️❤️❤️🩷,11423,309,444,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAACgAVMBb8w4dbaqCMriT5tTYE0H4M_oFKE%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAACgAVMBb8w4dbaqCMriT5tTYE0H4M_oFKE&keywords=gary%20vaynerchuk&origin=CLUSTER_EXPANSION&position=0&searchId=e214fa94-7d13-4c23-ba32-8efb196ddcac&sid=xia&sortBy=%22date_posted%22
Gary Vaynerchuk,Male,2024-02-27,"This statement below is very real, it’s too real, so many spend so much time beating themselves up for things that are out of their control or for things they are working on within themselves but they haven’t “gotten there” and even “getting there” is one’s own judgement on themselves.🩷 do me a favor, read this, take a step back, take a deep breathe, no I mean a deep one, exhale, and smile, literally smile and then say, I love you, to yourself .. today's gonna be a great day … because you decided it is",11418,464,835,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAACgAVMBb8w4dbaqCMriT5tTYE0H4M_oFKE%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAACgAVMBb8w4dbaqCMriT5tTYE0H4M_oFKE&keywords=gary%20vaynerchuk&origin=CLUSTER_EXPANSION&position=0&searchId=e214fa94-7d13-4c23-ba32-8efb196ddcac&sid=xia&sortBy=%22date_posted%22
Gary Vaynerchuk,Male,2024-04-26,"Most new managers think that becoming a manager is the “graduation.”Truth is, it’s the reverse.Leaders work for their employees.That means you have to understand what your employees want at a deep level. You have to be constantly adapting to their needs and what they want from the organization.When you go from being someone who “executes” to someone who’s managing a team, you go from trading on IQ to trading on EQ.You go from doing the actual work to listening to employees, catering to what they want, taking the blame, and being the bigger person.",9633,375,955,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAACgAVMBb8w4dbaqCMriT5tTYE0H4M_oFKE%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAACgAVMBb8w4dbaqCMriT5tTYE0H4M_oFKE&keywords=gary%20vaynerchuk&origin=CLUSTER_EXPANSION&position=0&searchId=e214fa94-7d13-4c23-ba32-8efb196ddcac&sid=xia&sortBy=%22date_posted%22
Gary Vaynerchuk,Male,2024-03-27,"Tolerance for discomfort use to be a norm, today it’s a rarity ..this is a shout out to all that understand the bigger the goal the more discomfort you’ll need to expect ..it’s the reality 🏆",9119,386,670,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAACgAVMBb8w4dbaqCMriT5tTYE0H4M_oFKE%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAACgAVMBb8w4dbaqCMriT5tTYE0H4M_oFKE&keywords=gary%20vaynerchuk&origin=CLUSTER_EXPANSION&position=0&searchId=e214fa94-7d13-4c23-ba32-8efb196ddcac&sid=xia&sortBy=%22date_posted%22
Gary Vaynerchuk,Male,2024-03-27,Which are you great at and which are you working on?,9055,425,927,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAACgAVMBb8w4dbaqCMriT5tTYE0H4M_oFKE%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAACgAVMBb8w4dbaqCMriT5tTYE0H4M_oFKE&keywords=gary%20vaynerchuk&origin=CLUSTER_EXPANSION&position=0&searchId=e214fa94-7d13-4c23-ba32-8efb196ddcac&sid=xia&sortBy=%22date_posted%22
Gary Vaynerchuk,Male,2024-04-06,Always surround yourself with people who support you. Support paired with accountability is always a winning formula.,8723,436,949,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAACgAVMBb8w4dbaqCMriT5tTYE0H4M_oFKE%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAACgAVMBb8w4dbaqCMriT5tTYE0H4M_oFKE&keywords=gary%20vaynerchuk&origin=CLUSTER_EXPANSION&position=0&searchId=e214fa94-7d13-4c23-ba32-8efb196ddcac&sid=xia&sortBy=%22date_posted%22
