Author,Gender,Date,Post Text,Likes,Comments,Shares,Page Link
George Imafidon,Male,2023-09-27,FROM PECKHAM TO THE PALACE!!🎖️ Swung by Windsor Castle to pick up an MBE for services to young people and STEM through Motivez 👑This one is for US!! ❤️🙏🏾The marathon continues 🏁 #TheKidFromPeckham #MotivezMindset #GodDid #STEM,3313,345,36,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABT8qLUBnXxI7bgptgkBdCqFh87WJuzBa_8%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABT8qLUBnXxI7bgptgkBdCqFh87WJuzBa_8&keywords=george%20imafidon%20mbe&origin=CLUSTER_EXPANSION&position=0&searchId=0f5ef151-d99e-4b8c-a14b-4b1678762f1b&sid=DxW&sortBy=%22date_posted%22
George Imafidon,Male,2023-05-27,"George Imafidon MBE for services to young people and STEM!!🎖️🤯  This is for that little kid in Peckham and all the young people out there having to overcome countless barriers.Who would have thought that first bike at 9 years old would inspire all I do today as a humanitarian engineer 🚲👨🏾‍💻I want to say a massive thank you to whoever nominated me, family, friends, mentors and all of you for constantly putting your trust in us and supporting all the work at Motivez over these past 8 years 🎉There’s still A LOT of work for us all to do to break down barriers to STEM careers, and support young people from underserved backgrounds to become the next innovators - the focus for our next 8 years and beyond. Serving our way to top. ❤️The marathon continues 🏁#TheKidFromPeckham #MotivezMindset #YoungEngineerOfTheYear #STEM #MBE",2028,438,36,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABT8qLUBnXxI7bgptgkBdCqFh87WJuzBa_8%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABT8qLUBnXxI7bgptgkBdCqFh87WJuzBa_8&keywords=george%20imafidon%20mbe&origin=CLUSTER_EXPANSION&position=0&searchId=0f5ef151-d99e-4b8c-a14b-4b1678762f1b&sid=DxW&sortBy=%22date_posted%22
George Imafidon,Male,2023-05-27,"WE JUST SECURED FUNDING FROM BEYONCÉ!! 🐝🥳Over the last weekend, Motivez was chosen out of 400 amazing organisations by the BeyGOOD Foundation to support more young people to access STEM jobs! 🚀 We stepped into the room to celebrate the community of Black entrepreneurs and social Impact leaders over lunch and left surprised with a $10,000 cheque! 💰 Beyoncé has since donated $2 million from her Renaissance tour to make all this happen. This is what it looks like to keep the ladder down 💯 The funding will build on the impact of our employability programmes, like Application Season, to create more free resources and support for our young people hunting for their dream jobs 🚀 Massive thank you to the Carter-Knowles family Mathew Knowles, Ivy McGregor, MSDUK and everyone supporting us for making this possible! ❤️The marathon continues! 🏁#TheKidFromPeckham #MotivezMindset #BeyGood #STEM",1992,319,36,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABT8qLUBnXxI7bgptgkBdCqFh87WJuzBa_8%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABT8qLUBnXxI7bgptgkBdCqFh87WJuzBa_8&keywords=george%20imafidon%20mbe&origin=CLUSTER_EXPANSION&position=0&searchId=0f5ef151-d99e-4b8c-a14b-4b1678762f1b&sid=DxW&sortBy=%22date_posted%22
George Imafidon,Male,2023-10-27,"I’ve just been told that an Underground Station has been renamed after me for National Engineering Day! 🤯🎉One of my first-ever engineering work experiences was actually at TFL… Harrison Ofoma took a chance on me and exposed me to the transport world that set me up for all I do now shaping the future of Sustainable Motorsport with Lewis Hamilton’s electric racing team, TEAM X44  and Prodrive 🏎️⚡️ Engineers have been behind this type of work, improving everyday lives, for generations, so I’m grateful to be listed as one of the Engineering Icons shaping tomorrow! 🚀You can view the map online on the TfL website and in-person at the London Transport Museum - I’m at North Wembley station 🚊A massive thank you to the team at Royal Academy of Engineering and Transport for London for the recognition 💙 The marathon continues 🏁 #TheKidFromPeckham #NationalEngineeringDay #STEM",1935,228,37,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABT8qLUBnXxI7bgptgkBdCqFh87WJuzBa_8%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABT8qLUBnXxI7bgptgkBdCqFh87WJuzBa_8&keywords=george%20imafidon%20mbe&origin=CLUSTER_EXPANSION&position=0&searchId=0f5ef151-d99e-4b8c-a14b-4b1678762f1b&sid=DxW&sortBy=%22date_posted%22
George Imafidon,Male,2023-06-27,I’m happy to share that I’ve been promoted to Race Engineer for Lewis Hamilton's X44 Vida Carbon Racing team! 🏎 ⚡️ Grateful for the opportunity to step up for Season 3 and inspire many more young people to keep dreaming and pursue those STEM careers 🙏🏾#TheKidFromPeckham #MotivezMindset #YoungEngineerOfTheYear #STEM,1667,253,18,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABT8qLUBnXxI7bgptgkBdCqFh87WJuzBa_8%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABT8qLUBnXxI7bgptgkBdCqFh87WJuzBa_8&keywords=george%20imafidon%20mbe&origin=CLUSTER_EXPANSION&position=0&searchId=0f5ef151-d99e-4b8c-a14b-4b1678762f1b&sid=DxW&sortBy=%22date_posted%22
George Imafidon,Male,2024-03-27,"I’m excited to finally announce…that I just got into the Harvard Business School! 🎉 …the business school BUILDING!They let me inside!I asked the security guard politely and he said yes. Don’t give up on your dreams 🙏🏾😅If you were looking for the REAL announcement, don’t worry that’s coming tomorrow 😉👀Don’t take life too seriously and happy Monday! ✌🏾#TheKidFromPeckham #Boston #ItsNotEasy #Troll",1242,108,7,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABT8qLUBnXxI7bgptgkBdCqFh87WJuzBa_8%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABT8qLUBnXxI7bgptgkBdCqFh87WJuzBa_8&keywords=george%20imafidon%20mbe&origin=CLUSTER_EXPANSION&position=0&searchId=0f5ef151-d99e-4b8c-a14b-4b1678762f1b&sid=DxW&sortBy=%22date_posted%22
George Imafidon,Male,2023-08-27,"Huge thanks to both Foundervine and Lloyds Banking Group for the recognition. Chuffed to have won the inaugural ‘Changemaker of the Year Award’!! 🤯🙌🏾🏆As the most prestigious award of the night, this honour acknowledges an individual that has made a transformative and lasting impact on their community, industry, or society at large 🌍 To truly transform anything, it takes a village. I want to honour my INCREDIBLE community and team over at Motivez, as we continue to make STEM careers more accessible for thousands of young people 🚀 These moments are only possible because of all of you that support the mission, so THANK YOU, and God for continuing to use me 🙏🏾Let’s keep serving our way to top! ❤️The marathon continues! 🏁#TheKidFromPeckham #MotivezMindset #STEM #Purpose",1076,196,12,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABT8qLUBnXxI7bgptgkBdCqFh87WJuzBa_8%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABT8qLUBnXxI7bgptgkBdCqFh87WJuzBa_8&keywords=george%20imafidon%20mbe&origin=CLUSTER_EXPANSION&position=0&searchId=0f5ef151-d99e-4b8c-a14b-4b1678762f1b&sid=DxW&sortBy=%22date_posted%22
George Imafidon,Male,2024-03-27,"IT’S OFFICIAL!! 🚀I’ve joined the Corporate Advisory Board of the Hult International Business School!! 🎉   As a humanitarian engineer, I’ll be supporting the executive board and 4,500+ students in expanding the $180m non-profit organisation whilst developing the school’s curriculum, industry links and career development support so all the students can make a real impact in STEM and beyond 🙌🏾Looking forward to meeting some more students as I visit the campus’s across 3 continents including Boston, London, San Francisco and Dubai 🌍It’s so important to me to be a voice for the many that feel unseen and drive the change that we need the most in our institutions. God is GOOD and when it’s your time, it’s your time! 🙏🏾The marathon continues 🏁  #TheKidFromPeckham #MotivezMindset #STEM #TheRealAnnouncement #NewRole",1054,168,10,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABT8qLUBnXxI7bgptgkBdCqFh87WJuzBa_8%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABT8qLUBnXxI7bgptgkBdCqFh87WJuzBa_8&keywords=george%20imafidon%20mbe&origin=CLUSTER_EXPANSION&position=0&searchId=0f5ef151-d99e-4b8c-a14b-4b1678762f1b&sid=DxW&sortBy=%22date_posted%22
George Imafidon,Male,2023-10-27,"WE WON!!! 🏆🥳 I was named the Entrepreneur Rising Star of the Year by Barclays and The Black British Business Awards for our work at Motivez! 🎉Combining the engineering journey with entrepreneurship hasn’t always been easy 😬However, finding innovative ways to train thousands of underserved young people break into the STEM space, alongside connecting organisations with the diverse and skilled talent has been nothing short of purpose-driven 🙏🏾I’m forever grateful to all of you who have supported the Motivez journey and continue to inspire me ❤️🚀 The marathon continues 🏁#TheKidFromPeckham #MotivezMindset #STEM #BBBAwards",1020,152,14,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABT8qLUBnXxI7bgptgkBdCqFh87WJuzBa_8%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABT8qLUBnXxI7bgptgkBdCqFh87WJuzBa_8&keywords=george%20imafidon%20mbe&origin=CLUSTER_EXPANSION&position=0&searchId=0f5ef151-d99e-4b8c-a14b-4b1678762f1b&sid=DxW&sortBy=%22date_posted%22
George Imafidon,Male,2024-04-23,"WE DID IT! Completed the 2024 LONDON MARATHON with 42.2km in the bag!! ✅🏅I finally beat my record by 43 mins with a 4:00:00!! 🤯 Does that class as a sub-four? 😅 This year, I decided to run to support 60 local kids in South London with a STEM community programme 🚀 You can still support by VOTING for Motivez (Sustainable Southwark) and sharing with the link in the first comment - it takes 5 seconds!👇🏾Can’t thank my Nov Run Club family, friends, fellow runners and the crowd enough for coming out with the good vibes and keeping me going ❤️👏🏾I’ll be wearing this medal for the rest of the month, respectfully 😌The marathon continues  🏁 #TheKidFromPeckham #MotivezMindset #LondonMarathon2024 #Running #STEM",998,135,3,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABT8qLUBnXxI7bgptgkBdCqFh87WJuzBa_8%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABT8qLUBnXxI7bgptgkBdCqFh87WJuzBa_8&keywords=george%20imafidon%20mbe&origin=CLUSTER_EXPANSION&position=0&searchId=0f5ef151-d99e-4b8c-a14b-4b1678762f1b&sid=DxW&sortBy=%22date_posted%22
