Author,Gender,Date,Post Text,Likes,Comments,Shares,Page Link
Ira Zlotowitz,Male,2023-08-27,Humbled to be stitched by Ben Shapiro…,490,79,6,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAACLh-UBAabHGjZ6tXgzeFeDFY3RKkQxljI%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAACLh-UBAabHGjZ6tXgzeFeDFY3RKkQxljI&keywords=ira%20zlotowitz&origin=CLUSTER_EXPANSION&position=0&searchId=5b92b410-b505-477f-a2c0-4c74dbd5b9b1&sid=BOL&sortBy=%22date_posted%22
Ira Zlotowitz,Male,2023-12-27,Finally a great explanation of why many of us feel things have changed big time in the work place. Agree? Other thoughts? Like it you agree.,457,76,76,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAACLh-UBAabHGjZ6tXgzeFeDFY3RKkQxljI%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAACLh-UBAabHGjZ6tXgzeFeDFY3RKkQxljI&keywords=ira%20zlotowitz&origin=CLUSTER_EXPANSION&position=0&searchId=5b92b410-b505-477f-a2c0-4c74dbd5b9b1&sid=BOL&sortBy=%22date_posted%22
Ira Zlotowitz,Male,2023-09-27,"Kindness comes full circle!A little over 7 years ago, me and my wife were fortunate enough to be able take in a foster child. An amazing 7 year old boy. He never heard of, or saw, Disney world. We took him and our family to Orlando for midwinter in January 2016. Through a close family friend, David Goldis, I was introduced to the Rabbi of the Chofetz Chaim community and spent that midwinter shabbos at their home. They told me about the issue with their small Yeshiva about to get thrown out of the building and together with 1,000 of you - my LinkedIn network - campaign was launched to help save that Yeshiva. In 45 days $1.855mm was put together and they were saved. I never dreamed that 7 years later I would be bringing my granddaughter for her first day of school while I am vacationing once again in Orlando. They were 59 student then and now they have 191 including my granddaughter!If you were one of the 1,000 please like and tag. Thank You Hashem for allowing me the merit to be involved in this work.",291,58,1,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAACLh-UBAabHGjZ6tXgzeFeDFY3RKkQxljI%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAACLh-UBAabHGjZ6tXgzeFeDFY3RKkQxljI&keywords=ira%20zlotowitz&origin=CLUSTER_EXPANSION&position=0&searchId=5b92b410-b505-477f-a2c0-4c74dbd5b9b1&sid=BOL&sortBy=%22date_posted%22
Ira Zlotowitz,Male,2023-05-27,"Thank you God for bringing GPARENCY to this day!All of you were with me from day one - when this was just a dream - and as such I owe it to you to bring this industry changing news to you first. Within the last hour we just released the beta of two of the last three signature products which makes this a reality!These feature are for everyone in the commercial real estate space and, as per my last post, they are free! (Details in comments). If you are a broker, lender, service provider, or vendor and want me to introduce you to all of my clients then read down to the second feature. Feature 1:We understand that real estate investors often struggle with accessing information on deals they have come across in the past. It's common to hear statements like ""I know I saw that deal before, but I can't remember who sent it"" or ""I saw a deal in that area, but I forgot the address."" For the first time, we have a solution to this challenge. Our ""Map-based Acquisition Pipeline Management"" feature allows users to mark any commercial property on the map as a favorite and add notes. Users can then confidentially filter the map to only display their favorited deals, providing a comprehensive view of their real estate activities, such as deals passed on, offers made, and more. Additionally, every GP or LP can now view their schedule of real estate overlaid on a map with alerts.Feature 2:We have also addressed the need for investors to connect with individuals who possess in-depth knowledge of specific neighborhoods, while also providing an opportunity for lenders, brokers, vendors, and service providers to engage with investors/GP's. Our ""Movers and Shakers"" feature facilitates this connection by allowing vendors to mark their connections to a property and appear as a public contact for that property.Please help me pay it forward by liking this post and tagging a few people that you know in the CRE space that can benefit as an investor or vendor.",188,44,2,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAACLh-UBAabHGjZ6tXgzeFeDFY3RKkQxljI%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAACLh-UBAabHGjZ6tXgzeFeDFY3RKkQxljI&keywords=ira%20zlotowitz&origin=CLUSTER_EXPANSION&position=0&searchId=5b92b410-b505-477f-a2c0-4c74dbd5b9b1&sid=BOL&sortBy=%22date_posted%22
Ira Zlotowitz,Male,2023-11-27,"All we do are the inputs and God takes care of the rest!Like if you experienced examples like this in your life. Even better, feel free to share…",182,13,10,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAACLh-UBAabHGjZ6tXgzeFeDFY3RKkQxljI%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAACLh-UBAabHGjZ6tXgzeFeDFY3RKkQxljI&keywords=ira%20zlotowitz&origin=CLUSTER_EXPANSION&position=0&searchId=5b92b410-b505-477f-a2c0-4c74dbd5b9b1&sid=BOL&sortBy=%22date_posted%22
Ira Zlotowitz,Male,2023-05-27,"LIGHTBULB MOMENT!Let me give you some background... As many know, my drive to pursue GPARENCY  was always focused on one end goal—not about the money or going public at a 100x return—but about how I could utilize technology to help organizations and give back. Even before GPARENCY's official launch, I envisioned how I could utilize the success to uplift others.I decided a few months ago I didn't want to wait for that milestone to embark on building some of those dreams. Thank God, GPARENCY is seeing continued momentum, and now is the time to start giving back! One of my big dreams was launching a Shidduch matchmaking app honoring the memories of my mother and the son of my Eastern Union cofounder Abraham Bergman. I reached out to Sholom Rubin from Forwardslash, a company collaborating closely with our internal team at GPARENCY with an idea to develop the Shidduch app. Recognizing the potential, he recommended connecting with Clark Valberg, the founder of InVision and current Managing Partner at Tiferes Ventures, who he believed would be highly interested in supporting this initiative and helping it take flight.Clark is an incredible and accomplished mind in business, but here's the catch: our initial meeting was not centered around business; rather, it was for charity. Although I typically live on Zoom USA, for charity work I felt compelled to meet Clark in person. Thank God we hit it off right away! I knew I would love to talk to him about GPARENCY, but I stuck with the matter at hand and decided to save it for another time. I proposed Clark also meet with my brother Rabbi Gedaliah Zlotowitz who took over Artscroll, and he was very interested in seeing if he could use his expertise to give back there as well. He came up with an idea on how Artscroll could enhance their current searches using AI while still staying within the confines of Jewish law with no errors. I once again was very impressed with his business acumen, but I left my questions on GPARENCY aside and focused on charity.The very next day, this past week, Clark arranged to have another meeting with me to learn more about GPARENCY and possibly investing (he is a VC). For charity and Artscroll, I met him in person. When it came to talking business, I went back to Zoom and connected with him and his COO at Tiferes Ventures Michael Rubin. I shared with him that we had finally perfected the mortgage side—we just had our best month yet with 120 new deal submissions in May alone, we're expanding rapidly, and the market has been following us. But I also expressed that I didn't see a clear path forward on how to roll out the technology and tools we have for investors.While doing a demo of the technology, the questions he asked and our back-and-forth brought instant clarity. It was a lightbulb moment! Not only did it become evident to me, but it also resonated with everyone on our GPARENCY team as we discussed it afterward. Continued in comments….",181,42,1,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAACLh-UBAabHGjZ6tXgzeFeDFY3RKkQxljI%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAACLh-UBAabHGjZ6tXgzeFeDFY3RKkQxljI&keywords=ira%20zlotowitz&origin=CLUSTER_EXPANSION&position=0&searchId=5b92b410-b505-477f-a2c0-4c74dbd5b9b1&sid=BOL&sortBy=%22date_posted%22
Ira Zlotowitz,Male,2023-04-27,Very powerful…Tag a college kid that you believe has what it takes to be successful!And with AI this video is kore relevant,155,33,13,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAACLh-UBAabHGjZ6tXgzeFeDFY3RKkQxljI%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAACLh-UBAabHGjZ6tXgzeFeDFY3RKkQxljI&keywords=ira%20zlotowitz&origin=CLUSTER_EXPANSION&position=0&searchId=5b92b410-b505-477f-a2c0-4c74dbd5b9b1&sid=BOL&sortBy=%22date_posted%22
Ira Zlotowitz,Male,2023-04-27,Especially in these tough times…Every prayer and blessing counts!Please pay it forward by liking and tagging so other benefit.,155,41,6,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAACLh-UBAabHGjZ6tXgzeFeDFY3RKkQxljI%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAACLh-UBAabHGjZ6tXgzeFeDFY3RKkQxljI&keywords=ira%20zlotowitz&origin=CLUSTER_EXPANSION&position=0&searchId=5b92b410-b505-477f-a2c0-4c74dbd5b9b1&sid=BOL&sortBy=%22date_posted%22
Ira Zlotowitz,Male,2023-07-27,So true!!!In my life’s experience this applies to business and the rest of life as well. What do you think?,143,31,8,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAACLh-UBAabHGjZ6tXgzeFeDFY3RKkQxljI%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAACLh-UBAabHGjZ6tXgzeFeDFY3RKkQxljI&keywords=ira%20zlotowitz&origin=CLUSTER_EXPANSION&position=0&searchId=5b92b410-b505-477f-a2c0-4c74dbd5b9b1&sid=BOL&sortBy=%22date_posted%22
Ira Zlotowitz,Male,2023-06-27,"Free underwriting crash course!Please help me help you. In the beginning of August, God willing, I will be giving a CRE underwriting crash course to show you how you can personally UW a deal down to the IRR and waterfall splits with projections throughout the life of the investment. The enclosed video is a 6 minute presentation showing how you can UW the most complex calculations in minutes using the new GPARENCY acquisition calculator. This is how you can help me, help you, and pay it forward all at once:Please watch the video and/or log into the calculator - it is totally free - and post or DM me all of your comments and wish lists of what the calculator should include. If you aren’t in commercial real estate please tag someone that is. The goal of this calculator and course is to allow everyone that wants to get involved in commercial real estate to have more clarity and understand their numbers. Feel free to give all comments and ideas below or via DM.",139,28,16,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAACLh-UBAabHGjZ6tXgzeFeDFY3RKkQxljI%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAACLh-UBAabHGjZ6tXgzeFeDFY3RKkQxljI&keywords=ira%20zlotowitz&origin=CLUSTER_EXPANSION&position=0&searchId=5b92b410-b505-477f-a2c0-4c74dbd5b9b1&sid=BOL&sortBy=%22date_posted%22
