Author,Gender,Date,Post Text,Likes,Comments,Shares,Page Link
Ishaan Arora,Male,2023-10-27,"Top Tips for College Students -✅ Don’t Neglect College Marks: If you’re looking for placements or are planning to study abroad, marks are super necessary! ✅ Extra-Curricular Activities: Join that society, attend that conference, be a part of that sports team or anything else that happens in your college.✅ Networking: It helped me get majority of my internships! Pls use LinkedIn actively and learn to interact with people, be more resourceful etc.✅ Pick a Good Company: Believe it or not the people you spend your majority time with really shapes you as a person. So pick your friends wisely.✅ Don’t forget to have fun: Everything in life is important! Including spending time with friends and family, going on etcWhat would you add? 💡#college #students #growth #career",3060,108,11,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAACbGptEB7TxzyI4WWbRkoCV4Xaws0J_HxCY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAACbGptEB7TxzyI4WWbRkoCV4Xaws0J_HxCY&keywords=ishaan%20arora&origin=CLUSTER_EXPANSION&position=0&searchId=7c05fdf8-8281-48c6-995d-76ac05387574&sid=VOM&sortBy=%22date_posted%22
Ishaan Arora,Male,2023-11-27,"With 1500 rupees, at the age of 19 I started my company FinLadder ✨Completely bootstrapped, without dropping out and raising it to a profitable business with an 8-fig revenue. ⭐Here are my top 3 lessons for young entrepreneurs -1. Idea is overrated -I do get a bit of heat for saying it at times but this is the truth. Execution is the key. No great idea can work without it but the most common ones can also make a fortune just by working on execution. 💯2. Easier than you think -We are raised in a manner where cracking exams like CA/CFA, scoring 99 percentile in CAT, cracking a 20LPA etc is considered to be easy/possible and the common road but not starting up as it is considered to be very difficult and impossible. It is not true! Many startups do great, trust yourself. ❤️3. Dropping Out/Funding is not necessary -Pls don't drop out of your graduation. Some might have and made a fortune but trust me no one is showing their failures. Complete your basic education and manage things alongside - very much possible. ☀️Plus funding may or may not be needed depending upon the business model but in many cases you can do without it if you're still in college and starting up. 👌Thoughts? 💡",2826,116,5,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAACbGptEB7TxzyI4WWbRkoCV4Xaws0J_HxCY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAACbGptEB7TxzyI4WWbRkoCV4Xaws0J_HxCY&keywords=ishaan%20arora&origin=CLUSTER_EXPANSION&position=0&searchId=7c05fdf8-8281-48c6-995d-76ac05387574&sid=VOM&sortBy=%22date_posted%22
Ishaan Arora,Male,2024-02-27,"“I want your time and immersive presence, not your wallet!” 💸Sandeep Gupta, the visionary who chose to leave Harvard Business School and dedicate himself to shaping the futures of students across India! 🇮🇳 ✅With an impeccable score of 800/800 on the GMAT and 340/340 on the GRE, he has become a beacon of hope for countless aspiring MBA candidates. ✅Over the past 27 years, he has mentored nearly 500,000 students, guiding them toward their MBA dreams at prestigious institutions like Harvard, ISB, Columbia, Yale, and beyond. He claims - “Give me just 8 hours, and 𝐈'𝐥𝐥 𝐠𝐢𝐯𝐞 𝐲𝐨𝐮 𝐲𝐨𝐮𝐫 𝐝𝐫𝐞𝐚𝐦 𝐬𝐜𝐨𝐫𝐞 𝐚𝐧𝐝 𝐚𝐝𝐦𝐢𝐬𝐬𝐢𝐨𝐧.” 🔥✅𝐀𝐛𝐬𝐨𝐥𝐮𝐭𝐞𝐥𝐲 𝐅𝐫𝐞𝐞 𝐎𝐟 𝐂𝐨𝐬𝐭!- NO HYPE! PURE VALUE! ⭐️He firmly believes that every individual possesses the potential to achieve the coveted 99th or 100th percentile on the GMAT. All it takes is determination and an unwavering belief in oneself! 💯With this vision in mind and to turn his mission into reality, he is hosting the most power-packed, high-impact, and value-driven 8-hour FREE GMAT BOOTCAMP in Satya Sai Auditorium, Delhi on 11th Feb 2024, from 10 AM to 6 PM IST, for all the 2024 GMAT aspirants.  💡What to expect?✅In-depth coverage of recent GMAT questions✅Meet 99 and 100-percentile scorers✅Free event – no sales absolute knowledge✅Transition strategies to the new focus edition✅Live presence of GMAC for answering queries✅Free Profile Evaluation by industry experts.✅Meet the #gmac on spotOutside of this boot camp, you won't learn as much even with 1000 hours of preparation.Don't miss out on this unparalleled opportunity to kickstart your GMAT journey with a true expert by your side. 🙌🏻📝 Secure your spot now: [Link in comments]I’ll be attending it too, see you soon :) Let's turn your MBA dreams into reality together! 🚀 #gmat #career #education #mba",2275,89,8,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAACbGptEB7TxzyI4WWbRkoCV4Xaws0J_HxCY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAACbGptEB7TxzyI4WWbRkoCV4Xaws0J_HxCY&keywords=ishaan%20arora&origin=CLUSTER_EXPANSION&position=0&searchId=7c05fdf8-8281-48c6-995d-76ac05387574&sid=VOM&sortBy=%22date_posted%22
Ishaan Arora,Male,2023-11-27,"5 Ways that helped me get an internship in college -Quick Backstory - I was in my 2nd year of graduation pursuing Bcom Hons from University of Delhi when I cracked my first office internship in the finance domain at Jindal Steel & Power Ltd. ⭐️1. College Fairs -Highly underrated but most effective! People talk about various internship platforms but we all know how well they work. College fairs are organised by the college itself where companies are called to hire interns. If your college doesn’t have one then you can attend it in other colleges as it’s mostly open for all. 💯2. Networking -I started using LinkedIn actively when I was 18. Didn’t post a lot but once in 10 days was still doable. I used to connect with HRs and corporates frequently and used to interact with them. Never openly texted anyone for an internship just focused on my connection with them. By the end of college I had a great network of corporates. 🧠3. Live Projects -Spoken about them a lot on YouTube. These are the closest to an internship. Shows not only that you did a course but also understood every practical aspect of it. So whenever you complete any skill building course, try to make a project out of it using real-life examples. 💡4. Attending Events & Conferences -I attended various events during my college time including Harvard US-India Initiative. It helped me grow but also added great experiences in my resume which hardly 1% students had. A must! 👌🏻5. Not Neglecting Marks -Have spoken about this plenty of times. If you’re especially from commerce, planning to either study abroad or do a job - your marks matter a lot! Saying that they don’t matter is like living under a rock. The first section in our resumes is education. A good number first up creates a good impression always. 🙌🏻Made a video on how students can make money in college, check out here -https://lnkd.in/gWHRe33xThoughts? 💡#career #internships #college #interns",2001,71,5,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAACbGptEB7TxzyI4WWbRkoCV4Xaws0J_HxCY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAACbGptEB7TxzyI4WWbRkoCV4Xaws0J_HxCY&keywords=ishaan%20arora&origin=CLUSTER_EXPANSION&position=0&searchId=7c05fdf8-8281-48c6-995d-76ac05387574&sid=VOM&sortBy=%22date_posted%22
Ishaan Arora,Male,2024-04-24,"“Only a fool would deny an offer from a BIG-4!”“You’re gonna regret not joining Deloitte” They said.But I had a gut feeling, a belief in something bigger! ⭐In 2020, my family and almost everyone around me thought I was making the biggest mistake of my life when I decided to deny Deloitte’s offer letter! I knew I was making the right decision, I was confident! I wanted to be an entrepreneur and later a content creator. ⭐️It wasn’t an easy decision! Flash forward to 2024!🚀💡Content creator with over 600K followers across platforms.💡Taught 40,000+ students💡Managing a great team at FinLadder3 things that this journey has taught me: 🚀Your belief in your idea and execution leads you all the way up.🚀Market research isn't just about data; it's about understanding your audience's needs and pains on a deep, empathetic level.🚀If your product/service can make someone’s life, that feeling is 100x better and surpasses any revenue figure on a balance sheet. Now, I'm curious—Did your belief in execution win over everything? Let me know in the comments below! ✨#career #growth #jobs",1950,95,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAACbGptEB7TxzyI4WWbRkoCV4Xaws0J_HxCY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAACbGptEB7TxzyI4WWbRkoCV4Xaws0J_HxCY&keywords=ishaan%20arora&origin=CLUSTER_EXPANSION&position=0&searchId=7c05fdf8-8281-48c6-995d-76ac05387574&sid=VOM&sortBy=%22date_posted%22
Ishaan Arora,Male,2024-02-27,"The demand for digital white-collar jobs is skyrocketing at a staggering 30%+ 🚀Yet, fresh graduates barely meet a meager 20% of this burgeoning demand.🔻Why the disconnect? 🤔It's simple – traditional education models are failing to keep pace with the rapid evolution of industries. Outdated curricula are like trying to navigate the digital age with a roadmap from yesteryears – it's a recipe for confusion and frustration.The disconnect between what's taught in classrooms and the demands of the real-world marketplace has never been more apparent.🚫 Outdated Curriculum = Missed Opportunities:Conventional institutes, while commendable in their efforts, often find themselves hindered by outdated curricula. The result? Graduates are ill-prepared for the rapidly shifting landscapes of modern industries. It's like trying to navigate with a map from a decade ago – you'll likely end up lost.💡 Embracing Industry-Backed Education:Enter industry-backed education – a long overdue paradigm shift. By leveraging the expertise of industry leaders, we can bridge the gap between theory and practice. Who better to learn from than those who are actively shaping the future of their respective fields?🌐 The Relevance of Contextual Learning:In a world where context is king, the need for industry-relevant education has never been greater. With industries evolving faster than ever before, students require up-to-the-minute insights and strategies to thrive in their chosen fields. It's not just about earning a degree; it's about acquiring the skills and knowledge needed to hit the ground running from day one.🚀Meet Altera Institute of Management (AIM) – the solution to the industry's education woes. Founded by former HUL leaders, AIM is on a mission to redefine marketing education in India.  Their flagship program, PGP in Applied Marketing, isn't just another degree – it's a pathway to success in the digital age.They’re not just teaching theory; they're equipping students with the practical skills and insights needed to excel in today's dynamic marketplace. From growth marketing to eCommerce, their curriculum is designed by industry experts for future industry leaders.📖Pedagogy- Learning by doing: Weekly simulations, cases, and immersive learning experience🧑‍🎓Mentorship- Assigned mentors with monthly 1-1 Guidance📑No boring theoretical assignments - Live projects, cases, and simulations🧑‍🏫Instructors- Experts from India’s leading marketing and product organizationsThe opportunities are limitless – are you ready to seize them?🔥The link to explore is in the comments ⭐️#career #digitalworld #linkedinforcreators",1743,44,6,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAACbGptEB7TxzyI4WWbRkoCV4Xaws0J_HxCY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAACbGptEB7TxzyI4WWbRkoCV4Xaws0J_HxCY&keywords=ishaan%20arora&origin=CLUSTER_EXPANSION&position=0&searchId=7c05fdf8-8281-48c6-995d-76ac05387574&sid=VOM&sortBy=%22date_posted%22
Ishaan Arora,Male,2024-02-27,"Unpopular Opinion: It's okay to be a little selfish if you’re 18-25We're often told that young people today are too self-centered.But you know what? 💡I think it's perfectly fine to spend some time focusing on ourselves during your late teens and early 20s.Okay, hear me out ⬇️When else will you have: fewer family obligations, more personal freedom, no mortgage, endless opportunities in front of you?Almost never! ❌So why not utilize it? ⭐️Build like crazyHave some adventuresFigure out your true passions✅ Just be unashamedly ambitious -Apply for that dream job, start a passion project, take bold risks.✅ Put yourself first -Don't feel guilty about prioritizing yourself, your growth, your goals over others’ expectations occasionally. And say no to things that don’t serve your vision. ✅ Screw up sometimes -You still have room for mistakes that won't haunt you forever. Break up and get back together. Switch majors or jobs a few times until something clicks. Take this special time to invest boldly in yourself first and foremost. 🔥The dividends can be game changing. I mean, who knows a better advocate for you than you? 🙈#SelfGrowthJourney #PersonalFreedom #UnpopularOpinion",1713,83,4,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAACbGptEB7TxzyI4WWbRkoCV4Xaws0J_HxCY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAACbGptEB7TxzyI4WWbRkoCV4Xaws0J_HxCY&keywords=ishaan%20arora&origin=CLUSTER_EXPANSION&position=0&searchId=7c05fdf8-8281-48c6-995d-76ac05387574&sid=VOM&sortBy=%22date_posted%22
Ishaan Arora,Male,2024-04-06,"What all it requires to start a startup? 🤔→ Do you need to leave your education ?→ Do you need to leave that job?→ Do you need to rant out 100 times on LinkedIn?Not really. ❌(At least in the beginning)But that's what's been sold for a long time.I’ve received messages from 18/20-year-olds, “I do not like my course, should I quit and find a startup?” This is a serious problem I am seeing these days. 🤯✅ Don’t believe anyone who’s selling a golden dream of being a founder and your life will be sorted.✅ Don’t believe anyone who is saying college and studies are crap, leave them and do something else.✅ Don’t believe anyone who is convincing you to leave your job, and instead do something of your own. I am not against #EntrepreneurshipI can never be.I am the one who’s doing the same thing for a living.But I completed my studies first.I never thought of dropping out of the course.Even that course and my hard work made me who I am today.It gave me the confidence, to stand in front of you, speak, and teach the students what I learned all those years.And it’s changing the lives of many.Trust yourself first.Trust what you’re doing.Before making such a big decision, think 100 times: Is it NECESSARY?P.S. If you feel, I can help you in any way, reach out to me.I’d love to help you out :)#startup #startups #entrepreneurship #linkedinforcreators",1632,92,3,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAACbGptEB7TxzyI4WWbRkoCV4Xaws0J_HxCY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAACbGptEB7TxzyI4WWbRkoCV4Xaws0J_HxCY&keywords=ishaan%20arora&origin=CLUSTER_EXPANSION&position=0&searchId=7c05fdf8-8281-48c6-995d-76ac05387574&sid=VOM&sortBy=%22date_posted%22
Ishaan Arora,Male,2023-08-27,"I started-up with ₹1,500 at the age of 19. 💡I remember I was in the 2nd year of my college and everyone around me were talking about either placements or MBA entrance prep, very few talked about startups. 🧠Unfortunately those who did, had surrounded themselves with various negative thoughts that didn't let them startup like -• You need a lot of money to start-up.• It's better to start after experience.• We need a remarkable idea then only we will get funding.And the most common 9/10 startups fail.😮My goal was just to give it a shot, until I fail. In the age group of 18-25 when you've no major responsibilities, you can literally do anything, fail at it and it still won't matter much. 🤔My major learning in the last 3-4 years?It is literally not as hard as it is shown.Do not care about what others are saying, just have faith in yourself and put in your 100% - More often than not you'll be on the better side of things :)Thoughts? 💯#experience #learning #money #startup",1490,92,4,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAACbGptEB7TxzyI4WWbRkoCV4Xaws0J_HxCY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAACbGptEB7TxzyI4WWbRkoCV4Xaws0J_HxCY&keywords=ishaan%20arora&origin=CLUSTER_EXPANSION&position=0&searchId=7c05fdf8-8281-48c6-995d-76ac05387574&sid=VOM&sortBy=%22date_posted%22
Ishaan Arora,Male,2024-04-06,"👇Top Tips for College Students -✅Don't Neglect College Marks: If you're looking for placements or are planning to study abroad, marks are super necessary!✅Extra-Curricular Activities: Join that society, attend that conference, be a part of that sports team or anything else that happens in your college.✅Networking: It helped me get majority of my internships!Pls use Linkedin actively and learn to interact with people, be more resourceful etc.✅Pick a Good Company: Believe it or not the people you spend your majority time with really shapes you as a person.So pick your friends wisely.✅Don't forget to have fun: Everything in life is important!Including spending time with friends and family, going on etc What would you add? 💡#college #students #growth #career",1434,45,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAACbGptEB7TxzyI4WWbRkoCV4Xaws0J_HxCY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAACbGptEB7TxzyI4WWbRkoCV4Xaws0J_HxCY&keywords=ishaan%20arora&origin=CLUSTER_EXPANSION&position=0&searchId=7c05fdf8-8281-48c6-995d-76ac05387574&sid=VOM&sortBy=%22date_posted%22
