Author,Gender,Date,Post Text,Likes,Comments,Shares,Page Link
Jake Karls,Male,2024-03-27,"We Officially Broke The RECORD…The Costco Canada Roadshow sales record.No better feeling in the world than:“Promise made, promise kept.”We told our buyer day one that we would smash the record.  In the last 6 days we sold over 55,000 bars in 1 Costco location. Mid-Day Squares is the new UNDISPUTED CHAMPION. Thank you to everyone who showed up to support us (y’all are family). Thank you to our epic team and all the volunteers that worked so hard.Shoutout to the Costco Pointe Claire team for being so awesome. And most importantly thank you to our fans and Costco members for showing up. We will still be at Costco Pointe Claire up until this Saturday, Come sample, come dance and come have fun with us. We made history last night.Comment below which Costco Wholesale location do you want to see us next?#costco #costcowholesale #record #sales #retail",2102,210,9,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABlJ2B8BI930goyvs6OM8Gcsda7NVckq9TM%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABlJ2B8BI930goyvs6OM8Gcsda7NVckq9TM&keywords=jake%20karls&origin=CLUSTER_EXPANSION&position=0&searchId=0a9217c2-208d-439e-9c73-893af792b480&sid=s0L&sortBy=%22date_posted%22
Jake Karls,Male,2024-04-13,"From almost bankrupt to profitable… Mid-Day Squares is finally in the BLACK.Today is a special day for us. After working hard for 5.5 years, we've reached two big goals: - We had our highest sales month ever, - We finally started making a profit. It has been a painful 5.5 years, to say the least.Lots of uncertainty:We had many moments where we almost gave up, Facing tough times and nearly going bankrupt. But our team stayed strong under pressure. Many people doubted us, common statements people made:“This isn’t going to work.”“Too risky of business.”“The world doesn’t need another chocolate bar.”“You’re wasting your money and others.”The noise didn’t matter, we kept believing in ourselves. We made promises to each other, to our community, and to our investors… Today, is a testament to keeping those promises. This is just the beginning; We still have many challenges/headwinds ahead, But we're ready to face them straight on.Shoutout to the entire Mid-Day Squares team for all your work.Shoutout to our CFO/COO Vanessa Olivia Palumbo CPA,CGA,EMBA for executing and getting it done.The road to $100 million continues. #cpg #profitable #entrepreneurship",1628,199,8,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABlJ2B8BI930goyvs6OM8Gcsda7NVckq9TM%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABlJ2B8BI930goyvs6OM8Gcsda7NVckq9TM&keywords=jake%20karls&origin=CLUSTER_EXPANSION&position=0&searchId=0a9217c2-208d-439e-9c73-893af792b480&sid=s0L&sortBy=%22date_posted%22
Jake Karls,Male,2023-10-27,"We Need To Do Better In Canada… We need to invest in our local entrepreneurs early on.65% of jobs in Canada come from small businesses. If we invest in our own we can build a powerful ecosystem here in Canada.We have raised 17 million dollars to grow Mid-Day Squares.80% of our investors come from the USA. 20% of our investors come from Canada. This was not by choice… We’re based in Montreal, Quebec.We built our factory/HQ here in Montreal.Our business (revenue) breakdown today is 60% USA and 40% Canada.I share this because:Early on, very few investors in Canada would even look at us.We were told by investors “You’re too small and risky.” This forced us to have to go south to the USA and find partners…And we found amazing partners… Size and risk was not an issue. These investors believed in a big vision and wanted to take a chance.We’re grateful for both our CDN and USA investors…But, it makes me sad that it was so hard to find capital here in our home country.Today, I make a pledge that as soon as I have the capital and resources,I will devote them to investing and helping Canadian and Quebec entrepreneurs!I will make it my mission to help entrepreneurs from here.Canada has so many great small businesses that never see the global arena due to capital restrictions. We have such incredible innovation… Let’s show the world Canada’s force. #cpg #chocolate #retail #grocery #foodandbeverage #founders #entrepreneurship #manufacturing #supplychain #finance #canada #vc",1562,310,25,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABlJ2B8BI930goyvs6OM8Gcsda7NVckq9TM%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABlJ2B8BI930goyvs6OM8Gcsda7NVckq9TM&keywords=jake%20karls&origin=CLUSTER_EXPANSION&position=0&searchId=0a9217c2-208d-439e-9c73-893af792b480&sid=s0L&sortBy=%22date_posted%22
Jake Karls,Male,2024-02-27,"Celebrating Our 5th Anniversary Together… And 350,000 bars sold in under 5 years, in 6 stores. Stuart and I have been dancing for 5 years straight. For those of you who don’t know Stuart, he’s a legend.He takes care of our account at the retailer: Les Marches TAU !He makes doing business really fun. He’s also unapologetically himself. I try to hand deliver to him his order weekly, And everytime I do it, we do a dance show together.We celebrate our friendship and business partnership. We create momentum. Also, shoutout to Marche Tau for being an epic partner. In 5 years, we managed to sell 350,000 bars in their 6 stores.That is equivalent to 18 sold out NHL stadiums (in terms of people/bar). They believed in us 5 years ago, and they continue to believe in us.  When partnerships are a 2 way road, everyone WINS (retailer, brand and customer). Moral of the story: Have fun in life and make friends first, then do business. LFG Mid-Day Squares #retail #cpg #grocery #entrepreneur #entrepreneurship #smallbusiness #foodandbeverageindustry #chocolate",1253,300,8,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABlJ2B8BI930goyvs6OM8Gcsda7NVckq9TM%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABlJ2B8BI930goyvs6OM8Gcsda7NVckq9TM&keywords=jake%20karls&origin=CLUSTER_EXPANSION&position=0&searchId=0a9217c2-208d-439e-9c73-893af792b480&sid=s0L&sortBy=%22date_posted%22
Jake Karls,Male,2024-03-27,"5 Years Ago Today… An Old Friend Asked Me: What’s new in your life?I replied: I just launched a chocolate bar company.He then responded: “Lol, no… What do you actually do? Like your day job?”I replied:” I just told you... I started a chocolate bar company.”He looked at me as if I was not NORMAL…He didn’t believe it was possible to win. He reminded me that the world doesn’t need another bar.5 years later… It’s still not normal, some may even say insane. But it’s slowly starting to working, in 5 years we have:- Sold 30+ million bars.- Took our gross margin from -18% to 58%. - Went from hand making bars in our condo, to building a chocolate bar factory that can make 90,000 bars per day.- USA sales went from 5% to 70% of our business in 2 years.- Our PB flavour became number one selling (U/S/W) in our category across 2 countries (Canada/USA).- Launched 4 successful innovative products with a 5th one coming soon.In the end, I decided to ship him a box of the bars, He absolutely loved them. He’s now a fan of the brand and someone who helps us a lot.Moral: Block out the noise, don’t get shook up by people who may not believe. Be empathetic (people change) and just go out and win.LFG Mid-Day Squares.#entrepreneur #cpg #grocery #foodandbeverageindustry #chocolate #retail #finance #marketing #entrepreneurship",1207,110,10,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABlJ2B8BI930goyvs6OM8Gcsda7NVckq9TM%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABlJ2B8BI930goyvs6OM8Gcsda7NVckq9TM&keywords=jake%20karls&origin=CLUSTER_EXPANSION&position=0&searchId=0a9217c2-208d-439e-9c73-893af792b480&sid=s0L&sortBy=%22date_posted%22
Jake Karls,Male,2023-06-27,"So I Got Married This Weekend…I Truly Never Thought This Day Would Come.To be honest, I feared falling in love for the longest time. It scared me… I thought it meant you need to lose the kid/child inside of you.Until I met my now Wife Melissa Zoltak.The kid inside me is stronger than ever. Here’s a sneak peak of me walking down the aisle.More to come soon... Enjoy the show :)#marriage #love Mid-Day Squares",1107,246,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABlJ2B8BI930goyvs6OM8Gcsda7NVckq9TM%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABlJ2B8BI930goyvs6OM8Gcsda7NVckq9TM&keywords=jake%20karls&origin=CLUSTER_EXPANSION&position=0&searchId=0a9217c2-208d-439e-9c73-893af792b480&sid=s0L&sortBy=%22date_posted%22
Jake Karls,Male,2023-07-27,"Our Mom Has Written 750,000 Personalized Notes: To Our Customers. And She Does It For Free… We offer to pay her… She won’t take the money. She spends her evenings writing personal notes on polaroid photos,For our community: All of our first time customers and retailers. They get a funky picture of the 3 of us and a note from our mom :)750,000 in 4.5 years!!!!When I asked her why she does this and gives her time, she said:“I love the MDS community”“I am so proud of what my kids are building”“I want to make the customer a fan” Without her helping us, we would likely have to automate this process. Taking away from the humanization experience when you buy MDS.In return for her time, we decided to gift her shares in the company. Every day I am blown away by how lucky I am to have such an amazing mother.And it fires me up that in a small way I get to share her with the MDS community.Mom, you’re a total legend.I love you and thank you SO much for your continued support for the brand.Shoutout to all the moms out there. Y’all are stars. LFG Mid-Day Squares.#chocolate #entrepreneur #cpgmarketing #cpgbrands #cpgindustry #grocerytrends #foodandbeverage #marketing #retail #sales #media #cpg",1081,113,3,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABlJ2B8BI930goyvs6OM8Gcsda7NVckq9TM%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABlJ2B8BI930goyvs6OM8Gcsda7NVckq9TM&keywords=jake%20karls&origin=CLUSTER_EXPANSION&position=0&searchId=0a9217c2-208d-439e-9c73-893af792b480&sid=s0L&sortBy=%22date_posted%22
Jake Karls,Male,2024-03-27,"1 year ago, I had a nervous breakdown…Now let me tell you how I know that when someone says they gave 110%, They're not necessarily just bad at math.Because this week is the first anniversary of the day that wrecked me.Not almost wrecked me. Really wrecked me.I was at Natural Products Expo West. It's a trade show, but it's like the Super Bowl for the CPG industry: 60,000 to 80,000 people show up.Every year, it's where I wave our flag. As the company's hype man, it's where I shine.I yell. I scream. I dance. I meet everyone. And I have 110%. The thing is, you've only ever got 100%.Last year at this time,Halfway through the show, I collapsed. Physically. I burned out. Pretty much literally.I have an old hockey injury that always hurts, and I lost the mental capacity to hold that pain.I lost the mental capacity to deal with any of the things I need to deal with in my life;Some of my insecurities. The fear of failure. The anxiety.It all just fell on me.I flew home, and took a 37 day SABBATICAL.I didn't care to see my friends. I didn't care to see my family. I didn't care about my business. I couldn't bring myself to care enough about anything to get out of bed.I saw a therapist every one of those days.I got better.A year later, I'm probably back to about 90%.I'm back at the Expo, and I had so much fun!!Truth is; I learned I am not unstoppable. That I can't just go and go and go forever. 100% is 100%. You can't give any more without serious fallout. And you can lose it all with the snap of a finger.LFG Mid-Day Squares.#expowest2024 #naturalproductsexpowest #cpg #mentalhealth #entrepreneurship #entrepreneur #founder #sales #retail",1031,136,5,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABlJ2B8BI930goyvs6OM8Gcsda7NVckq9TM%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABlJ2B8BI930goyvs6OM8Gcsda7NVckq9TM&keywords=jake%20karls&origin=CLUSTER_EXPANSION&position=0&searchId=0a9217c2-208d-439e-9c73-893af792b480&sid=s0L&sortBy=%22date_posted%22
Jake Karls,Male,2024-03-27,"Introducing Our Newest Friend: CRUNCHY PEANUT…Think “Snickers”, think “Oh Henry”… But it’s Mid-Day Squares.Our R&D team spent countless hours, months making this bar.This is innovation, the two texture layer:Delicious dark chocolate on top and a bed of crunchy on the bottom.Our customers asked and we listened.We will be sampling these for the first time EVER at: EXPO WEST, come to booth #5783 Hall E.Limited samples available… The flavour is NOT out yet or available. Run don't walk !!!  #expowest #expowest2024 #cpg #grocery #chocolate #foodandbeverage #entrepreneur #smallbusiness #innovation #chocolate",1027,200,7,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABlJ2B8BI930goyvs6OM8Gcsda7NVckq9TM%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABlJ2B8BI930goyvs6OM8Gcsda7NVckq9TM&keywords=jake%20karls&origin=CLUSTER_EXPANSION&position=0&searchId=0a9217c2-208d-439e-9c73-893af792b480&sid=s0L&sortBy=%22date_posted%22
Jake Karls,Male,2024-03-27,"We’re finally in Costco Wholesale…..Well... Technically, LOL. We need you to help us break the SALES record.Come see us on the roadshow at the dates below:- QC Pointe-Claire: March 19-31- QC Laval: April 30-May 12- ON Gloucester: May 14-26- ON Etobicoke: June 11-23I still can’t believe that if this goes well, we’ll officially be in Costco! We’ll break the roadshow record and prove that our bars are the GOAT!Comment below which Costco you want to see us at!!!LFG Mid-Day Squares.#costco #retail #cpg #entrepreneurship #entrepreneur #sales",946,160,12,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABlJ2B8BI930goyvs6OM8Gcsda7NVckq9TM%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABlJ2B8BI930goyvs6OM8Gcsda7NVckq9TM&keywords=jake%20karls&origin=CLUSTER_EXPANSION&position=0&searchId=0a9217c2-208d-439e-9c73-893af792b480&sid=s0L&sortBy=%22date_posted%22
