Author,Gender,Date,Post Text,Likes,Comments,Shares,Page Link
Jason Mayden,Male,2023-12-27,"I’m happy to share that I’m starting a new position as Chief Design Officer, Jordan Brand at Nike!",2331,365,16,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAABCoUgB_cK37rbmBx2qjF-Y9bhwwbXfD4w%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAABCoUgB_cK37rbmBx2qjF-Y9bhwwbXfD4w&keywords=jason%20mayden&origin=CLUSTER_EXPANSION&position=0&searchId=cb6d576e-b6f1-4598-925b-1ca0b3d88ce3&sid=mta&sortBy=%22date_posted%22
Jason Mayden,Male,2023-08-27,"I’m happy to announce my appointment at the esteemed USC Jimmy Iovine and Andre Young Academy. As a Distinguished visiting lecturer in Product Innovation, I will be leading the creation and execution of academic and developmental experiences that unpack the intersection of cultural disruption and human potential. I seek to expand the definition of what is considered “possible” for people who have contributed to and shaped the past, present and future expressions of nuanced perspectives aka culture. I started as a kid from the Southside of Chicago, who wanted to design Jordans. Like Nas said, “I thought Jordans and a gold chain was living it up.” I lived my childhood dream and I have evolved into a person that wants to academically dissect and protect the progenitors of hip hop, sneaker and pop culture. Too often I see outsiders speaking about earth tone creators as if we are another species. Analyzing and deconstructing our existence. This has caused a chasm between those who create the vibes and those who appropriate the vibes. If you’ve been in the industry for a while it’s easy to spot the people who’ve made a career out of “cosplaying” earth tone people and our culture. Our sensibility, creative prowess and unique colloquial dialect is not a trend or a phase. It’s a zeitgeist that should be studied, revered and protected, vehemently. I plan on doing just that. With that said, all praise due to The Most High for the opportunity to serve, enlighten and inspire the leaders of the near future. Even more grateful to do this alongside my son Khalil C. Mayden who is a second year student at USC IYA. USC, you ready? We are about to get active. 💪🏾#FightOn ✌🏾#WeAreTrillicon",489,162,11,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAABCoUgB_cK37rbmBx2qjF-Y9bhwwbXfD4w%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAABCoUgB_cK37rbmBx2qjF-Y9bhwwbXfD4w&keywords=jason%20mayden&origin=CLUSTER_EXPANSION&position=0&searchId=cb6d576e-b6f1-4598-925b-1ca0b3d88ce3&sid=mta&sortBy=%22date_posted%22
Jason Mayden,Male,2023-05-27,"My first exhibition in 21 years, #BoysBreakToo was a massive success. We had over 300 people visit the gallery over the course of 3 days. So we have decided to extend the exhibition by appointment only, tomorrow until Friday 6/2/23 from 12-4pm. To book a viewing, visit https://lnkd.in/g_PHEYzg Thank you to everyone who prayed for me, helped set up, visited the gallery, shared a post, gave a hug, showed love, made space for others and opened themselves up to hearing honest discussions around mental health. I’ve overcome PTSD, depression and anxiety. I know how it feels to wake up everyday wondering if there will ever be a silver lining. I created this work during a period of uncertainty and unease. I’m still in a unique season in my life but I trust and believe in the power of my God given gifts and abilities. My heart and my ideas are in service of the “least of these”. I know God is making a way. So as you watch my journey, just know I’m living my testimony, right now, in front of the world. And when my bounty comes in, and the blessings flow freely, it’s God and God alone who gets the glory. I’m doing this for an audience of one. 🙏🏾View and pre-order the entire collection in augmented reality https://lnkd.in/gaE7ZChf #BoysBreakToo now showing at @ShowGallery#WeAreTrillicon 🎥 @kerensouth",431,39,13,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAABCoUgB_cK37rbmBx2qjF-Y9bhwwbXfD4w%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAABCoUgB_cK37rbmBx2qjF-Y9bhwwbXfD4w&keywords=jason%20mayden&origin=CLUSTER_EXPANSION&position=0&searchId=cb6d576e-b6f1-4598-925b-1ca0b3d88ce3&sid=mta&sortBy=%22date_posted%22
Jason Mayden,Male,2023-12-27,"Extremely proud of the good brother William J Scott, MBA ✊🏾 We were roommates as interns and we have remained close friends ever since. This was/is his dream role. The work, dedication and patience he’s shown over the years is exemplary. Can’t wait to see what he does in this new role!!!Cheers bro! This is earned, not given. 💪🏾💪🏾💪🏾",358,40,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAABCoUgB_cK37rbmBx2qjF-Y9bhwwbXfD4w%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAABCoUgB_cK37rbmBx2qjF-Y9bhwwbXfD4w&keywords=jason%20mayden&origin=CLUSTER_EXPANSION&position=0&searchId=cb6d576e-b6f1-4598-925b-1ca0b3d88ce3&sid=mta&sortBy=%22date_posted%22
Jason Mayden,Male,2023-12-27,For those who dare to reach. #Beyond,289,14,10,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAABCoUgB_cK37rbmBx2qjF-Y9bhwwbXfD4w%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAABCoUgB_cK37rbmBx2qjF-Y9bhwwbXfD4w&keywords=jason%20mayden&origin=CLUSTER_EXPANSION&position=0&searchId=cb6d576e-b6f1-4598-925b-1ca0b3d88ce3&sid=mta&sortBy=%22date_posted%22
Jason Mayden,Male,2024-04-27,,281,51,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAABCoUgB_cK37rbmBx2qjF-Y9bhwwbXfD4w%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAABCoUgB_cK37rbmBx2qjF-Y9bhwwbXfD4w&keywords=jason%20mayden&origin=CLUSTER_EXPANSION&position=0&searchId=cb6d576e-b6f1-4598-925b-1ca0b3d88ce3&sid=mta&sortBy=%22date_posted%22
Jason Mayden,Male,2023-09-27,"Thank you Footwear News for capturing the conversation, perfectly. What Larry Miller and Howard “H” White represent should be revered and studied in business schools around the world. Sounds like I need to write a case study on Jordan Brand for USC Jimmy Iovine and Andre Young Academy. What do you think? Would you read it? Let me know your thoughts below 💪🏾",222,23,6,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAABCoUgB_cK37rbmBx2qjF-Y9bhwwbXfD4w%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAABCoUgB_cK37rbmBx2qjF-Y9bhwwbXfD4w&keywords=jason%20mayden&origin=CLUSTER_EXPANSION&position=0&searchId=cb6d576e-b6f1-4598-925b-1ca0b3d88ce3&sid=mta&sortBy=%22date_posted%22
Jason Mayden,Male,2023-04-27,"Title: Psalms 56:450x50Mixed Media Print(2023)I was going to write an elaborate post about my forthcoming art exhibition.Instead, I decided to show you one of the seven pieces I’ve worked on. Everything feels so heavy right now. Black men continue to have to watch versions of ourselves killed by the hands of our own brothers and by the hands of others. We are then asked to “perform” without any deterioration in our contribution to work, society and even our own families. It’s exhausting.""Boys Break Too"" explores the intersections of race, gender, and mental health through my personal experiences as a Black man navigating these complex issues.I hope this work provides a bit of beauty to your timeline. I hope it provides a sense of healing. I hope it comforts you in your time of need.#WeAreTrillicon#MentalHealthMatters",178,34,4,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAABCoUgB_cK37rbmBx2qjF-Y9bhwwbXfD4w%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAABCoUgB_cK37rbmBx2qjF-Y9bhwwbXfD4w&keywords=jason%20mayden&origin=CLUSTER_EXPANSION&position=0&searchId=cb6d576e-b6f1-4598-925b-1ca0b3d88ce3&sid=mta&sortBy=%22date_posted%22
Jason Mayden,Male,2023-08-27,"Excited to join Dr. D'Wayne Edwards Kenneth Anand E.Scott Morris Stephen Green Jazerai Allen - Lord Christopher D. Burns, MFA Astor Chambers and the vast collective brilliance that is the Black Footwear Forum “Homecoming” in Detroit next month. I have the esteemed honor of doing a fireside chat with my former boss and mentor, Larry Miller, Chairman of Jordan Brand. Additionally, I will be leading a men’s group on Sunday for a candid discussion about the nuanced challenges Black men face in our industry. We will explore this topic from a legal and ideological perspective alongside Kenneth Anand  and very special guest.Needless to say, you don’t want to miss this. Sign up 👇🏾 https://lnkd.in/gJERy-eX#WeAreTrillicon",171,13,2,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAABCoUgB_cK37rbmBx2qjF-Y9bhwwbXfD4w%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAABCoUgB_cK37rbmBx2qjF-Y9bhwwbXfD4w&keywords=jason%20mayden&origin=CLUSTER_EXPANSION&position=0&searchId=cb6d576e-b6f1-4598-925b-1ca0b3d88ce3&sid=mta&sortBy=%22date_posted%22
Jason Mayden,Male,2024-03-27,"Thrilled to join the latest cohort of Henry Crown Fellow at the The Aspen Institute! This opportunity marks a pivotal moment not only in my professional journey but also underscores the critical importance of nurturing creative talent as leaders. The development of such talent is vital for driving innovation and excellence within the design industry. Moreover, it serves as a beacon for quality leadership development, particularly for underserved communities.Being the first in my position to embark on this journey is a profound honor. However, the true essence of this experience transcends individual achievement. It’s about leveraging this platform to inspire and elevate those around me. Through this fellowship, I am committed to enhancing the landscape of design and leadership opportunities for those who may not have direct access to them. It’s a chance to mold the future leaders of our industry, ensuring they are equipped with the creativity, empathy, and vision necessary to make a significant impact.The The Aspen Institute’s dedication to fostering leadership and innovative thinking aligns perfectly with this mission. As a part of the Henry Crown Fellows, I am eager to immerse myself in this enriching environment, where I can both contribute and grow. This experience is not just a personal milestone; it’s a stepping stone towards creating a more inclusive and dynamic industry, where talent from all walks of life can thrive and lead the way towards a brighter, more creative future. Learn more about HCF here…http://as.pn/crown2024 #HCF27",144,31,1,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAABCoUgB_cK37rbmBx2qjF-Y9bhwwbXfD4w%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAABCoUgB_cK37rbmBx2qjF-Y9bhwwbXfD4w&keywords=jason%20mayden&origin=CLUSTER_EXPANSION&position=0&searchId=cb6d576e-b6f1-4598-925b-1ca0b3d88ce3&sid=mta&sortBy=%22date_posted%22
