Author,Gender,Date,Post Text,Likes,Comments,Shares,Page Link
Jason Vana,Male,2023-08-27,"Content that isn't repurposed dies.And, no, I don't mean copying and pasting an old post.Can we please cut that sh*t out?!Take content from one platform and reshape it for another......and another......and another......and another...Well, you get the point.Here's a simple repurposing strategy we've used at SHFT and for our clients:- Podcast- Post it on Youtube- Transcribe and turn into a blog post- Pull clips and use on TikTik, IG Reels, YouTube shorts, LinkedIn, FB, Twitter- Pull the blog post apart into LinkedIn posts- Pull your LinkedIn posts apart into Tweets- Turn your Tweets into graphics for IG- Write an email from your blog post- Turn that into a carousel to use on LinkedIn and IG- Put 3-4 podcast episodes together into a downloadable guideWe've created 75 pieces of content from 1 podcast episode.Imagine the results you could get from all that content.It could be in the millions.(according to our clients, anyway)That's the power of doing content correctly.Or, you know, keep copying and pasting old posts.That might work someday.✌🏼#shftyourbrand",664,206,49,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAIDH3QB1kgnd7mmzNvZq8ST1rWTTtXIjBs%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAIDH3QB1kgnd7mmzNvZq8ST1rWTTtXIjBs&keywords=jason%20vana&origin=CLUSTER_EXPANSION&position=0&searchId=ce0c0b1f-237a-4575-a25c-e6d468b77923&sid=1PI&sortBy=%22date_posted%22
Jason Vana,Male,2023-09-27,"""What does a brand strategy actually look like?""☝🏼 I get that question a lot.Most people see the word ""brand"" and immediately think:- logo- fonts- colors- design- feelingsAll aspects of a brand, for sure. But a brand strategy is far more than that.Here's the bare minimum that you should have in a brand strategy 👇🏼1. Ideal Customer ProfileYour brand is created for THEM, not you.2. Competitive ResearchWhat are the holes in the market?3. Positioning/DifferentiationHow will you show up and be different?4. MessagingHow will you communicate that differentiation?5. TouchpointsHow will you show that differentiation through marketing, sales, operations, product, and customer support?6. Tactical PlanWhat steps will you take to make all of that happen?7. Strategy StatementWhat's the overall strategy that will drive everything you do?☝🏼 This is the bare minimum you should have in a brand strategy.Because this will align your efforts.And help you attract the RIGHT customers.Now, you can expand that strategy to include:- personality- tone and voice- brand/founder story- benefits and guarantees- logos, fonts, colors, patterns- marketing and content strategyBut for most of you, that's overkill.At least for now. Start with the essentials.You'll gain far more clarity and direction for your business.Which, in turn, means more...MONEY.If you're into that sort of thing, that is.(some of you clearly aren't)✌🏼#shftyourbrand",463,211,30,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAIDH3QB1kgnd7mmzNvZq8ST1rWTTtXIjBs%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAIDH3QB1kgnd7mmzNvZq8ST1rWTTtXIjBs&keywords=jason%20vana&origin=CLUSTER_EXPANSION&position=0&searchId=ce0c0b1f-237a-4575-a25c-e6d468b77923&sid=1PI&sortBy=%22date_posted%22
Jason Vana,Male,2023-11-27,"17 mistakes to avoid in your brand strategy.Unless you like wasting time and money, that is.- Not auditing your current brand- Not studying your ideal customers- Ignoring your competitors- Copying your competitors- Not uncovering your differentiation (USP)- Using generic messaging- Not crafting guarantees- Using stock images- Not including the whole company- Tell the wrong story- Focus on how ""great"" you are- Keep brand a part of marketing- Not developing guidelines- Not crafting a brand persona- Not creating a brand word bank- Creating content before a strategy- Jumping on irrelevant trends☝🏼 Avoid these like the spam in your DMs.Or expect to waste thousands in marketing efforts that won't work.To each their own, I guess.✌🏼#shftyourbrand",440,211,36,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAIDH3QB1kgnd7mmzNvZq8ST1rWTTtXIjBs%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAIDH3QB1kgnd7mmzNvZq8ST1rWTTtXIjBs&keywords=jason%20vana&origin=CLUSTER_EXPANSION&position=0&searchId=ce0c0b1f-237a-4575-a25c-e6d468b77923&sid=1PI&sortBy=%22date_posted%22
Jason Vana,Male,2023-10-27,LinkedIn released a new feature.And it's driven 10% more booked calls for us.It's the fancy custom button you're likely seeing above this post.Or on my profile.Want to get your own?Check out my super short for #SassyJason carousel below.You're welcome.✌🏼#shftyourbrand #linkedin,428,224,21,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAIDH3QB1kgnd7mmzNvZq8ST1rWTTtXIjBs%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAIDH3QB1kgnd7mmzNvZq8ST1rWTTtXIjBs&keywords=jason%20vana&origin=CLUSTER_EXPANSION&position=0&searchId=ce0c0b1f-237a-4575-a25c-e6d468b77923&sid=1PI&sortBy=%22date_posted%22
Jason Vana,Male,2024-02-27,"Writing on LinkedIn changed my life.My goal was to land a new job.Something that would get me out of the cornfields of Illinois.But after months of sharing my branding and marketing expertise on the platform, something weird happened.Founders started hitting up my DMs, asking for branding help.Wanting to know what packages my (non-existent) agency offered.Fast forward 5 years.I'm running a successful brand strategy agency.Leading a team of 3 awesome creatives.Working when and where I want.Paid cash for a $30k renovation.And making fun of the trolls along the way.(#SassyJason is my favorite Jason)None of this happened by accident.→ I had a strategy when I started on LinkedIn.→ Pivoted that strategy when new opportunities arose.→ And keep adjusting that strategy as the business grows.Amazing things happen when you create a strategy.And commit to it long-term.Like launching and leading a successful business.Focusing on family and friends instead of work.Setting your own hours.And having the money to do what you want and need.It is possible.Want to know how I did it?It's all laid out in my LinkedIn Just Get Started guide.Grab your copy here → https://lnkd.in/gJZEHcnZWho knows.In a few months, you might be creating a similar post to this one.If you're willing to create and commit to a strategy.✌🏼#shftyourbrand-----👋🏼 Hi, I'm #SassyJason. I create profitable brand strategies for SMBs looking to attract their ideal customers.DM me ""Brand"" to start building a well-loved and profitable brand.",413,234,1,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAIDH3QB1kgnd7mmzNvZq8ST1rWTTtXIjBs%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAIDH3QB1kgnd7mmzNvZq8ST1rWTTtXIjBs&keywords=jason%20vana&origin=CLUSTER_EXPANSION&position=0&searchId=ce0c0b1f-237a-4575-a25c-e6d468b77923&sid=1PI&sortBy=%22date_posted%22
Jason Vana,Male,2023-12-27,"SHFT is not going to hit our revenue goals this year.And I'm perfectly okay with that.The business has been on autopilot since July 1.As has my LinkedIn content.When Mama Vana went to the hospital.And didn't come home for 3.5 months.In that time, my life turned upside down:- Worked out of hospital and rehab rooms- Sat in the ER and Cardiac ICU 3 times each- Lived out of 2 homes that are 3 hours apart- Sold my house and moved within 1 week- Began making upgrades to her 60 yo home- Started working out of my childhood bedroom- Become the primary caregiver for my mom- Gone to more doctor visits in 2 months than in 5 years- Got to know people in the area (shout out to Alex and Dan)- Had to find a new church, barber, doctor, dentist- Settled into a much different kind of lifeRevenue goals weren't important at that point.Family was.Which is the whole reason I started SHFT Agency.Beyond helping entrepreneurs build their dream businesses......my vision with SHFT was freedom.- to work when I want- where I want- with whom I wantAnd I couldn't have gotten through the last 6 months without that freedom.Why am I sharing this?To encourage you.Revenue isn't everything.The freedom to focus on what truly matters is.I don't care that we didn't hit 7-8 figures this year.That's not what was needed.But 2024?Watch out.#SassyJason is officially off autopilot.7-8 figures, here we come.✌🏼#shftyourbrand",401,239,3,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAIDH3QB1kgnd7mmzNvZq8ST1rWTTtXIjBs%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAIDH3QB1kgnd7mmzNvZq8ST1rWTTtXIjBs&keywords=jason%20vana&origin=CLUSTER_EXPANSION&position=0&searchId=ce0c0b1f-237a-4575-a25c-e6d468b77923&sid=1PI&sortBy=%22date_posted%22
Jason Vana,Male,2023-12-27,"I got my Christmas wish this year.Mama Vana is happy, healthy, and on the road to being fully independent again.This lady went through a lot since July:- AFIB- Open heart surgery- pneumonia, UTI, and kidney infection at the same time- 1.5 months in a rehab center- 2 months of in-home rehabWe thought we were going to lose her 3 times this year.All within 2 months. 😵‍💫But she’s a fighter.She beat all the odds.Walks with a walker everywhere.Got discharged from in-home rehab.Is able to do almost everything on her own.Only needs the wheelchair for super long distances.And has even gone on a few outings without me. The only things she can't do yet:Cooking, laundry, and driving. Which sometimes I think is simply because she wants me to keep doing it for her.She’s sassy that way.That might be where I get it from 🤷🏻‍♂️😉A huge thank you to all of you who were:- praying for her- thinking of her- DMing asking about her- DMing asking how I was doing- Texting and calling to check in- And the few of you close enough to get me out of the houseMama Vana is rocking it.Which has made this the best Christmas ever.May your Christmas be just as merry.#SassySantaJason out.Until 2024.✌🏼",356,112,2,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAIDH3QB1kgnd7mmzNvZq8ST1rWTTtXIjBs%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAIDH3QB1kgnd7mmzNvZq8ST1rWTTtXIjBs&keywords=jason%20vana&origin=CLUSTER_EXPANSION&position=0&searchId=ce0c0b1f-237a-4575-a25c-e6d468b77923&sid=1PI&sortBy=%22date_posted%22
Jason Vana,Male,2024-04-13,"Brutally honest advice I'd give to my first-time founder self.That would have saved me time, money, and heartache.1. FocusYes, you can do everything from Google ads to content to website design.No, you shouldn't offer it all.You excel at brand strategy.Sell that and only that.2. Define SuccessYou'll be tempted to chase after something you don't even want.And listen to those who are building something you'll hate.Determine what success looks like to you.Chase that.3. Trust Your GutThe biggest mistakes you make will come when you ignore your gut.I don't care how awkward it may be.I don't care if it means having hard conversations.I don't care if you have to part ways with someone.Your gut will save you time, money, and a lot of heartache.Listen to it.4. Hire the Right PeopleThe wrong people will make you feel like sh*t about yourself.And stall your business big time.Stop letting your visionary side blind you from what's in front of you.Hire slowly.Fire quickly.5. Stop second-guessing yourself.You are a bad-ass entrepreneur.You know what you're doing.And you're going to build an epic business.Stop listening to the voice in your head that tells you otherwise.It's a furking liar.6. Have FunDon't take yourself too seriously.This business thing can be a sh*tload of fun, if you let it.Take breaks.Enjoy the journey.And be your magnificently weird self.7. Build a solid community.Find people who believe in you and want the best for you.Invest in those relationships.They are just as important for your business as who you hire.Remember:Building a business isn't easy.But it'll open the doors to the life you want.If you let it.✌🏼#shftyourbrand",340,255,5,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAIDH3QB1kgnd7mmzNvZq8ST1rWTTtXIjBs%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAIDH3QB1kgnd7mmzNvZq8ST1rWTTtXIjBs&keywords=jason%20vana&origin=CLUSTER_EXPANSION&position=0&searchId=ce0c0b1f-237a-4575-a25c-e6d468b77923&sid=1PI&sortBy=%22date_posted%22
Jason Vana,Male,2023-10-27,"I'm a LinkedIn Top Brand Strategy Voice.That sounds cool until you understand HOW I got that badge.Contributing to AI-generated collaborative articles.🤯That's right.Everyone you see as a Top Voice on LinkedIn didn't actually earn it.We aren't somehow smarter, brighter, more charismatic, have bigger audiences, or gained a special approval from LinkedIn.We simply added our thoughts to collaborative articles.Do that enough under one category and you get a fancy badge.WOOOO 🙄So, why on earth is #SassyJason doing this?Especially when the badge seems incredibly fluffy?Simple.I've garnered a lot of engagement outside of my audience on those articles.30, 50, 70+ likes on my contributions.Mostly from 2nd or 3rd level connections who never engage on my content.I'm not doing it for some silly badge.I didn't even realize that's how you got the badge when I started.I'm doing it because I'm connecting with my ideal customers more.Showing them that I am an expert.And generating leads.You know, the whole reason I'm on this platform to begin with.Imagine that.Stop trying to get yourself a Top Voice badge.Start helping your ideal customers.Even if it means contributing to collaborative articles.✌🏼#shftyourbrand",328,209,5,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAIDH3QB1kgnd7mmzNvZq8ST1rWTTtXIjBs%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAIDH3QB1kgnd7mmzNvZq8ST1rWTTtXIjBs&keywords=jason%20vana&origin=CLUSTER_EXPANSION&position=0&searchId=ce0c0b1f-237a-4575-a25c-e6d468b77923&sid=1PI&sortBy=%22date_posted%22
Jason Vana,Male,2023-10-27,"""Can I pick your brain?""Sure. If you do 1 of these 2 things:- Pay me- Invite me on your podcast/panel/speaking engagementNot to sound arrogant, but my time is incredibly valuable.I'm busy running a business.While also serving as the primary caregiver for my mom as she recovers.Do you know how much time I have for random brain pickings?0 minutes.So if you want to pick my brain......MAKE IT WORTH MY WHILE.And, believe me, you'll get grade-A sass to solve your biggest brand and content issues.Or check out my paid and free resources.It's like picking my brain.Without being a damn zombie.#SassyJason out✌🏼#shftyourbrand---I almost never say no to being on a podcast. Shoot your shot. You'll likely get an emphatic YES from #SassyJason",313,255,2,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAIDH3QB1kgnd7mmzNvZq8ST1rWTTtXIjBs%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAIDH3QB1kgnd7mmzNvZq8ST1rWTTtXIjBs&keywords=jason%20vana&origin=CLUSTER_EXPANSION&position=0&searchId=ce0c0b1f-237a-4575-a25c-e6d468b77923&sid=1PI&sortBy=%22date_posted%22
Jason Vana,Male,2023-12-27,"Want to know your ideal customers at a deeper level?Ask the right questions.Specifically, these 45.These are the questions I ask in customer interviews.And they provide insights that drive the strategies I build.Give them a try.You may just find the solutions to all of your business challenges.Or, you know, leave a like and keep scrolling.I'm sure that will improve your business, too. (NOT)✌🏼#shftyourbrand",310,197,24,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAIDH3QB1kgnd7mmzNvZq8ST1rWTTtXIjBs%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAIDH3QB1kgnd7mmzNvZq8ST1rWTTtXIjBs&keywords=jason%20vana&origin=CLUSTER_EXPANSION&position=0&searchId=ce0c0b1f-237a-4575-a25c-e6d468b77923&sid=1PI&sortBy=%22date_posted%22
