Author,Gender,Date,Post Text,Likes,Comments,Shares,Page Link
Jo Ferreday ,Female,2021-04-27,"2020 saw people deprived of events of all kinds. Whether it was for business or leisure, we had to say goodbye.With the COVID-19 vaccines now being rolled out, it could see the return of physical events at some point in the near future. However, it would be unrealistic to think that events will be back in exactly the same way as they were prior to the pandemic. At least, not straight away. So, what can we expect from events and the challenges we’ll face in 2021?#business #eventsmanagement #covid",110,70,1,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAABbHcIB3SyCQb7VIAo2lBjMtXlOwdNRlT8%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAABbHcIB3SyCQb7VIAo2lBjMtXlOwdNRlT8&keywords=jo%20ferreday&origin=CLUSTER_EXPANSION&position=0&searchId=d964b2d3-ceaf-497a-8d9a-93e5bcaa15ce&sid=Ay1&sortBy=%22date_posted%22
Jo Ferreday ,Female,2023-04-27,"I don't share enough about this man.In all seriousness, he is my rock.The one person with whom I can always rely on.The person I chat through issues with, business and personal.The person I share hopes and dreams with.Who I share losses and fears with.By my side for over 20 years.At times, it's true I probably have taken for granted how valuable our relationship is.Not now though, here's to many more years;Together as man and wifeTogether as co-foundersTogether as parents There's so much more we have planned and I can't wait to share it with you Mr F ✨️I know it's not Facebook police 🚨🚨🚨But you see, business can be personal too, especially if you share it with your other half! How many of you on here work woth your partner? I'm intrigued to know! #founders #business #familybusiness",90,40,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAABbHcIB3SyCQb7VIAo2lBjMtXlOwdNRlT8%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAABbHcIB3SyCQb7VIAo2lBjMtXlOwdNRlT8&keywords=jo%20ferreday&origin=CLUSTER_EXPANSION&position=0&searchId=d964b2d3-ceaf-497a-8d9a-93e5bcaa15ce&sid=Ay1&sortBy=%22date_posted%22
Jo Ferreday ,Female,2023-10-27,Yessss all day long to this 🙌Brilliant ad Nike 👏 👌 #justdoit #aimhigh #justdoyou,90,16,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAABbHcIB3SyCQb7VIAo2lBjMtXlOwdNRlT8%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAABbHcIB3SyCQb7VIAo2lBjMtXlOwdNRlT8&keywords=jo%20ferreday&origin=CLUSTER_EXPANSION&position=0&searchId=d964b2d3-ceaf-497a-8d9a-93e5bcaa15ce&sid=Ay1&sortBy=%22date_posted%22
Jo Ferreday ,Female,2023-06-27,There are some things in life you cannot ever put a price tag on ✨️So many amazing things about this weekend but the most important 🇬🇧🏁🏎Sharing with family and clients 👌#family #britishgrandprix #legendssuite,82,9,1,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAABbHcIB3SyCQb7VIAo2lBjMtXlOwdNRlT8%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAABbHcIB3SyCQb7VIAo2lBjMtXlOwdNRlT8&keywords=jo%20ferreday&origin=CLUSTER_EXPANSION&position=0&searchId=d964b2d3-ceaf-497a-8d9a-93e5bcaa15ce&sid=Ay1&sortBy=%22date_posted%22
Jo Ferreday ,Female,2021-04-27,"This week the grass roots are definitely showing in our industry.17th May brings even further hope to our events industry.We are able to start looking further forward and plan for our events properly With a clearer picture of what the landscape may look likeFor many who have chosen to adjust their teams working patterns I'm interested to know your thoughtsHow are you planning to bring your teams together again?Many of the Directors, owners, HR Managers and Senior leadership teams I speak with are considering new ways to link their teams together after a year apart.In my view, there are so many new opportunities to explore especially those that play on outdoor space, giving back and sustainability.What option will you be selecting for your next team event?#teamengagement #teambuilding #leadershiptraining",81,85,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAABbHcIB3SyCQb7VIAo2lBjMtXlOwdNRlT8%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAABbHcIB3SyCQb7VIAo2lBjMtXlOwdNRlT8&keywords=jo%20ferreday&origin=CLUSTER_EXPANSION&position=0&searchId=d964b2d3-ceaf-497a-8d9a-93e5bcaa15ce&sid=Ay1&sortBy=%22date_posted%22
Jo Ferreday ,Female,2023-09-27,"Today is a hard day.I am heading over to my home town,  knowing that the loved one I'm visiting is extremely sick.It is highly likely very soon they will not be here anymore.Another loss to grieve.For anyone going through these uncertain times.The best advice I can give?Hold your loved ones close, share smiles and happy memories ✨️ They will always be with you ❤️ Give yourself time and find a place you can be to think about them often.Winnie the pooh always knows the best things to say 🧸#bethere #loss #thinkingofyou",74,17,1,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAABbHcIB3SyCQb7VIAo2lBjMtXlOwdNRlT8%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAABbHcIB3SyCQb7VIAo2lBjMtXlOwdNRlT8&keywords=jo%20ferreday&origin=CLUSTER_EXPANSION&position=0&searchId=d964b2d3-ceaf-497a-8d9a-93e5bcaa15ce&sid=Ay1&sortBy=%22date_posted%22
Jo Ferreday ,Female,2023-05-27,"Happy heavenly birthday Mom, you would have been 76 years young today 💔9 years without youGrief is such a difficult thing to explain One minute you are OK, then a song, a memory, a saying, a smell, an object, a Robin, a happy moment you would really have loved to share with your loved one.You see, mom never got to meet her only grandson, but I swear she, my dad and grandparents sent our son to us 💫The most perfect gift and I'm sure they are watching over us all and enjoying seeing him grow into the kind, sensitive, passionate, funny and intelligent little boy he has become 🥰 I promise I'm not going to keep sharing Pink spam but the song she wrote for her father is just perfect 👌 (link to the vid in the comments)Needless to say there was not a dry eye in the stadium last week! Mom, I hope you are up there being the life and soul of the party 🥳 I hope I have made you proud and will continue to live my best life and be grateful for all I have 🙏 #happyheavenlybirthdaymom #missyou #grateful",72,9,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAABbHcIB3SyCQb7VIAo2lBjMtXlOwdNRlT8%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAABbHcIB3SyCQb7VIAo2lBjMtXlOwdNRlT8&keywords=jo%20ferreday&origin=CLUSTER_EXPANSION&position=0&searchId=d964b2d3-ceaf-497a-8d9a-93e5bcaa15ce&sid=Ay1&sortBy=%22date_posted%22
Jo Ferreday ,Female,2023-11-27,At this timeOn this dayI was getting ready to marry my soul mate ✨️🥰For 20 years we've been a couple But today marks 13 years togetherWe have celebrated good timesSupported each other through challenges and sad times We share the same goals and visions personally and professionally Thank you for all you do for us Mr FYou are an amazing hubby and father to our son 13 has never been unlucky for usHappy anniversary 🎉 💗 #love #loveisallyouneed #anniversary,72,25,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAABbHcIB3SyCQb7VIAo2lBjMtXlOwdNRlT8%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAABbHcIB3SyCQb7VIAo2lBjMtXlOwdNRlT8&keywords=jo%20ferreday&origin=CLUSTER_EXPANSION&position=0&searchId=d964b2d3-ceaf-497a-8d9a-93e5bcaa15ce&sid=Ay1&sortBy=%22date_posted%22
Jo Ferreday ,Female,2023-04-27,"Why start my newsletter on International Women's Day?Why not?!This newsletter will be way more than just a business update.It will be jam packed with my musings, experience and guidance for those who are working hard to pull together their calendar of events for the year.Those of you who are working parents, co-founders, business owners, those who appreciate flexible working and a strong work life balance ethic.On a monthly basis I will be sharing what to look out for with new venue and event releases and most definitely chatting with industry pro's and interesting organisations who run exceptional events.If this all sounds like it maybe content you'd love in your feed each month. Please feel free to subscribe and I'll see you there!Finally, to all the amazing women I am proud to know, who are still here, those who are not.I celebrate you today and everyday!#businessleader #newsletter #founders #events #worklifebalance #businesswomen #IWD",70,4,2,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAABbHcIB3SyCQb7VIAo2lBjMtXlOwdNRlT8%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAABbHcIB3SyCQb7VIAo2lBjMtXlOwdNRlT8&keywords=jo%20ferreday&origin=CLUSTER_EXPANSION&position=0&searchId=d964b2d3-ceaf-497a-8d9a-93e5bcaa15ce&sid=Ay1&sortBy=%22date_posted%22
Jo Ferreday ,Female,2021-04-27,"Many have said, ‘its too soon’ ‘we don’t want to think about it’ ‘lets postpone it to 2021’I get it, this year continues to throw huge curve balls our way.But, we do still have our colleagues and clients to think about.Whether we have a regular comms plan or not, the simple fact is that by going silent we are not supporting those we value.It does not have to break the bank, but a simple gesture, to encourage a smile, laugh will mean a lot to the recipient.#christmas #reasontosmile #christmasnotcancelled",68,66,7,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAABbHcIB3SyCQb7VIAo2lBjMtXlOwdNRlT8%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAABbHcIB3SyCQb7VIAo2lBjMtXlOwdNRlT8&keywords=jo%20ferreday&origin=CLUSTER_EXPANSION&position=0&searchId=d964b2d3-ceaf-497a-8d9a-93e5bcaa15ce&sid=Ay1&sortBy=%22date_posted%22
