Author,Gender,Date,Post Text,Likes,Comments,Shares,Page Link
Karen Cahn,Female,2024-04-27,Here's what happens when women invest in women. Spoiler alert: it's pretty magical. #ifundwomen #fundfemalefounders #whyiFundWomen,550,32,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAATW0k0Bv5tem4EuW1JCERLT6_LP5_YGGeU%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAATW0k0Bv5tem4EuW1JCERLT6_LP5_YGGeU&keywords=karen%20cahn&origin=CLUSTER_EXPANSION&position=0&searchId=e7daba08-8278-483c-b9a3-04fafc595f84&sid=nQd&sortBy=%22date_posted%22
Karen Cahn,Female,2024-04-27,"#iFundWomen is changing the way businesses launch and grow, by providing a fundraising ecosystem designed specifically for women-led companies, complete with free coaching, video production and branding services, a private community, and a pay-it-forward model.",212,20,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAATW0k0Bv5tem4EuW1JCERLT6_LP5_YGGeU%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAATW0k0Bv5tem4EuW1JCERLT6_LP5_YGGeU&keywords=karen%20cahn&origin=CLUSTER_EXPANSION&position=0&searchId=e7daba08-8278-483c-b9a3-04fafc595f84&sid=nQd&sortBy=%22date_posted%22
Karen Cahn,Female,2024-04-27,Entrepreneurs who engaged with our crowdfunding coaching services raised 4.5 times more capital than those who went it alone. That is why we are now offering FREE coaching to every iFundWomen entrepreneur. #iFundWomen #Crowdfunding #WomenFundingWomen,165,13,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAATW0k0Bv5tem4EuW1JCERLT6_LP5_YGGeU%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAATW0k0Bv5tem4EuW1JCERLT6_LP5_YGGeU&keywords=karen%20cahn&origin=CLUSTER_EXPANSION&position=0&searchId=e7daba08-8278-483c-b9a3-04fafc595f84&sid=nQd&sortBy=%22date_posted%22
Karen Cahn,Female,2023-12-27,"💞 Being on Worth Media Group's 2023 Worthy 100 list with Taylor and Barbie (Greta Gerwig) is a dream! What an unexpected and wonderful honor to wake up to this morning. At IFundWomen, we grind away 24/7/365, driving funding to women-owned businesses, and rarely stop to smell the roses. Thank you, Worth Media Group, for this incredible moment for our team. We are spending today smelling the damn roses! 🎉 Congrats to Team IFW, who makes it all happen: Njeri Maxwell-Croston Kay Thayer Raeva Sayed Missy Peck Mike Schenone Adriana Román Peter Weber Gabe Sullice Spencer Kane Elizabeth Eichhorn Mel G. Abraham",153,46,3,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAATW0k0Bv5tem4EuW1JCERLT6_LP5_YGGeU%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAATW0k0Bv5tem4EuW1JCERLT6_LP5_YGGeU&keywords=karen%20cahn&origin=CLUSTER_EXPANSION&position=0&searchId=e7daba08-8278-483c-b9a3-04fafc595f84&sid=nQd&sortBy=%22date_posted%22
Karen Cahn,Female,2021-04-27,"It's been a dumpster fire of a year for women entrepreneurs trying to raise venture capital. Read my personal story here, and I'd love to hear your feedback, your personal stories, or your opinions. Let's have a conversation about this! #femalefounders #ifundwomen #womenentrepreneurs #entrepreneurs #ifundwomenofcolor #startups #funding #entrepreneur #startup #innovation #fintechs #fintechstartups",152,42,5,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAATW0k0Bv5tem4EuW1JCERLT6_LP5_YGGeU%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAATW0k0Bv5tem4EuW1JCERLT6_LP5_YGGeU&keywords=karen%20cahn&origin=CLUSTER_EXPANSION&position=0&searchId=e7daba08-8278-483c-b9a3-04fafc595f84&sid=nQd&sortBy=%22date_posted%22
Karen Cahn,Female,2024-03-27,On #iwd2024 I am truly humbled and honored to be named to the 2024 Worth Media Group Groundbreaking Women list alongside powerhouse women who are paving new paths for success for future women in their industries: Caitlin Clark Julie Uhrman Neha Shukla Michelle Christensen Tiffany Dufu Remy Drabkin Ava Duvernay Rachael Floreani Fereshteh Forough Joanna Geraghty Victoria James Jennifer Justice Azra Khalfan-Kermali  Sharon Malone Leena Nair Illana Raia Rachel Slaybaugh LA June Montgomery Tabron Janet Truncale Jocelyn Wyatt Michelle Zatlynhttps://lnkd.in/e2PMg6kS#worth #groundbreakingwomen #IFundWomen,148,20,2,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAATW0k0Bv5tem4EuW1JCERLT6_LP5_YGGeU%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAATW0k0Bv5tem4EuW1JCERLT6_LP5_YGGeU&keywords=karen%20cahn&origin=CLUSTER_EXPANSION&position=0&searchId=e7daba08-8278-483c-b9a3-04fafc595f84&sid=nQd&sortBy=%22date_posted%22
Karen Cahn,Female,2020-04-27,"I've been an activist for racial equality my whole life, and I'm on a journey to find my confidence to SPEAK OUT AND SPEAK LOUDLY more consistently about it. This is how I'm taking on Lupita Nyong'o's #WhiteAlliesChallenge #whiteprivilege #justiceforfloyd",148,54,10,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAATW0k0Bv5tem4EuW1JCERLT6_LP5_YGGeU%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAATW0k0Bv5tem4EuW1JCERLT6_LP5_YGGeU&keywords=karen%20cahn&origin=CLUSTER_EXPANSION&position=0&searchId=e7daba08-8278-483c-b9a3-04fafc595f84&sid=nQd&sortBy=%22date_posted%22
Karen Cahn,Female,2023-10-27,"💡Your Network is Your Net Worth 💸Last year, a whopping 1/3rd of new businesses started by women were in service to our communities in sectors like healthcare and education, drastically outpacing businesses started by men in these sectors. 🏆 For this reason alone, women deserve more support than we receive today. 😢 Yet, the funding gap is staggering, and it's real. Even though we tap into similar funding sources, men acquire capital investments at 2.5 times the rate women do. 🤔 Access to private capital and other forms of funding are often based on who you know.  🤝 Your network is your net worth, and women are often left out of the conversation.Here's the data https://bit.ly/3ZZy7M0 that shows that women are:✅ Starting businesses at increased rates.✅ Creating an economy that better serves worker and community needs.✅ Allowing workers increased flexibility on the job.This National Women’s Small Business Month and beyond, Gusto, the modern, all-in-one HR platform, supports women entrepreneurs by shedding light on the state of female entrepreneurship, the important role of women business owners in the economy, and resources for women-owned businesses. 💸 Check out Gusto’s 20 Funding Resources for Women-Owned Businesses https://bit.ly/3rYxshn to learn about major opportunities and resources available for women business owners today! #Ad #Sponsored #IFundWomen #gusto #womenssmallbusinessmonth #womenentrepreneurs",140,19,22,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAATW0k0Bv5tem4EuW1JCERLT6_LP5_YGGeU%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAATW0k0Bv5tem4EuW1JCERLT6_LP5_YGGeU&keywords=karen%20cahn&origin=CLUSTER_EXPANSION&position=0&searchId=e7daba08-8278-483c-b9a3-04fafc595f84&sid=nQd&sortBy=%22date_posted%22
Karen Cahn,Female,2020-04-27,"📣We're finally out of stealth mode, and we are right on time. 💸Announcing IFundWomen Enterprise Brokered Grants! 🎉#ifundwomen #grants #covidrelief #startupfunding",133,20,3,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAATW0k0Bv5tem4EuW1JCERLT6_LP5_YGGeU%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAATW0k0Bv5tem4EuW1JCERLT6_LP5_YGGeU&keywords=karen%20cahn&origin=CLUSTER_EXPANSION&position=0&searchId=e7daba08-8278-483c-b9a3-04fafc595f84&sid=nQd&sortBy=%22date_posted%22
Karen Cahn,Female,2024-04-27,I just crowdfunded $50K in cash to support The Women's March NYC. Here's exactly how I did it. #crowdfunding,112,20,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAATW0k0Bv5tem4EuW1JCERLT6_LP5_YGGeU%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAATW0k0Bv5tem4EuW1JCERLT6_LP5_YGGeU&keywords=karen%20cahn&origin=CLUSTER_EXPANSION&position=0&searchId=e7daba08-8278-483c-b9a3-04fafc595f84&sid=nQd&sortBy=%22date_posted%22
