Author,Gender,Date,Post Text,Likes,Comments,Shares,Page Link
Lauren Maillian ,Female,2023-07-27,"I spent the last week in Martha’s Vineyard for our annual trip, however this year was extra special because Cartier joined in to sponsor the C-Suite Women’s Luncheon for the Martha's Vineyard African American Film Festival with Google and The Estée Lauder Companies Inc.!What a joy to see Cartier create an experience on Martha’s Vineyard for the very first time as a company during one of the islands’ biggest weeks for the culture. Erica Lovett, bravo on your powerful panel talk and thank you for bringing Cartier to see the magic that MV is for our community!#DEI #WomenInBusiness #WomenLeaders #MVAAFF #Cartier",553,26,1,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAJ5V3ABY_CuyDBMHONPLrxkcX5KmTlPSyQ%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAJ5V3ABY_CuyDBMHONPLrxkcX5KmTlPSyQ&keywords=lauren%20maillian&origin=CLUSTER_EXPANSION&position=0&searchId=9ecbb674-cdae-4def-8b8f-22f3d1e10e0e&sid=x7K&sortBy=%22date_posted%22
Lauren Maillian ,Female,2023-10-27,"This Black girl had a dream to become one of the best consumer investors across asset classes and investment stages, including taking private companies through to IPO. 2 years later, part of that investor dream has been realized. Today's Nasdaq bell ringing wasn't just about opening the capital markets; it was about e.GO Mobile  taking its place among the most extraordinary companies in the world to compete for capital.In the most challenging of markets, our entire all-women team of investors, advisors and operators at Athena SPAC’s brought this innovative company public against all odds. e.GO Mobile isn't just a car company.  It's a reflection of the ingenuity of mankind and a proof point that a talented team can do well by doing good. Congratulations, Ali Vezvaei on becoming a publicly traded company CEO today and for the bright future of this incredible company! Isabelle Freidheim, thank you for your friendship, persistence, relentlessness and a life changing masterclass and experience of bringing a privately held company to the public capital markets as an investor from beginning to end. Nasdaq listed: EGOX. Letting this soak in. Yes, there’s more to come!#Investor #IPO #Success #Growth #WomenInBusiness #WomenLeaders #PublicCapitalMarkets #Nasdaq #NasdaqListed #BoardDirector #ThePathRedefined",475,79,6,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAJ5V3ABY_CuyDBMHONPLrxkcX5KmTlPSyQ%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAJ5V3ABY_CuyDBMHONPLrxkcX5KmTlPSyQ&keywords=lauren%20maillian&origin=CLUSTER_EXPANSION&position=0&searchId=9ecbb674-cdae-4def-8b8f-22f3d1e10e0e&sid=x7K&sortBy=%22date_posted%22
Lauren Maillian ,Female,2023-04-27,🚨 My next chapter has begun! Thrilled to join Hero Media Inc.  as President of Digital Innovation! Excited to join forces with Joseph Anthony  and our team of Heroes! Thank you Brandon Doerrer and Sabrina Sanchez  for covering my move for the culture into diverse-owned media in this great article in Campaign US! I sincerely appreciate the warm welcome to the industry!Let’s goooo! 💪🏾🚀Read the article here: https://lnkd.in/eqM9Kdks#Media#Tech#ForTheCulture#BrandBuilder#WomenInBusiness #ThePathRedefined,380,92,3,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAJ5V3ABY_CuyDBMHONPLrxkcX5KmTlPSyQ%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAJ5V3ABY_CuyDBMHONPLrxkcX5KmTlPSyQ&keywords=lauren%20maillian&origin=CLUSTER_EXPANSION&position=0&searchId=9ecbb674-cdae-4def-8b8f-22f3d1e10e0e&sid=x7K&sortBy=%22date_posted%22
Lauren Maillian ,Female,2023-10-27,"Have you ever been so excited about your friends wins that they feel personal for you too?My dear friend, Christiane Pendarvis is an unparalleled executive force in celebrity beauty and fashion, a board director, mama, wife and has been my sounding board turned big sis I didn’t even realize I needed!  Christiane is now Co-CEO of PATTERN Beauty with Tracee Ellis Ross and I’m so proud of her and excited to watch her build this brand! 🙌🏾🫶🏾👏🏾Read more in WWD here: https://lnkd.in/eTeksDya#WomenInBusiness #WomenLeaders P.S. PJ Brice the world is so small!",349,22,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAJ5V3ABY_CuyDBMHONPLrxkcX5KmTlPSyQ%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAJ5V3ABY_CuyDBMHONPLrxkcX5KmTlPSyQ&keywords=lauren%20maillian&origin=CLUSTER_EXPANSION&position=0&searchId=9ecbb674-cdae-4def-8b8f-22f3d1e10e0e&sid=x7K&sortBy=%22date_posted%22
Lauren Maillian ,Female,2024-03-27,"It’s been a while since I started my role at Cartier Women's Initiative as Jury President, DEI, but I wanted to share this update with everyone as we bring #WomensHistoryMonth to a close. I am so inspired by our CWI Fellows around the world and proud to be a part of Cartier's global social impact movement that is empowering women to be entrepreneurs and leaders making an economic impact. #WomenLeaders",297,38,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAJ5V3ABY_CuyDBMHONPLrxkcX5KmTlPSyQ%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAJ5V3ABY_CuyDBMHONPLrxkcX5KmTlPSyQ&keywords=lauren%20maillian&origin=CLUSTER_EXPANSION&position=0&searchId=9ecbb674-cdae-4def-8b8f-22f3d1e10e0e&sid=x7K&sortBy=%22date_posted%22
Lauren Maillian ,Female,2023-04-27,Chloe’s Junior Prom. It’s a family affair in Puerto Rico.Mom is still in her feelings. It was such a beautiful experience. 😭💞💁🏽‍♀️💫This is why I work so hard. #WorkingMom #Prom #MomentsThatMatter #FamilyAffair #GlowUp#BlackExcellence #PuertoRicoLife#ThePathRedefined,285,51,1,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAJ5V3ABY_CuyDBMHONPLrxkcX5KmTlPSyQ%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAJ5V3ABY_CuyDBMHONPLrxkcX5KmTlPSyQ&keywords=lauren%20maillian&origin=CLUSTER_EXPANSION&position=0&searchId=9ecbb674-cdae-4def-8b8f-22f3d1e10e0e&sid=x7K&sortBy=%22date_posted%22
Lauren Maillian ,Female,2023-06-27,"Hero Media Inc. Showed up to Cannes Lions International Festival of Creativity even big and better than last year! Our inaugural Heroes of Media Awards Dinner honored Eden Bridgeman Sklenar, Chairwoman and CEO of EBONY Media  and Jet Magazine, and Eric Austin, Senior Director of Global Brand Building and Media Innovation, Procter & Gamble. We also honored Halle Berry, Academy Award Winning Actor, Producer, Director and Founder of rē•spin with the “Heroes of Media Vanguard Award,” presented to innovators who are not afraid to take risks in the advancement of media ventures that put diversity at the forefront.✨A tremendous thank you to our sponsor Tara J. Agen and HP for powering our groundbreaking event in Cannes, France on Juneteenth. ✊🏾As a 100% Black-owned media network, we are so proud of what we accomplished and the importance of this event on the industry at large. The room was filled with greatness and I’m already planning for 2024! 🎉Joseph Anthony Len Burnett Jr. #BlackExcellence #Media #Innovation #BrandBuilding #CannesLions2023 #HeroesOfMedia2023",283,29,1,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAJ5V3ABY_CuyDBMHONPLrxkcX5KmTlPSyQ%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAJ5V3ABY_CuyDBMHONPLrxkcX5KmTlPSyQ&keywords=lauren%20maillian&origin=CLUSTER_EXPANSION&position=0&searchId=9ecbb674-cdae-4def-8b8f-22f3d1e10e0e&sid=x7K&sortBy=%22date_posted%22
Lauren Maillian ,Female,2022-04-27,"I am so PROUD and EXCITED to officially announce our partnership with LinkedIn!  Thanks to the entire LinkedIn team for the time, space and commitment to inclusion. LinkedIn has granted digitalundivided a $250,000 grant to continue our work and amplify the stories, journeys and successes of Black and Latina women entrepreneurs and will be supporting our BIG Incubator and Do You Fellowship programs.Read more in my newsletter and join us this Thursday for a very special #BlackHistoryMonth conversation live on Linkedin (details inside).My greatest thanks to Jacqueline Jones, Tyrona (Ty) Heath, Makeda Kefale, Minjae Ormes, Gorki De Los Santos, Jordan Medina, Meg Garlinghouse, Quincy Mingo, Andrew McCaskill, James Burnette and Rosanna Durruthy. Shoutout to Allie Mullen for being my wonderful partner in making this happen. It truly takes a village and I am so thrilled we are in this together! #DiversityMatters#Inclusion#Tech#Innovation#WomenLeaders#Entrepreneurship #PartnershipsMatter",268,51,6,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAJ5V3ABY_CuyDBMHONPLrxkcX5KmTlPSyQ%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAJ5V3ABY_CuyDBMHONPLrxkcX5KmTlPSyQ&keywords=lauren%20maillian&origin=CLUSTER_EXPANSION&position=0&searchId=9ecbb674-cdae-4def-8b8f-22f3d1e10e0e&sid=x7K&sortBy=%22date_posted%22
Lauren Maillian ,Female,2023-12-27,"Wishing You A Very Merry Christmas! As we gather around this holiday season, I wanted to extend heartfelt holiday wishes from my family to yours. 🎄✨ This year has been a beautiful journey filled with growth. I am profoundly grateful for the love and joy that this season brings, and I hope it is just as magical for each one of you. May your homes be filled with laughter, your hearts with love, and your spirits with the warmth of the season. Here's to celebrating the beauty of family, the power of community, and the endless possibilities that the New Year holds. Wishing you a Merry Christmas and a joyous holiday season!#MerryChristmas #HappyHolidays #FamilyTime",263,36,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAJ5V3ABY_CuyDBMHONPLrxkcX5KmTlPSyQ%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAJ5V3ABY_CuyDBMHONPLrxkcX5KmTlPSyQ&keywords=lauren%20maillian&origin=CLUSTER_EXPANSION&position=0&searchId=9ecbb674-cdae-4def-8b8f-22f3d1e10e0e&sid=x7K&sortBy=%22date_posted%22
Lauren Maillian ,Female,2021-04-27,"After a historic week that came with many emotions, I've wrapped up what I wanted to share this week with my thoughts on how we should all perhaps consider shifting our mindset around the use of our time. The events of this past week have called me to make some changes around the investment of my time. I've broken down my why here too.As we head into the weekend, I thought this week's newsletter should focus on how to value your time too. I would love to hear your thoughts on how I decide where to invest the extra moments I do have to share so drop a comment below.#WomenLeaders#WomenInBusiness#Diversity#Equity#Innovation #Inclusion#Justice#Leadership #Culture",259,54,20,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAJ5V3ABY_CuyDBMHONPLrxkcX5KmTlPSyQ%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAJ5V3ABY_CuyDBMHONPLrxkcX5KmTlPSyQ&keywords=lauren%20maillian&origin=CLUSTER_EXPANSION&position=0&searchId=9ecbb674-cdae-4def-8b8f-22f3d1e10e0e&sid=x7K&sortBy=%22date_posted%22
