Author,Gender,Date,Post Text,Likes,Comments,Shares,Page Link
Lisa Hurley,Female,2023-12-27,Awwww I love this! 🥰🥰,3913,149,97,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAALAQ-4BbTBIZ2Xm2mreLTNxwBiRG9nz-Bs%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAALAQ-4BbTBIZ2Xm2mreLTNxwBiRG9nz-Bs&keywords=lisa%20hurley&origin=CLUSTER_EXPANSION&position=0&searchId=35c961ca-9b86-4252-b8c5-ae5951921120&sid=YMH&sortBy=%22date_posted%22
Lisa Hurley,Female,2023-12-27,"Since we’re talking about sister Taraji, can we also discuss how Mo’Nique said the exact same thing and got dragged to thy kingdom come?Can we talk about the literal shades of misogynoir?Can we talk about how Taraji’s message was better received because of colorism?Can we talk about how the reputational and financial losses that Mo’Nique suffered were closely related to her being being darker in hue and bigger in size?Can we talk about the fact that Taraji is taking home “regular money”? After everything is taken out and everyone is paid, there are probably quite a few folks right here on LinkedIn who take home multiples more than she does.Can we talk about the power of tears? Now do not read what I did not write. Taraji was and is clearly in deep pain and her tears sprung to her eyes spontaneously and authentically. I completely feel for and support my sis. That said, Monique, also in deep pain, delivered her message with a more stoic affect, and was perceived as being bitter; as being an “angry Black woman.”Can we talk about why we require Black women to be in literal tatters before we pay attention to their cries for help? Can we talk about how this is about the entertainment industry, but it’s not about the entertainment industry? Taraji, Mo’Nique, et al are us and we are them regardless of industry. I might go back through my posts at some point and show you how many times I’ve posted about pay inequity; about Black women needing to be supported, protected, and believed; about Black women and the Superwoman Syndrome; about the Angry Black Woman stereotype; about how no matter how we show up, we are harshly judged? Remember Justice Ketanji Brown Jackson and how she was verbally flayed for hours? Remember how Meghan Markle was treated? Remember how Auntie Angela (Bassett) was criticized for showing a little disappointment? These are women in the public eye, but trust and believe me that those of us “regular folk” are going through the same thing. The reason why so many Black women on this app are posting the Taraji video is because we know the struggle. Her tears are our tears. Every day…every single day…the struggle bus scoops us up and we go on a ride. And we have to show up in corporate spaces and smile, and be gracious, and be grateful for crumbs, and not rock the boat, and do wayyyy more while being paid wayyyy less. And say thank you for being overworked and underpaid.Just…no.Taraji also talked about building her own tables and diversifying her sources of income because she literally has no other choice.Look around you at the number of Black women who (like myself) are founders and solopreneurs. Yes, we have ideas that we want to bring to fruition, but also: we have to. The corporate machine chews us up and spits us out, and we choose to create better paths for ourselves. For every body who has ever asked me, with offense in their tone, why I center Black women, and why I created The Great Exhale™: this is why.",1452,430,133,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAALAQ-4BbTBIZ2Xm2mreLTNxwBiRG9nz-Bs%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAALAQ-4BbTBIZ2Xm2mreLTNxwBiRG9nz-Bs&keywords=lisa%20hurley&origin=CLUSTER_EXPANSION&position=0&searchId=35c961ca-9b86-4252-b8c5-ae5951921120&sid=YMH&sortBy=%22date_posted%22
Lisa Hurley,Female,2023-12-27,"Maybe y’all will listen to Taraji…😢 I’m so sorry that she is going through this. 💔 Having to prove herself over and over again. Having to fight for equity that is never attained. Having to struggle to be paid crumbs. (Please don’t jump in my comments talking foolishness. Everything is relative.) Monique said the same thing. So did Viola Davis. The industry wants to call Viola the Black Meryl Streep but doesn’t want to pay her Meryl Streep money. 🤷🏾‍♀️ The industry wants to call Taraji “A List” but doesn’t want to pay her A List money. The math is definitely not mathing, and the audacity is extreme. We (activists here on LinkedIn) keep trying to explain to y’all the constant struggle that so many Black women go through, regardless of social class, industry, or type of job. This is why we are tired.Taraji is literally doing her dream job and it’s *still* a struggle. It’s still too much. The burdens are too great. The paycheck is too puny. She is fighting for survival daily. She is us and we are her. My heart breaks for Taraji and for us all. 💔 Black women deserve better.🎥: The Shade Room on TikTok",1240,222,121,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAALAQ-4BbTBIZ2Xm2mreLTNxwBiRG9nz-Bs%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAALAQ-4BbTBIZ2Xm2mreLTNxwBiRG9nz-Bs&keywords=lisa%20hurley&origin=CLUSTER_EXPANSION&position=0&searchId=35c961ca-9b86-4252-b8c5-ae5951921120&sid=YMH&sortBy=%22date_posted%22
Lisa Hurley,Female,2024-02-27,"Today’s #SundaySalutation is truly a blessing for your ears. 🎶🤎 🎶 This beautiful piece called Lost was composed by this young British brotha Camden Bonsu-Stewart. If that surprises you, check your biases. And also make sure you check him out on TikTok. Link is in the comments.#TheGreatExhale#SundaySalutation#LiveLifeInUnderdrive#HappyHappyThoughts",1220,291,113,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAALAQ-4BbTBIZ2Xm2mreLTNxwBiRG9nz-Bs%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAALAQ-4BbTBIZ2Xm2mreLTNxwBiRG9nz-Bs&keywords=lisa%20hurley&origin=CLUSTER_EXPANSION&position=0&searchId=35c961ca-9b86-4252-b8c5-ae5951921120&sid=YMH&sortBy=%22date_posted%22
Lisa Hurley,Female,2024-01-27,"I was born in Jamaica, and grew up in Trinidad and Barbados. 🇯🇲🇹🇹🇧🇧 Based on my Ancestry results I'm Blackity Black Black Black. (Mostly. Because slavery.)✊🏾✊🏾✊🏾✊🏾✊🏾✊🏾✊🏻A lifetime ago, I was a trained dancer.A lifetime ago, I was semi-fluent in French.A lifetime ago, I found myself living in France, teaching ESL. I missed dancing, so one evening I went out to shake a leg with a girl who had befriended me. We were cutting a rug in the bar, and then some Bob Marley came on. (They LOVE some Brotha Bob!!) Additional context:Phenotypically, she and her forbears hailed from the territories in Zhun of Caucay. It appeared that they had been existing, unseasoned, for centuries.Ok so…Bob Marley comes on, and my Jamaican, Barbadian, Trinidadian, rigorously trained dancer’s body starts moving to the music I have known my entire life. This pale person, who had taken one “Caribbean Dance” class, proceeds to tell me that I am “not doing the dance right.” She then took my hands in hers to guide me in the right way to dance to reggae. Because, you know…she had taken a class. 😐Jump cut to present day:This is how a lot of y’all – you know who you are – look and sound leading initiatives that are not yours to lead. This is how you look and sound on your monochromatic panels, regurgitating knowledge you stole from us, cosplaying thought leadership, getting paid for colonized content. This is how you look and sound calling yourself an ally, but engaging in harmful (not to mention condescending) behaviors.Your weekend course does not make you more qualified than those of us with lived, embodied experience. We are qualified by LIFE. Don’t make yourselves look ridiculous by trying to teach back to us what we already know. Don’t make yourselves look opportunistic by siphoning our experiences second-hand, and trying to profit from them.On this second day of Black History Month (and, tbh, in general), we implore you to:Shift back.Step aside.Cede the floor.This is our time.P.S. Agreed: “Not all,” but way too many. If it don’t apply, then scroll on by.P.P.S. You should already have booked (and PAID) your BHM speakers. You did pay them, right? Hopefully the word “exposure” didn’t factor into your discussions with them.P.P.P.S Running this one back from last year, cause it still applies. Which is kind of sad.Also: Black speakers don’t only “do” DEI. We are experts in a variety of fields and topics. End scene.#BlackHistoryMonth💨💨💨💨💨💨💨💨💨😎🤎 Hi, I’m Lisa, and I provide Black women with a soft, safe space where they can finally take their cape off, take a breath—and rest. I’m the Founder of The Great Exhale, a private membership community created for Black women to relax, lay their burdens down…and exhale.If that sounds like something you’re ready for, join The Great Exhale community today! 🙌🏾😊🤎💨🙏🏾 (Link in comments.)#ExhaleSis#TheGreatExhale#LiveLifeInUnderdrive#HappyHappyThoughts",1164,268,81,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAALAQ-4BbTBIZ2Xm2mreLTNxwBiRG9nz-Bs%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAALAQ-4BbTBIZ2Xm2mreLTNxwBiRG9nz-Bs&keywords=lisa%20hurley&origin=CLUSTER_EXPANSION&position=0&searchId=35c961ca-9b86-4252-b8c5-ae5951921120&sid=YMH&sortBy=%22date_posted%22
Lisa Hurley,Female,2024-01-27,"*TW: Mention of suicide*Pausing to mourn and honor Dr. Bonnie Bailey. May she rest in eternal peace.🙏🏾🙏🏾🙏🏾According to HBCU Buzz: ""Dr. Antoinette “Bonnie” Candia-Bailey sadly passed away this week on January 8th. Family sources have officially confirmed Dr. Bailey died by suicide due to distress from “bullying and severe mistreatment” in her role as VP of Student Affairs at Lincoln University Missouri."" Black women are under siege. Feels like we have always been.In terms of bullying and mistreatment; in terms of emotional, physical, intellectual, and financial attacks--none of this is new. Go as far back as the Black women who were operated on without anesthesia by the so-called ""father of gynecology."" Come as far forward as Dr. Claudine Gay, Justice Ketanji Brown-Jackson, Michelle Obama, Taraji P. Henson, Mo'Nique...the list goes on and on. Look around you at the Black women on this platform, in your office, in your circle...so many of us are suffering. So many of us hide that suffering behind our smiles. The details might differ, but the theme is the same. We all deal with the suffering differently, but mistreatment is the same. Many of us get to the point where we can no longer deal--or we get very close to it. We deserve to live. We deserve to enjoy life. We deserve so much better.Deepest condolences to Dr. Bailey's family and all who mourn her. 🙏🏾🙏🏾🙏🏾P.S. Employers, colleagues, allies: lend me your ears: be sensitive to the Black people in your circle. Many of us, especially Black women, are not feeling ok. Give space and show grace. 🙏🏾P.P.S. Black women: if you don't feel up to posting about this, that's ok. Take care of YOU. Don't let anybody try to force you into doing a post or even engaging with others' content about this if that's not what you want to do. Protect your heart. 🙏🏾🤎",991,199,176,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAALAQ-4BbTBIZ2Xm2mreLTNxwBiRG9nz-Bs%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAALAQ-4BbTBIZ2Xm2mreLTNxwBiRG9nz-Bs&keywords=lisa%20hurley&origin=CLUSTER_EXPANSION&position=0&searchId=35c961ca-9b86-4252-b8c5-ae5951921120&sid=YMH&sortBy=%22date_posted%22
Lisa Hurley,Female,2024-03-27,"And it came to pass on this fifth day of March 2024 that this little girl from Barbados 🇧🇧 officially became a signed author!!!!! 😁🎊📚👑  Happy and honored to be signed with Wiley publishing, via the awesome Victoria Savanh!! Thanks to Victoria and the Wiley team for SEEING me, and for making the process so seamless.Thanks also to all the people who helped and supported me behind the scenes. Some of you prefer not to be publicly acknowledged, but please know I'm grateful. 💚 To folks like Kathleen Hurley, Sharon Hurley Hall (she/her), my niece, my bestie, and multiple other friends and supporters: I appreciate you all. Special mention goes out to Luvvie Ajayi Jones and The Book Academy team and community. They got me READY so that when opportunity came a-calling, I was fully prepared. Title and other details to be revealed soon, but look out for a fabulous book launch next year. 😁 Big tings a gwan!!(Random pic to capture the mood!! Lolol! #FeelingLikeAQueen #BarbadosBlue #246 😁👑🇧🇧 )#PostingForPosterity#WomensHistoryMonth#TheGreatExhale#Wuhloss (iykyk)",952,439,16,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAALAQ-4BbTBIZ2Xm2mreLTNxwBiRG9nz-Bs%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAALAQ-4BbTBIZ2Xm2mreLTNxwBiRG9nz-Bs&keywords=lisa%20hurley&origin=CLUSTER_EXPANSION&position=0&searchId=35c961ca-9b86-4252-b8c5-ae5951921120&sid=YMH&sortBy=%22date_posted%22
Lisa Hurley,Female,2024-03-27,"To Whom It May Concern: I am NOT paying y'all $3,500 to $6,000 to be featured in your bogus magazine. Not gonna happen. You can stop emailing me cause all I do is block you as spam. 🤷🏾‍♀️ Also not paying you to speak at your event. I cannot conceive the level of audacity it takes to ask anyone to do this. I mean...how do you in your right mind look somebody straight in the face and ask them to PAY YOU to speak at your event which is sponsored and fully monetized? You are charging hefty entrance fees. You want to use us as a draw. You're gonna own all the IP. And you can't pay? Like...nothing?? This is actually worse than asking people to speak for free. That is bad enough, but even though I strongly advocate that speakers should be paid, there are probably some cases where speaking for free can work for both parties. But:Ain'tNoFlippinWayI'm paying you to speak at your event. Ion care who it is. Ain't happening.Happy Black History Month. Not a typo.#JesusWept *EDITED TO ADD*: I'm seeing a lot of superiority and contempt in the comments directed towards victims of these scams. Please let us not stoop to insulting  and demeaning people. Most of us have fallen for a scam at least once in our lives, whether in personal or professional settings. Shoot...most of us are hustled by our employers on the daily, but that's fodder for another post. There are people who simply do not know that this is not the way that the industry works. Hopefully this post serves as a warning and an education. No contempt and judgment necessary.",910,373,7,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAALAQ-4BbTBIZ2Xm2mreLTNxwBiRG9nz-Bs%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAALAQ-4BbTBIZ2Xm2mreLTNxwBiRG9nz-Bs&keywords=lisa%20hurley&origin=CLUSTER_EXPANSION&position=0&searchId=35c961ca-9b86-4252-b8c5-ae5951921120&sid=YMH&sortBy=%22date_posted%22
Lisa Hurley,Female,2023-12-27,This,826,66,67,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAALAQ-4BbTBIZ2Xm2mreLTNxwBiRG9nz-Bs%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAALAQ-4BbTBIZ2Xm2mreLTNxwBiRG9nz-Bs&keywords=lisa%20hurley&origin=CLUSTER_EXPANSION&position=0&searchId=35c961ca-9b86-4252-b8c5-ae5951921120&sid=YMH&sortBy=%22date_posted%22
Lisa Hurley,Female,2024-01-27,"Happy Black History Month. As you (you know who you are) get ready to put on your annual BHM Broadway-worthy performance, this is your reminder to absolutely acknowledge, honor, and celebrate Black History, AND support those who are currently making, or attempting to make Black History. Do not wait for people to become successful to support them, support them into success. Especially Black people who are pushing against a 400-year setback.So non-Black allies - individual and corporate - this is a call to you to do the work. And the work looks like hiring, promoting, and equitably remunerating Black people. (It also looks like making sure your culture is safe for them, but that's another post for another time.) It looks like recommending and referring Black people. It looks like supporting Black people in myriad ways, including financially. If there are Black people in your circle who have a company, side hustle, product, Patreon, book, course, subscription offering, consultancy, Etsy store, etc. then send some business their way. Make a purchase. Make a donation. Send them a little Zelle, PayPal, Venmo, or Cashapp love.Tag people...but also contribute. Make your support material and concrete.🟤 Share your resources. 🟤 Speak their names to powerbrokers.🟤 Get uncomfortable and give something up, e.g. : 🟤 Refuse to speak for BHM events - refer someone Black instead.🟤 Provide services and support as your contribution to their work.Put some skin in the game. Supply these mythical bootstraps we hear of. Ally is a verb.To my Black folks: Please share in the comments how people can support you. Drop your links. Share your info. Let your need and CTA be known. I've done this a few times in the past and people have benefited, so I'm hoping that it will work this time around as well. #BlackHistoryMonth#BlackHistory P.S. ♻️ Please share this widely and get the word out. P.P.S. Black History is also known as...History.",750,133,130,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAALAQ-4BbTBIZ2Xm2mreLTNxwBiRG9nz-Bs%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAALAQ-4BbTBIZ2Xm2mreLTNxwBiRG9nz-Bs&keywords=lisa%20hurley&origin=CLUSTER_EXPANSION&position=0&searchId=35c961ca-9b86-4252-b8c5-ae5951921120&sid=YMH&sortBy=%22date_posted%22
