Author,Gender,Date,Post Text,Likes,Comments,Shares,Page Link
Magnus Grimeland,Male,2023-05-27,"Today, I’m excited to share that we closed Antler Elevate, a $285M emerging growth fund that backs the next generation of exceptional founders across 20+ tech ecosystems, propelling them on their paths to greatness. At Antler, we are committed to being a long-term partner to amazing founders. Through Antler Elevate, we can back them not just in the first round, but in the second, third, and fourth as well. Now that Antler has become a global platform across many key ecosystems in the world, Antler Elevate also enables us to become an even closer partner to the best VCs in the regions where we operate. Congrats to the entire Antler Elevate and Capital teams on the launch. Read more via TechCrunch below.👇 Learn more about Antler Elevate in the comments. #venturecapital #growth #startups",830,62,6,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAABYUw8BHGq6y5Q3q3TXzb6COU50DSqRpbY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAABYUw8BHGq6y5Q3q3TXzb6COU50DSqRpbY&keywords=magnus%20grimeland&origin=CLUSTER_EXPANSION&position=0&searchId=205c96fb-e562-4986-9891-ecf75654bc5d&sid=73E&sortBy=%22date_posted%22
Magnus Grimeland,Male,2023-12-27,"Proud to share that we recently made our 1,000th investment in companies that originated in Antler residencies.Big thanks and gratitude to our founders and the entire Antler global community. #venturecapital #entrepreneurs #startups",659,42,18,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAABYUw8BHGq6y5Q3q3TXzb6COU50DSqRpbY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAABYUw8BHGq6y5Q3q3TXzb6COU50DSqRpbY&keywords=magnus%20grimeland&origin=CLUSTER_EXPANSION&position=0&searchId=205c96fb-e562-4986-9891-ecf75654bc5d&sid=73E&sortBy=%22date_posted%22
Magnus Grimeland,Male,2023-12-27,"More connections. More capital. More momentum. 💪🏼It’s been an awesome year. We’ve seen a record level of founders wanting to work with Antler—now receiving more than 120,000 applicants per year. We expanded to 27 locations across six continents—with new offices in Malaysia, MENAP, and Finland. Antler team members collectively spent 200,000+ hours with founding teams before making our first investments. And in Q3, we only invested in 2.4 out of 1,000 applications. This year, we helped our portfolio companies close over 300 funding rounds. And as the world’s day zero investor, we support founders representing 142 nationalities, including 1,900 women founders. Amazing. Here’s to a 2024 filled with prosperity, progress, and huge opportunities.#venturecapital #startups #entrepreneurship",656,32,6,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAABYUw8BHGq6y5Q3q3TXzb6COU50DSqRpbY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAABYUw8BHGq6y5Q3q3TXzb6COU50DSqRpbY&keywords=magnus%20grimeland&origin=CLUSTER_EXPANSION&position=0&searchId=205c96fb-e562-4986-9891-ecf75654bc5d&sid=73E&sortBy=%22date_posted%22
Magnus Grimeland,Male,2023-10-27,"Former Chairman of Goldman Sachs Asset Management.Vice Chair and General Partner of B Capital Group. Angel sponsor of 100 Women In Finance. Proud to call the legendary Sheila Patel co-chair of Antler's board. More from Sheila on inflation, innovation, and investing in The Australian Financial Review: https://lnkd.in/gBgi6Evn#people #leadership #investors",371,9,4,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAABYUw8BHGq6y5Q3q3TXzb6COU50DSqRpbY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAABYUw8BHGq6y5Q3q3TXzb6COU50DSqRpbY&keywords=magnus%20grimeland&origin=CLUSTER_EXPANSION&position=0&searchId=205c96fb-e562-4986-9891-ecf75654bc5d&sid=73E&sortBy=%22date_posted%22
Magnus Grimeland,Male,2023-05-27,"The European founder ecosystem is stronger than ever before. This week, Antler brought together investors, LPs, operators, media, and 50 of our portfolio companies for a series of discussions on the growth opportunities in the European tech ecosystem. Fantastic to meet so many exceptional founders this week in London. Now is a great time to become a founder in Europe. Awesome to see that so many peers in the VC space and unicorn founders share our view. Recently, we analyzed a dataset of more than 70,000 founders—to paint a picture of the region’s founder demographics in real time. Read more to see what we found: https://lnkd.in/ggeh2SAG#Europe #venturecapital #tech",354,7,2,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAABYUw8BHGq6y5Q3q3TXzb6COU50DSqRpbY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAABYUw8BHGq6y5Q3q3TXzb6COU50DSqRpbY&keywords=magnus%20grimeland&origin=CLUSTER_EXPANSION&position=0&searchId=205c96fb-e562-4986-9891-ecf75654bc5d&sid=73E&sortBy=%22date_posted%22
Magnus Grimeland,Male,2023-08-27,"500+ participants. A full house of investors. Nine teams pitching.Delighted to have spoken at Antler’s demo day in Korea about innovation and day-zero growth.Korea continues to be one of our biggest opportunities. Can’t wait to see where we go from here.Congrats to Jiho Kang, Gabriel (Sa-Eun) Jung, JaeHee Chang, and the entire Korea team on an amazing event! #korea #innovation #venturecapital",328,2,3,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAABYUw8BHGq6y5Q3q3TXzb6COU50DSqRpbY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAABYUw8BHGq6y5Q3q3TXzb6COU50DSqRpbY&keywords=magnus%20grimeland&origin=CLUSTER_EXPANSION&position=0&searchId=205c96fb-e562-4986-9891-ecf75654bc5d&sid=73E&sortBy=%22date_posted%22
Magnus Grimeland,Male,2023-04-27,"Thanks to The Economic Times for the write-up. India 🇮🇳 really is one of the world’s biggest opportunities when it comes to startup investing.Can’t wait to see what founders in India build next, partnering with Rajiv Srivatsa, Nitin Sharma, and the entire Antler team in India. #startups #investing #india",325,8,3,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAABYUw8BHGq6y5Q3q3TXzb6COU50DSqRpbY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAABYUw8BHGq6y5Q3q3TXzb6COU50DSqRpbY&keywords=magnus%20grimeland&origin=CLUSTER_EXPANSION&position=0&searchId=205c96fb-e562-4986-9891-ecf75654bc5d&sid=73E&sortBy=%22date_posted%22
Magnus Grimeland,Male,2023-09-27,"This is the best time in history to build a startup in Malaysia.In recent years there has been a big focus on innovation in the country, accelerated by the government's proactive policy approach to support high-potential companies. All of this is driving an amazing wave of growth.We're excited to have opened our Antler office in Kuala Lumpur earlier this year and are proud to be a key partner of Khazanah Nasional Berhad, in particular the Future Malaysia Programme that's supporting the local startup ecosystem through collaborations between domestic and international partners.It was great to catch up with Datuk Amirul Feisal Wan Zahir at the Khazanah Megatrends Forum 2023 and meet Malaysian Prime Minister Dato' Seri Anwar Bin Ibrahim and Tengku Datuk Seri Zafrul Abdul Aziz, the Minister of Investment, Trade, & Industry to discuss the amazing opportunities ahead.Very excited to be working together to drive meaningful change by supporting Malaysian businesses and innovation.Read more about our partnership: https://lnkd.in/gF6Bd7CD#malaysia #innovation #entrepreneurs",325,7,1,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAABYUw8BHGq6y5Q3q3TXzb6COU50DSqRpbY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAABYUw8BHGq6y5Q3q3TXzb6COU50DSqRpbY&keywords=magnus%20grimeland&origin=CLUSTER_EXPANSION&position=0&searchId=205c96fb-e562-4986-9891-ecf75654bc5d&sid=73E&sortBy=%22date_posted%22
Magnus Grimeland,Male,2024-03-27,Had an amazing time at Antler Immersion in London. 🇬🇧 Our senior leaders dove deep into the UK opportunity as well as Antler’s global strategy and operations with LPs. They also shared current insights on the European tech ecosystem. Many thanks to the exceptional founders who came by and shared their unique perspectives on building with Antler: 🔥 Julian Schoemig from Diesta 🌩 Russell Elfenbein from Cloud Cycle Ltd💡 Suzy Lockwood from ditto Great energy. Until next time! #venturecapital #leadership #entrepreneurship,294,6,1,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAABYUw8BHGq6y5Q3q3TXzb6COU50DSqRpbY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAABYUw8BHGq6y5Q3q3TXzb6COU50DSqRpbY&keywords=magnus%20grimeland&origin=CLUSTER_EXPANSION&position=0&searchId=205c96fb-e562-4986-9891-ecf75654bc5d&sid=73E&sortBy=%22date_posted%22
Magnus Grimeland,Male,2023-09-27,"Very excited that we launched our inaugural program in Riyadh 🇸🇦! 🚀3,000 applications. 90 founders joining. Awesome. Some interesting stats about the founder group in Riyadh:🎯 67% have startup experience🌎 34 nationalitiesCongrats to Dr. Jonathan Doerr, Romain Assunção, and the entire team in MENAP. Big moment. #startups #KSA #founders",260,14,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAABYUw8BHGq6y5Q3q3TXzb6COU50DSqRpbY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAABYUw8BHGq6y5Q3q3TXzb6COU50DSqRpbY&keywords=magnus%20grimeland&origin=CLUSTER_EXPANSION&position=0&searchId=205c96fb-e562-4986-9891-ecf75654bc5d&sid=73E&sortBy=%22date_posted%22
