Author,Gender,Date,Post Text,Likes,Comments,Shares,Page Link
Manny Medina ,Male,2023-07-27,"Proud of our Outreach team for ranking #1 amongst sales engagement & revenue intelligence solutions. Check out the report below to see why Outreach received top scores vs the competition. And, we’re just getting started.  We’ll unveil more innovations across our AI  sales platform at Unleash 2023 (register in comments).",1615,64,30,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAAI6asBj7bk7_dFZi9f_KiLF8r8TMn9KsY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAAI6asBj7bk7_dFZi9f_KiLF8r8TMn9KsY&keywords=manny%20medina&origin=CLUSTER_EXPANSION&position=0&searchId=e77daa49-2e5e-4047-bb55-e4865756eb34&sid=ZU(&sortBy=%22date_posted%22
Manny Medina ,Male,2024-01-27,"Lately, I have been shocked by the number of rookie mistakes I see in sales cycles.Mistakes like sending a pricing proposal over email without scheduling a meeting to review it first and get feedback, being single-threaded, needing to understand the paper process, and being selected vendor of choice without an agreement to make a decision.That’s just last week!One effect of the last 10 years and ZIRP is that “tenured” AEs, ie AEs with 5+ years of experience haven’t sold in complex selling environments. So even though these AEs are “experienced,” they don’t possess the mindset and skillset to sell in today’s environment.They sold at a time when- Everyone wanted to buy innovation- We didn’t need to advocate change, build consensus, and show value- Cool technology was enough- Being threaded was ok b/c pretty much anyone in the org could sign a $90K contract- If we didn’t work our pipeline, inbound leads would make up the restWe are now in a complex environment in which very few AEs are ready- Decision-making needs to be more clear- Shiny products alone don’t win the deal- Organizations may be making decisions out of fear, not opportunity. The old “no one gets fired for buying …” is back!And this is happening while the budgets for enablement and training are getting cut. So the burden of taking an AE who is experienced but new to this game falls on the manager.What is a Front-Line Manager to do?First, we all need to take work off their plate. Preparing decks for the forecast call or prep meetings needs to go. Forecasting should be automated, done by the AI, and only edited by the manager. If you are asking FLMs to enter forecast numbers manually, they are humoring you and not coaching their team.Second, stop asking the managers to aggregate reports from the 10 tools their reps need to use to do their work. Get a single platform where the reps can do the work and the manager can get the details of the activity, pipeline, and forecast.Third, use your CI tool as your day-to-day enablement tool. Whether you use the latest AI technology with real-time CI that enables the rep to be in the moment with live content cards (yes, like Kaia), or you use the more classic CI recordings, make time to ensure your reps are either listening to the recordings or learning from the live experience. No one has time to take reps off the field for long enablement sessions.Most organizations have a good playbook already. Review your playbook regularly with the team and share stories on how it helped in deals.These will empower the manager to spend more time with their reps teaching them the ropes and setting them up for success.What other tips do you have for FLMs to make more time for coaching their reps?“I done seen people f*#k up the whole team 'cause they couldn't play their position” - Big Sean",425,55,4,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAAI6asBj7bk7_dFZi9f_KiLF8r8TMn9KsY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAAI6asBj7bk7_dFZi9f_KiLF8r8TMn9KsY&keywords=manny%20medina&origin=CLUSTER_EXPANSION&position=0&searchId=e77daa49-2e5e-4047-bb55-e4865756eb34&sid=ZU(&sortBy=%22date_posted%22
Manny Medina ,Male,2023-09-27,"Mel KILLED IT at her #Unleash2023 keynote. My takeaway: physiologically, there is no difference between nervousness and excitement. No matter how long you’re in the sales game, picking up that phone can get discouraging. It’s one of the reasons we’ve made Outreach to support sales processes through the power of AI. You’re not nervous for the call, you’re excited for everything it could lead to. Thanks, Mel Robbins!#54321",418,25,1,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAAI6asBj7bk7_dFZi9f_KiLF8r8TMn9KsY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAAI6asBj7bk7_dFZi9f_KiLF8r8TMn9KsY&keywords=manny%20medina&origin=CLUSTER_EXPANSION&position=0&searchId=e77daa49-2e5e-4047-bb55-e4865756eb34&sid=ZU(&sortBy=%22date_posted%22
Manny Medina ,Male,2020-04-27,2019 was an incredible year. I learned that organizational growth and personal growth go hand-in-hand. And I learned how to garden. Read more below.,389,19,8,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAAI6asBj7bk7_dFZi9f_KiLF8r8TMn9KsY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAAI6asBj7bk7_dFZi9f_KiLF8r8TMn9KsY&keywords=manny%20medina&origin=CLUSTER_EXPANSION&position=0&searchId=e77daa49-2e5e-4047-bb55-e4865756eb34&sid=ZU(&sortBy=%22date_posted%22
Manny Medina ,Male,2023-04-27,"Today, Outreach welcomes our new President of Go-to-Market David Ruggiero.We conducted an exhaustive search for the right candidate to help Outreach take the next step in our growth. He has an exceptional track record of driving customer success and growth at both tech and non-tech companies, including Microsoft, Cisco, Avaya, and ThermoFisher Scientific. His experience will be important as Outreach continues to execute on our platform strategy, reaching new customers across all segments – especially enterprise – and in markets around the world.   Finally, David brings the right energy, cultural alignment, and depth of experience that we look for in our leaders. More background on David in the comments.",377,17,2,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAAI6asBj7bk7_dFZi9f_KiLF8r8TMn9KsY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAAI6asBj7bk7_dFZi9f_KiLF8r8TMn9KsY&keywords=manny%20medina&origin=CLUSTER_EXPANSION&position=0&searchId=e77daa49-2e5e-4047-bb55-e4865756eb34&sid=ZU(&sortBy=%22date_posted%22
Manny Medina ,Male,2023-09-27,"Since the first Unleash, I’ve listened to the exact same song before going on stage: Jay Z’s “Public Service Announcement”HOV played again today before I got to speak to our sponsors, users, evangelists, and prospects about transforming our interactions and what that actually means for CRM. Worked like a charm, I was hyped and so was the crowd. So allow me to reintroduce myself, my name is Manny Medina. This is #Unleash2023",364,21,1,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAAI6asBj7bk7_dFZi9f_KiLF8r8TMn9KsY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAAI6asBj7bk7_dFZi9f_KiLF8r8TMn9KsY&keywords=manny%20medina&origin=CLUSTER_EXPANSION&position=0&searchId=e77daa49-2e5e-4047-bb55-e4865756eb34&sid=ZU(&sortBy=%22date_posted%22
Manny Medina ,Male,2023-04-27,"Outreach is hosting #Unleash2023, the ultimate event for sales leaders and their teams in October. And, I'm excited that Mel Robbins will join us onstage as a keynote speaker to help us break through a limiting mindset and embrace the power of abundance.Mel is truly inspirational. She's not only a New York Times Bestselling author, she also hosts the Mel Robbins Podcast -- providing life-changing content to her millions of followers. I highly recommend her books The High 5 Habit, and the 5 Second Rule. Check out Mel in the video below on why you should attend. I hope to see you at Unleash, because we’re truly building something unlike any other customer event. We’re creating three days of energizing sessions and workshops to help you transform -- both personally and professionally.",334,21,30,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAAI6asBj7bk7_dFZi9f_KiLF8r8TMn9KsY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAAI6asBj7bk7_dFZi9f_KiLF8r8TMn9KsY&keywords=manny%20medina&origin=CLUSTER_EXPANSION&position=0&searchId=e77daa49-2e5e-4047-bb55-e4865756eb34&sid=ZU(&sortBy=%22date_posted%22
Manny Medina ,Male,2023-11-27,"By now, most of you have heard the news that Google and Yahoo are implementing new email requirements early next year. Of course, this brings up a lot of concerns and worries - is my organization compliant, will I still be able to send emails, what happens if my emails get blocked, how can I connect with buyers if I can’t email them? I’m here to tell you not to panic. And here’s why. - This is a good thing for our industry! Stale content doesn’t resonate. These changes will lead to more creative and personalized communications. At Outreach, we assist AEs and SDRs with personalizing content through a strong accounts-based view with context on open opportunities, notes, recent meetings, and more.- Outreach started as a sales engagement product. We have nearly ten years of experience helping reps build qualified pipeline that converts to revenue. This is our bread and butter and we know how to get the right message to the right prospect at the right time. We have the expertise to advise our customers and help them navigate any challenges they might face, and to guide them on other prospecting best practices too. Bring on the cold calls and in-person meetings! - It’s not the tool, it’s how you use it. Despite what some in the industry may be saying, there are no tools (AI or otherwise) that will ‘get around’ these send limits - just ones that help with personalization. In an economy where inbound leads are slow, sellers must be extremely targeted on an account level. By marrying intent signals into a singular account view on our platform, sellers are able to select the right targets and save that specific account view to focus on and for cross team collaboration. I take pride in Outreach being a customer-first organization. To our customers around the world, we are here to help you, we’re listening to you, and together we’ll have an amazing 2024. Check the link in the comments to hear more about what this means for you from our President of Product and Technology Abhijit Mitra.",324,38,20,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAAI6asBj7bk7_dFZi9f_KiLF8r8TMn9KsY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAAI6asBj7bk7_dFZi9f_KiLF8r8TMn9KsY&keywords=manny%20medina&origin=CLUSTER_EXPANSION&position=0&searchId=e77daa49-2e5e-4047-bb55-e4865756eb34&sid=ZU(&sortBy=%22date_posted%22
Manny Medina ,Male,2021-04-27,"Sharing some thoughts I have for other founders raising capital right now. It’s a great market to raise right now, but there are three things to avoid when considering a new funding round.",324,37,8,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAAI6asBj7bk7_dFZi9f_KiLF8r8TMn9KsY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAAI6asBj7bk7_dFZi9f_KiLF8r8TMn9KsY&keywords=manny%20medina&origin=CLUSTER_EXPANSION&position=0&searchId=e77daa49-2e5e-4047-bb55-e4865756eb34&sid=ZU(&sortBy=%22date_posted%22
Manny Medina ,Male,2023-04-27,"As CEO of Outreach, I see first-hand how AI unlocks the productivity of our customers' sales teams. But, we haven’t seen a definitive study measuring the impact of AI on sales teams.... until now. The Marshall School of Business, University of Southern California recently published a report called ”When and How Artificial Intelligence Augments Employee Creativity” in which they conducted a field experiment at a telemarketing company, and quantified the impact AI has on their success. To summarize the key findings (full link to full paper in comments):- On average, sales agents with AI assistance were 2.33 times as successful in answering questions they were not previously trained for and thus had to generate answers as their counterparts that did not have AI assistance. - The magnitude of this increase was even more pronounced for top sales agents—2.81 times that of bottom agents. This increased success in answering untrained questions is critical for AI-assisted agents to achieve higher customer purchase rates than those obtained independently.- The report also found that AI saves sales agents time and energy, enabling highly skilled agents to generate new answers to untrained questions and/or improve existing answers to trained questions, thus demonstrating greater creativity at work. Highly skilled agents also reported feeling “elated” because this changed work mode significantly helps and improves their work.- The report also found that this change in work mode results in a better mood, increased morale, and greater passion for highly skilled agents, all of which are conducive to workplace creativity. The implications of this report are significant for the future of sales. AI can be a powerful tool for driving productivity and innovation when implemented thoughtfully and strategically.At Outreach, Live AI is embedded at the core of our Sales Execution Platform, helping salespeople create and close more pipeline - in the moment! How is your team leveraging AI in Sales? Are you seeing the same benefits as the study? #ai #sales",324,32,10,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAAI6asBj7bk7_dFZi9f_KiLF8r8TMn9KsY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAAI6asBj7bk7_dFZi9f_KiLF8r8TMn9KsY&keywords=manny%20medina&origin=CLUSTER_EXPANSION&position=0&searchId=e77daa49-2e5e-4047-bb55-e4865756eb34&sid=ZU(&sortBy=%22date_posted%22
