Author,Gender,Date,Post Text,Likes,Comments,Shares,Page Link
Mark Cuban,Male,2024-02-27,Everyone thought I had shit for brains for investing in @dudewipes  on shark tank....Today I sit on my throne comfortably and celebrate !  Congrats Guys !,9204,403,46,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAylSRIBXNFRGjmGfTQsZZL04N8Sf_IyVao%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAylSRIBXNFRGjmGfTQsZZL04N8Sf_IyVao&keywords=mark%20cuban&origin=CLUSTER_EXPANSION&position=0&searchId=1261426a-0d27-443e-9425-b8c20a83ddf2&sid=M(%40&sortBy=%22date_posted%22
Mark Cuban,Male,2023-04-27,hi my name is Mark !,6410,241,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAylSRIBXNFRGjmGfTQsZZL04N8Sf_IyVao%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAylSRIBXNFRGjmGfTQsZZL04N8Sf_IyVao&keywords=mark%20cuban&origin=CLUSTER_EXPANSION&position=0&searchId=1261426a-0d27-443e-9425-b8c20a83ddf2&sid=M(%40&sortBy=%22date_posted%22
Mark Cuban,Male,2024-02-27,check it out. masterclass.com/markcuban #ad #masterclass,3052,134,83,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAylSRIBXNFRGjmGfTQsZZL04N8Sf_IyVao%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAylSRIBXNFRGjmGfTQsZZL04N8Sf_IyVao&keywords=mark%20cuban&origin=CLUSTER_EXPANSION&position=0&searchId=1261426a-0d27-443e-9425-b8c20a83ddf2&sid=M(%40&sortBy=%22date_posted%22
Mark Cuban,Male,2023-07-27,let's gooooo,2464,118,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAylSRIBXNFRGjmGfTQsZZL04N8Sf_IyVao%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAylSRIBXNFRGjmGfTQsZZL04N8Sf_IyVao&keywords=mark%20cuban&origin=CLUSTER_EXPANSION&position=0&searchId=1261426a-0d27-443e-9425-b8c20a83ddf2&sid=M(%40&sortBy=%22date_posted%22
Mark Cuban,Male,2024-04-20,we are just getting started !,1993,138,49,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAylSRIBXNFRGjmGfTQsZZL04N8Sf_IyVao%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAylSRIBXNFRGjmGfTQsZZL04N8Sf_IyVao&keywords=mark%20cuban&origin=CLUSTER_EXPANSION&position=0&searchId=1261426a-0d27-443e-9425-b8c20a83ddf2&sid=M(%40&sortBy=%22date_posted%22
Mark Cuban,Male,2023-04-27,why wait for politicians to do what cost plus drugs can do today !,1706,74,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAylSRIBXNFRGjmGfTQsZZL04N8Sf_IyVao%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAylSRIBXNFRGjmGfTQsZZL04N8Sf_IyVao&keywords=mark%20cuban&origin=CLUSTER_EXPANSION&position=0&searchId=1261426a-0d27-443e-9425-b8c20a83ddf2&sid=M(%40&sortBy=%22date_posted%22
Mark Cuban,Male,2024-03-27,if you are a self insured employer that works with a big 3 pbms you are contributing to the downfall of independent pharmacies. stop using the big 3 and work with a rebate free pbm. You will get better service at a lower cost and your employees and their families will get better service at their local pharmacy if you have questions post them in the comments,1572,223,111,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAylSRIBXNFRGjmGfTQsZZL04N8Sf_IyVao%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAylSRIBXNFRGjmGfTQsZZL04N8Sf_IyVao&keywords=mark%20cuban&origin=CLUSTER_EXPANSION&position=0&searchId=1261426a-0d27-443e-9425-b8c20a83ddf2&sid=M(%40&sortBy=%22date_posted%22
Mark Cuban,Male,2023-10-27,you asked and we answered !,1387,94,6,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAylSRIBXNFRGjmGfTQsZZL04N8Sf_IyVao%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAylSRIBXNFRGjmGfTQsZZL04N8Sf_IyVao&keywords=mark%20cuban&origin=CLUSTER_EXPANSION&position=0&searchId=1261426a-0d27-443e-9425-b8c20a83ddf2&sid=M(%40&sortBy=%22date_posted%22
Mark Cuban,Male,2023-05-27,,1316,74,60,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAylSRIBXNFRGjmGfTQsZZL04N8Sf_IyVao%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAylSRIBXNFRGjmGfTQsZZL04N8Sf_IyVao&keywords=mark%20cuban&origin=CLUSTER_EXPANSION&position=0&searchId=1261426a-0d27-443e-9425-b8c20a83ddf2&sid=M(%40&sortBy=%22date_posted%22
Mark Cuban,Male,2024-02-27,Take my masterclass and you could be one of the people who wins an opportunity for me to answer your business questions.  Take and finish my class for a chance to win ! #ad #masterclass masterclass.com/markcuban,1254,99,27,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAylSRIBXNFRGjmGfTQsZZL04N8Sf_IyVao%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAylSRIBXNFRGjmGfTQsZZL04N8Sf_IyVao&keywords=mark%20cuban&origin=CLUSTER_EXPANSION&position=0&searchId=1261426a-0d27-443e-9425-b8c20a83ddf2&sid=M(%40&sortBy=%22date_posted%22
Mark Cuban,Male,2024-02-27,"as a CEO it's hard to run your company and pay attention to the details of your health care costs.  unfortunately, employees are starting to sue because the lack of attention flows down to their walletsinstead of just giving it all to HR or asking your CFO to look at it, you are going to have to dig inyou will be shocked at how much money you are wasting.",826,133,61,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAylSRIBXNFRGjmGfTQsZZL04N8Sf_IyVao%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAylSRIBXNFRGjmGfTQsZZL04N8Sf_IyVao&keywords=mark%20cuban&origin=CLUSTER_EXPANSION&position=0&searchId=1261426a-0d27-443e-9425-b8c20a83ddf2&sid=M(%40&sortBy=%22date_posted%22
Mark Cuban,Male,2023-10-27,this is going to be good. Chris is an amazing entrepreneur,693,50,7,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAylSRIBXNFRGjmGfTQsZZL04N8Sf_IyVao%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAylSRIBXNFRGjmGfTQsZZL04N8Sf_IyVao&keywords=mark%20cuban&origin=CLUSTER_EXPANSION&position=0&searchId=1261426a-0d27-443e-9425-b8c20a83ddf2&sid=M(%40&sortBy=%22date_posted%22
Mark Cuban,Male,2023-05-27,,660,30,37,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAylSRIBXNFRGjmGfTQsZZL04N8Sf_IyVao%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAylSRIBXNFRGjmGfTQsZZL04N8Sf_IyVao&keywords=mark%20cuban&origin=CLUSTER_EXPANSION&position=0&searchId=1261426a-0d27-443e-9425-b8c20a83ddf2&sid=M(%40&sortBy=%22date_posted%22
