Author,Gender,Date,Post Text,Likes,Comments,Shares,Page Link
Mary Spio,Female,2024-04-27,,5200,598,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAC1eGUBUO9oxBwMeBm3OzBwIGN6heOs_UQ%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAC1eGUBUO9oxBwMeBm3OzBwIGN6heOs_UQ&keywords=mary%20spio&origin=CLUSTER_EXPANSION&position=0&searchId=dae06653-b5a1-411b-9503-ad2438021d1b&sid=Il2&sortBy=%22date_posted%22
Mary Spio,Female,2024-04-27,,1518,64,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAC1eGUBUO9oxBwMeBm3OzBwIGN6heOs_UQ%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAC1eGUBUO9oxBwMeBm3OzBwIGN6heOs_UQ&keywords=mary%20spio&origin=CLUSTER_EXPANSION&position=0&searchId=dae06653-b5a1-411b-9503-ad2438021d1b&sid=Il2&sortBy=%22date_posted%22
Mary Spio,Female,2023-10-27,"It was my distinct honor to keynote the 2023 Society of Cable Telecommunications Engineers (SCTE) 40th anniversary Expo. The reception was incredible. Thank you to everyone. I look forward to collaborating and innovating to move our connected world forward🙏Meeting so many brilliant people and sharing the stage with industry icons and legends to discuss how to leverage the Metaverse (Web3) is definitely a new career highlight 💪 I shared expertise and insights with the cable telecommunications industry on why the Metaverse (web3) is too huge an opportunity to ignore and how CEEK offers a seamless bridge between the physical and virtual worlds, enabling businesses to unlock new revenue streams and reach global audiences in ways never before possible.CEEK’s robust infrastructure supported by 6 Awarded patents and a growing library of proprietary IPs enable users to easily consume, stream and monetize virtual experiences and goods. Some of the biggest brands in the world, including Berkshire Hathaway’s Richline, Meta, Microsoft and Apple partnered with CEEK; and how through our innovative technology, strategic partnerships and active community of over 7 Million ceekers, CEEK has positioned itself as a leading player in the rapidly growing Web3 metaverse revolution.#SCTE #CableExpo23 #Metaverse #10G #innovation #CEEK",192,21,5,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAC1eGUBUO9oxBwMeBm3OzBwIGN6heOs_UQ%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAC1eGUBUO9oxBwMeBm3OzBwIGN6heOs_UQ&keywords=mary%20spio&origin=CLUSTER_EXPANSION&position=0&searchId=dae06653-b5a1-411b-9503-ad2438021d1b&sid=Il2&sortBy=%22date_posted%22
Mary Spio,Female,2023-12-27,"Many of you have reached out, curious about my transformation, so as we enter a new year and set resolutions, I want to take a moment to reflect on one I made amidst the challenges of the past few years. I hope it inspires and encourages those who may be struggling with the same issues to persevere.As entrepreneurs, business professionals and caring humans, it's easy to find ourselves focused on achieving success, consumed by our responsibilities, commitments and taking care of everyone else, inadvertently forgetting the most important person in the equation – ourselves. We tirelessly pour our energy into our work, families, and communities, neglecting our own mental and physical health in the process.But here's the truth - we cannot give our best when we are running on empty. Just like the pre-flight safety advice, it’s crucial to put our oxygen mask on first, before we can effectively help others and contribute meaningfully to the world.I resolved to prioritize my wellbeing and the results have been incredible. It hasn't been easy; there’s been many setbacks, and the road ahead still carries uncertainties. Too often, we only see the glory without getting the full story - the sacrifices, hard work, tears shed, sweat, heartaches and constant fears of reverting to old habits that occur behind the scenes. That's precisely why I’m sharing both the low points and the highlights with you. If you can relate, it simply means you’re human :DAs we embark on a new year filled with resolutions and goals, whether it’s chasing your dreams, exercising more or anything else that helps you be your highest self; I invite you to join me in creating a community of people who celebrate and encourage personal well-being alongside our professional pursuits. Together, we can break free from the relentless cycle of neglect and build healthier and happier versions of ourselves.I'm certain there’ll be challenges, but I’m filled with hope and excitement for what's to come, knowing that we’re building an amazing community to turn to for inspiration, resources, support, kind words, collective wisdom, and encouragement to fuel the determination needed to keep growing. Let’s embrace the lows and celebrate the highs together.Here's to a year filled with growth, joy, and infinite possibilities. Together, we can make this incredible journey worthwhile 🎉 A heartfelt thank you to all of you for your continued belief, support, and encouragement. It’s been a source of inspiration fueling me on the toughest days. Let's make 2024 a year we're all proud of! #HappyNewYear #2024goals #PromisesKept",126,17,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAC1eGUBUO9oxBwMeBm3OzBwIGN6heOs_UQ%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAC1eGUBUO9oxBwMeBm3OzBwIGN6heOs_UQ&keywords=mary%20spio&origin=CLUSTER_EXPANSION&position=0&searchId=dae06653-b5a1-411b-9503-ad2438021d1b&sid=Il2&sortBy=%22date_posted%22
Mary Spio,Female,2023-05-27,"Excited to welcome Apple #Visionpro to the #Metaverse Looking forward to continuing our work with the leaders #Meta and #Applein making virtual a reality. Together with CEEK’s revolutionary platform, let’s change how we work, learn and play 🚀  @ceekvr #web3 #mixedreality #virtualreality #wwdc23",116,6,3,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAC1eGUBUO9oxBwMeBm3OzBwIGN6heOs_UQ%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAC1eGUBUO9oxBwMeBm3OzBwIGN6heOs_UQ&keywords=mary%20spio&origin=CLUSTER_EXPANSION&position=0&searchId=dae06653-b5a1-411b-9503-ad2438021d1b&sid=Il2&sortBy=%22date_posted%22
Mary Spio,Female,2023-10-27,Thanks #USATODAY for the post on Top Entrepreneurs dominating 2023. Looking forward to the exciting times ahead 🚀,112,25,8,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAC1eGUBUO9oxBwMeBm3OzBwIGN6heOs_UQ%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAC1eGUBUO9oxBwMeBm3OzBwIGN6heOs_UQ&keywords=mary%20spio&origin=CLUSTER_EXPANSION&position=0&searchId=dae06653-b5a1-411b-9503-ad2438021d1b&sid=Il2&sortBy=%22date_posted%22
Mary Spio,Female,2024-02-27,"The atmosphere in the movie theatre was electric as the credits rolled for the #BobMarley #OneLove movie. Applause filled the air, a testament to the captivating and extraordinary story we had just experienced. As the lights slowly came up, some audience members remained in their seats, deep in thought, reflecting on the powerful journey we had witnessed.This cinematic masterpiece truly showcased the profound legacy that #RitaMarley and Bob Marley have created. Their influence and impact on the world are unquestionable, and this film beautifully captured the essence of their remarkable journey.I've had the privilege of working with the Marleys over the years, which made the movie even more meaningful to me. Being able to witness firsthand the dedication and passion that fuels their music and message added an extra layer of appreciation.Here’s a clip from my interview with Stephen Marley, where he reflects on the profound influence his father had on his own musical career. 👉🏽 Checkout full interview here https://lnkd.in/eangWMihThe One Love Bob Marley movie is an absolute must-see.",106,3,7,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAC1eGUBUO9oxBwMeBm3OzBwIGN6heOs_UQ%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAC1eGUBUO9oxBwMeBm3OzBwIGN6heOs_UQ&keywords=mary%20spio&origin=CLUSTER_EXPANSION&position=0&searchId=dae06653-b5a1-411b-9503-ad2438021d1b&sid=Il2&sortBy=%22date_posted%22
Mary Spio,Female,2024-02-27,"Just had the rare opportunity to speak with #NelsonMandela 's granddaughter, Tukwini Mandela, about her grandfather's legacy and an extraordinary NFT project coming to #CEEK #Metaverse featuring original artwork created by Nelson Mandela himself 🤯Collaborating with Emmy-winning director Allen W. is always a blast! #TukwiniMandela #NFT More to come 🚀",100,10,6,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAC1eGUBUO9oxBwMeBm3OzBwIGN6heOs_UQ%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAC1eGUBUO9oxBwMeBm3OzBwIGN6heOs_UQ&keywords=mary%20spio&origin=CLUSTER_EXPANSION&position=0&searchId=dae06653-b5a1-411b-9503-ad2438021d1b&sid=Il2&sortBy=%22date_posted%22
Mary Spio,Female,2023-07-27,#CEEK is excited to be working with the iconic #CeeloGreen and Grammy Winning producer #JackSplash 👉🏽,98,9,6,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAC1eGUBUO9oxBwMeBm3OzBwIGN6heOs_UQ%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAC1eGUBUO9oxBwMeBm3OzBwIGN6heOs_UQ&keywords=mary%20spio&origin=CLUSTER_EXPANSION&position=0&searchId=dae06653-b5a1-411b-9503-ad2438021d1b&sid=Il2&sortBy=%22date_posted%22
Mary Spio,Female,2023-10-27,"Backstage getting ready to deliver the keynote at the Society of Cable and Telecommunications Engineers 40th Anniversary Expo #scte2023 So many brilliant people here🤓 Great meeting the CEOs, CTOs and all the amazing engineers, technicians, operators, mangers etc from #Comcast #Charter #COX #ATT #Rogers and the other world class organizations. You make our world go round. Humbled to be in front of you, representing our industry. 🙏 🙏🙏 Thank you   https://expo.scte.org/",97,10,4,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAC1eGUBUO9oxBwMeBm3OzBwIGN6heOs_UQ%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAC1eGUBUO9oxBwMeBm3OzBwIGN6heOs_UQ&keywords=mary%20spio&origin=CLUSTER_EXPANSION&position=0&searchId=dae06653-b5a1-411b-9503-ad2438021d1b&sid=Il2&sortBy=%22date_posted%22
