Author,Gender,Date,Post Text,Likes,Comments,Shares,Page Link
Maynard Webb,Male,2024-04-27,,4280,112,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAI4Aw4BS3TllsKr6E15v4CDckxNKmfQpTY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAI4Aw4BS3TllsKr6E15v4CDckxNKmfQpTY&keywords=maynard%20webb&origin=CLUSTER_EXPANSION&position=0&searchId=fdd4c72b-bd61-4019-a39f-42877ff2b81a&sid=KrU&sortBy=%22date_posted%22
Maynard Webb,Male,2024-04-27,We were lucky to have Jeff Weiner speak at the Webb Investment Network’s annual summit and our audience was rapt by his #story and #advice. I wrote a series of posts about what he shared and what I learned from Jeff and where we can find #inspiration.,4154,79,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAI4Aw4BS3TllsKr6E15v4CDckxNKmfQpTY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAI4Aw4BS3TllsKr6E15v4CDckxNKmfQpTY&keywords=maynard%20webb&origin=CLUSTER_EXPANSION&position=0&searchId=fdd4c72b-bd61-4019-a39f-42877ff2b81a&sid=KrU&sortBy=%22date_posted%22
Maynard Webb,Male,2024-04-27,We learned so much from Jeff Weiner when he came to speak at the Webb Investment Network’s annual summit. Here's my post about the top 6 things I learned from Jeff.,1068,63,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAI4Aw4BS3TllsKr6E15v4CDckxNKmfQpTY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAI4Aw4BS3TllsKr6E15v4CDckxNKmfQpTY&keywords=maynard%20webb&origin=CLUSTER_EXPANSION&position=0&searchId=fdd4c72b-bd61-4019-a39f-42877ff2b81a&sid=KrU&sortBy=%22date_posted%22
Maynard Webb,Male,2023-04-27,"An executive is stuck in the grind and has seen ""quiet quitting"" as the answer. This week in Dear Founder I caution against the dangers of this decision and trend, and help lay out a better path--one that can lead to greatness.",820,92,34,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAI4Aw4BS3TllsKr6E15v4CDckxNKmfQpTY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAI4Aw4BS3TllsKr6E15v4CDckxNKmfQpTY&keywords=maynard%20webb&origin=CLUSTER_EXPANSION&position=0&searchId=fdd4c72b-bd61-4019-a39f-42877ff2b81a&sid=KrU&sortBy=%22date_posted%22
Maynard Webb,Male,2024-04-27,"My book came out this week, #DearFounder, and the most heartfelt endorsement for the book came from somewhere completely unexpected.",763,40,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAI4Aw4BS3TllsKr6E15v4CDckxNKmfQpTY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAI4Aw4BS3TllsKr6E15v4CDckxNKmfQpTY&keywords=maynard%20webb&origin=CLUSTER_EXPANSION&position=0&searchId=fdd4c72b-bd61-4019-a39f-42877ff2b81a&sid=KrU&sortBy=%22date_posted%22
Maynard Webb,Male,2024-04-27,,631,96,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAI4Aw4BS3TllsKr6E15v4CDckxNKmfQpTY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAI4Aw4BS3TllsKr6E15v4CDckxNKmfQpTY&keywords=maynard%20webb&origin=CLUSTER_EXPANSION&position=0&searchId=fdd4c72b-bd61-4019-a39f-42877ff2b81a&sid=KrU&sortBy=%22date_posted%22
Maynard Webb,Male,2022-04-27,Thrilled to be launching the Dear Founder Newsletter on LinkedIn. Every week I will be answering new questions. Ask me your question in the comments section. #dearfounder #founders #startups #investors #boards #linkedin #wednesdaywisdom #webbwednesday,314,21,5,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAI4Aw4BS3TllsKr6E15v4CDckxNKmfQpTY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAI4Aw4BS3TllsKr6E15v4CDckxNKmfQpTY&keywords=maynard%20webb&origin=CLUSTER_EXPANSION&position=0&searchId=fdd4c72b-bd61-4019-a39f-42877ff2b81a&sid=KrU&sortBy=%22date_posted%22
Maynard Webb,Male,2024-04-27,#AsKMaynard tackles a great question from Laurie Morris about #worklifebalance. I share what I've learned including great advice from Brad Smith. #intuit,251,8,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAI4Aw4BS3TllsKr6E15v4CDckxNKmfQpTY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAI4Aw4BS3TllsKr6E15v4CDckxNKmfQpTY&keywords=maynard%20webb&origin=CLUSTER_EXPANSION&position=0&searchId=fdd4c72b-bd61-4019-a39f-42877ff2b81a&sid=KrU&sortBy=%22date_posted%22
Maynard Webb,Male,2022-04-27,My answer to this week's question on Dear Founder. Ask me your question in the comments. #publicspeaking #careeradvice #careerdevelopment #careerdevelopmentcoaching,251,24,24,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAI4Aw4BS3TllsKr6E15v4CDckxNKmfQpTY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAI4Aw4BS3TllsKr6E15v4CDckxNKmfQpTY&keywords=maynard%20webb&origin=CLUSTER_EXPANSION&position=0&searchId=fdd4c72b-bd61-4019-a39f-42877ff2b81a&sid=KrU&sortBy=%22date_posted%22
Maynard Webb,Male,2023-04-27,"This week a CEO asks me an interesting, and very timely question. Every week I respond to a new question. Ask me your question in the comments section on LinkedIn!",238,12,7,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAI4Aw4BS3TllsKr6E15v4CDckxNKmfQpTY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAI4Aw4BS3TllsKr6E15v4CDckxNKmfQpTY&keywords=maynard%20webb&origin=CLUSTER_EXPANSION&position=0&searchId=fdd4c72b-bd61-4019-a39f-42877ff2b81a&sid=KrU&sortBy=%22date_posted%22
Maynard Webb,Male,2024-04-27,"Even when you have setbacks, you can find enjoyable moments.",219,12,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAI4Aw4BS3TllsKr6E15v4CDckxNKmfQpTY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAI4Aw4BS3TllsKr6E15v4CDckxNKmfQpTY&keywords=maynard%20webb&origin=CLUSTER_EXPANSION&position=0&searchId=fdd4c72b-bd61-4019-a39f-42877ff2b81a&sid=KrU&sortBy=%22date_posted%22
Maynard Webb,Male,2023-04-27,"Scaling is always a hot topic. This week, a founder of a growing organization in Mexico City asks me how to balance promoting from within with bringing on new people with fresh ideas--and how to make sure everyone is going in the same direction.",161,6,8,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAI4Aw4BS3TllsKr6E15v4CDckxNKmfQpTY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAI4Aw4BS3TllsKr6E15v4CDckxNKmfQpTY&keywords=maynard%20webb&origin=CLUSTER_EXPANSION&position=0&searchId=fdd4c72b-bd61-4019-a39f-42877ff2b81a&sid=KrU&sortBy=%22date_posted%22
Maynard Webb,Male,2023-04-27,"In this week's Dear Founder, I tackle one of the most central questions for all of us: How do I pursue what matters?",148,16,21,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAI4Aw4BS3TllsKr6E15v4CDckxNKmfQpTY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAI4Aw4BS3TllsKr6E15v4CDckxNKmfQpTY&keywords=maynard%20webb&origin=CLUSTER_EXPANSION&position=0&searchId=fdd4c72b-bd61-4019-a39f-42877ff2b81a&sid=KrU&sortBy=%22date_posted%22
