Author,Gender,Date,Post Text,Likes,Comments,Shares,Page Link
Melissa Snover,Female,2023-11-27,"Today, I am delighted to announce REM3DY Health Group's partnership with UPSA, a distinguished pharmaceutical enterprise in Europe with a heritage of 85 years of unparalleled expertise in family medication, led by Isabelle Van Rycke.Since we first met in Paris in May 2022, I have been consistently impressed with UPSA’s remarkable agility, meticulous attention to detail and unwavering focus on improving their customers' lives.It has been a privilege to work with Isabelle and her team on this groundbreaking project, and I am honoured to now reveal the launch of our new range of high-impact nutrient ‘stacks’, which are now live and available across France and Italy in pharmacies nationwide.",368,12,23,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAARiO3IBHx5SsO9k14J8Nxd_SccMFE0LAFw%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAARiO3IBHx5SsO9k14J8Nxd_SccMFE0LAFw&keywords=melissa%20snover&origin=CLUSTER_EXPANSION&position=0&searchId=c50fe653-070e-497e-92f1-0d111f07a987&sid=o%3AE&sortBy=%22date_posted%22
Melissa Snover,Female,2023-06-27,"Following the launch of our brand-new Get Nourish3d Collagen+ range earlier this week, we are excited to announce that these premium products are also now available in Selfridges on Oxford Street! Selfridges will be stocking an exclusive and extended range of our Collagen+ products, including, Nourished Collagen+ ‘Sleep’, ‘Energy’ and ‘Age Rewind’.If you’re in London, make sure you pop down to the Feel Good Bar within Selfridges to check out the range and our 3D printer live in action! https://lnkd.in/eXD5P37M",301,37,4,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAARiO3IBHx5SsO9k14J8Nxd_SccMFE0LAFw%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAARiO3IBHx5SsO9k14J8Nxd_SccMFE0LAFw&keywords=melissa%20snover&origin=CLUSTER_EXPANSION&position=0&searchId=c50fe653-070e-497e-92f1-0d111f07a987&sid=o%3AE&sortBy=%22date_posted%22
Melissa Snover,Female,2023-06-27,"Get Nourish3d winning the first-ever Kings Award for Innovation has undoubtedly been one of the key moments in my career.This week I had the honour of attending a special reception at Buckingham Palace, hosted by His Majesty The King, to celebrate with the recipients of this year’s awards. It was humbling to be amongst so many inspirational entrepreneurs who are innovating, exporting and pioneering sustainability in their fields. The UK is an incredible place to start and grow a business, and these awards further reinforce the support and acknowledgement of that.Congratulations to all this year’s winners, and sincere thanks to His Majesty the King for his unwavering support. #KingsAward #Innovation",256,25,1,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAARiO3IBHx5SsO9k14J8Nxd_SccMFE0LAFw%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAARiO3IBHx5SsO9k14J8Nxd_SccMFE0LAFw&keywords=melissa%20snover&origin=CLUSTER_EXPANSION&position=0&searchId=c50fe653-070e-497e-92f1-0d111f07a987&sid=o%3AE&sortBy=%22date_posted%22
Melissa Snover,Female,2023-05-27,I am truly honoured to have been invited by Prime Minister Rishi Sunak to a private garden reception at Downing Street today in celebration of London Tech Week. It was very humbling and inspiring to meet other tech leaders who share a collective passion for pushing the boundaries of innovation to help transform business and society within the UK. Get Nourish3d #business #tech #leaders #innovation #unicornkingdom,181,8,5,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAARiO3IBHx5SsO9k14J8Nxd_SccMFE0LAFw%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAARiO3IBHx5SsO9k14J8Nxd_SccMFE0LAFw&keywords=melissa%20snover&origin=CLUSTER_EXPANSION&position=0&searchId=c50fe653-070e-497e-92f1-0d111f07a987&sid=o%3AE&sortBy=%22date_posted%22
Melissa Snover,Female,2023-12-27,"I am delighted to announce that Get Nourish3d is expanding its product range into a major retailer throughout the UK. Our Nourished Singles are officially available in 92 Co-op Midcounty stores nationwide from today and are a perfect on-the-go wellness treat! Your continued support is invaluable, and we look forward to sharing more exciting projects we are working on with you very soon.",156,8,2,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAARiO3IBHx5SsO9k14J8Nxd_SccMFE0LAFw%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAARiO3IBHx5SsO9k14J8Nxd_SccMFE0LAFw&keywords=melissa%20snover&origin=CLUSTER_EXPANSION&position=0&searchId=c50fe653-070e-497e-92f1-0d111f07a987&sid=o%3AE&sortBy=%22date_posted%22
Melissa Snover,Female,2023-10-27,"I am delighted to announce that Get Nourish3d has been awarded ‘Innovator of the Year’ at the 2023 The Spectator Economic Innovator Awards. Congratulations to all of the other nominees, and I wanted to thank the judges for recognising our dedication and mission for pushing innovation forward in the health and wellness space.",155,19,2,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAARiO3IBHx5SsO9k14J8Nxd_SccMFE0LAFw%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAARiO3IBHx5SsO9k14J8Nxd_SccMFE0LAFw&keywords=melissa%20snover&origin=CLUSTER_EXPANSION&position=0&searchId=c50fe653-070e-497e-92f1-0d111f07a987&sid=o%3AE&sortBy=%22date_posted%22
Melissa Snover,Female,2023-04-27,"I am extremely excited to announce that Get Nourish3d will be officially sponsoring Birmingham Pride (UK) Ltd 2023, in the city we are proud to call home! We even have our own Nourished Bus, and our team will be attending the parade to give out samples to all attendees. We passionately believe in promoting inclusivity and equality in all aspects of life, and we are thrilled to be a part of such a significant event. We can't wait to join in the festivities on Saturday 27th, and meet all of you there! #BirminghamPride2023 #Pride #BirminghamPride",148,10,5,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAARiO3IBHx5SsO9k14J8Nxd_SccMFE0LAFw%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAARiO3IBHx5SsO9k14J8Nxd_SccMFE0LAFw&keywords=melissa%20snover&origin=CLUSTER_EXPANSION&position=0&searchId=c50fe653-070e-497e-92f1-0d111f07a987&sid=o%3AE&sortBy=%22date_posted%22
Melissa Snover,Female,2024-02-27,"I am honoured to be included in the Top 50 Women in Startups and Tech by TechRound, placed at 13th. This recognition is a reflection of the collective work at Get Nourish3d and the unwavering support from our community. Congratulations to the other entrepreneurs and innovators who made the list and thank you to Tech Round for this acknowledgment.",139,15,2,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAARiO3IBHx5SsO9k14J8Nxd_SccMFE0LAFw%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAARiO3IBHx5SsO9k14J8Nxd_SccMFE0LAFw&keywords=melissa%20snover&origin=CLUSTER_EXPANSION&position=0&searchId=c50fe653-070e-497e-92f1-0d111f07a987&sid=o%3AE&sortBy=%22date_posted%22
Melissa Snover,Female,2024-01-27,I’m delighted to see our recent partnership with Elo Health being so well received by consumers in the US and am proud to collaborate with such a pioneering and agile business in the nutrition industry. The talented team at ELO have crafted this beautiful animation which creatively illustrates the vast array of personalisation options available in our stacks.,135,10,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAARiO3IBHx5SsO9k14J8Nxd_SccMFE0LAFw%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAARiO3IBHx5SsO9k14J8Nxd_SccMFE0LAFw&keywords=melissa%20snover&origin=CLUSTER_EXPANSION&position=0&searchId=c50fe653-070e-497e-92f1-0d111f07a987&sid=o%3AE&sortBy=%22date_posted%22
Melissa Snover,Female,2023-07-27,"It’s been quite the journey since the idea of Get Nourish3d came to me 5 years ago. The future of wellness lies in our ability to think beyond the present, and at Nourished, we have continued to innovate and make personalised nutrition accessible to everyone. Here is an overview of our journey since the company was founded in 2019.",133,16,1,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAARiO3IBHx5SsO9k14J8Nxd_SccMFE0LAFw%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAARiO3IBHx5SsO9k14J8Nxd_SccMFE0LAFw&keywords=melissa%20snover&origin=CLUSTER_EXPANSION&position=0&searchId=c50fe653-070e-497e-92f1-0d111f07a987&sid=o%3AE&sortBy=%22date_posted%22
