Author,Gender,Date,Post Text,Likes,Comments,Shares,Page Link
Noella Coursaris Musunka,Female,2023-10-27,"When I founded Malaika, I knew I wanted to do much more than open a school for girls. I wanted to rewrite the narrative for the Congo and for the African continent. I wanted to put the Congo firmly on the global stage, work deeply with communities on the ground, and build sustainable progress that incorporated and built on the experiences and needs of those living there. 16 years on, and I’m so happy to say that when we talk about Malaika we are talking about a crucial country and continent, as well as globally-impacting issues that we should all be paying attention to.",427,27,2,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAEaK88B5IxNJB9ABVkz8teZWmScyIzH188%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAEaK88B5IxNJB9ABVkz8teZWmScyIzH188&keywords=noella%20coursaris%20musunka&origin=CLUSTER_EXPANSION&position=0&searchId=5ae5bf9d-3f8b-4a32-8809-5ea84df692f4&sid=p%2Ct&sortBy=%22date_posted%22
Noella Coursaris Musunka,Female,2024-03-27,"What an incredible honour to have been able to receive this award from the DRC Embassy in London! A particularly meaningful award as it is recognition of all of Malaika's work from my own country. A beautiful event, made by possible by every involved. Thank you from the bottom of my heart - I'm dedicating this award to our Malaika team, supporters all over the world and the amazing community members we serve ✨ #internationalwomensday",354,35,6,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAEaK88B5IxNJB9ABVkz8teZWmScyIzH188%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAEaK88B5IxNJB9ABVkz8teZWmScyIzH188&keywords=noella%20coursaris%20musunka&origin=CLUSTER_EXPANSION&position=0&searchId=5ae5bf9d-3f8b-4a32-8809-5ea84df692f4&sid=p%2Ct&sortBy=%22date_posted%22
Noella Coursaris Musunka,Female,2024-04-06,"History made! DRC's President Felix Tshisekedi names Judith Suminwa Tuluka as the first-ever female Prime minister. Judith Suminwa says she will work for peace and the development of the country. What an inspiration to so many of our students, who dream to lead our country! I wish her a successful road ahead.",225,10,4,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAEaK88B5IxNJB9ABVkz8teZWmScyIzH188%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAEaK88B5IxNJB9ABVkz8teZWmScyIzH188&keywords=noella%20coursaris%20musunka&origin=CLUSTER_EXPANSION&position=0&searchId=5ae5bf9d-3f8b-4a32-8809-5ea84df692f4&sid=p%2Ct&sortBy=%22date_posted%22
Noella Coursaris Musunka,Female,2023-10-27,"Loved attending the book launch of Thicker than Water by the incredible Kerry Washington, at the beautiful May Fair Kitchen. You have such a powerful tale to tell - congratulations on sharing your memoir with the world! Thank you for the kind invitation Edward Enninful!",222,3,1,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAEaK88B5IxNJB9ABVkz8teZWmScyIzH188%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAEaK88B5IxNJB9ABVkz8teZWmScyIzH188&keywords=noella%20coursaris%20musunka&origin=CLUSTER_EXPANSION&position=0&searchId=5ae5bf9d-3f8b-4a32-8809-5ea84df692f4&sid=p%2Ct&sortBy=%22date_posted%22
Noella Coursaris Musunka,Female,2023-10-27,"It was amazing to attend the Theirworld annual dinner event this year and spend time with some incredible global changemakers. It was hosted by the wonderful Sarah Brown and Gordon Brown with incredible speakers like Roger Federer, who it was a real pleasure to meet and hear about the work his foundation is doing to bring education to low-income communities around the world.",207,5,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAEaK88B5IxNJB9ABVkz8teZWmScyIzH188%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAEaK88B5IxNJB9ABVkz8teZWmScyIzH188&keywords=noella%20coursaris%20musunka&origin=CLUSTER_EXPANSION&position=0&searchId=5ae5bf9d-3f8b-4a32-8809-5ea84df692f4&sid=p%2Ct&sortBy=%22date_posted%22
Noella Coursaris Musunka,Female,2024-04-20,"I'm just mere moments away from arriving in the Motherland and spending valuable time with our staff, students and community at Malaika. Excited is an understatement! 🇨🇩",187,16,5,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAEaK88B5IxNJB9ABVkz8teZWmScyIzH188%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAEaK88B5IxNJB9ABVkz8teZWmScyIzH188&keywords=noella%20coursaris%20musunka&origin=CLUSTER_EXPANSION&position=0&searchId=5ae5bf9d-3f8b-4a32-8809-5ea84df692f4&sid=p%2Ct&sortBy=%22date_posted%22
Noella Coursaris Musunka,Female,2024-03-27,Special afternoon at 10 Downing Street celebrating 40 incredible years of London Fashion Week. Thank you British Fashion Council for a beautiful Afternoon Tea✨,187,8,1,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAEaK88B5IxNJB9ABVkz8teZWmScyIzH188%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAEaK88B5IxNJB9ABVkz8teZWmScyIzH188&keywords=noella%20coursaris%20musunka&origin=CLUSTER_EXPANSION&position=0&searchId=5ae5bf9d-3f8b-4a32-8809-5ea84df692f4&sid=p%2Ct&sortBy=%22date_posted%22
Noella Coursaris Musunka,Female,2023-09-27,Great evening Forbes with incredible trailblazers #NewYork,186,Comment,2,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAEaK88B5IxNJB9ABVkz8teZWmScyIzH188%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAEaK88B5IxNJB9ABVkz8teZWmScyIzH188&keywords=noella%20coursaris%20musunka&origin=CLUSTER_EXPANSION&position=0&searchId=5ae5bf9d-3f8b-4a32-8809-5ea84df692f4&sid=p%2Ct&sortBy=%22date_posted%22
Noella Coursaris Musunka,Female,2024-04-06,"It was an absolute honour to be invited to speak on a panel at the DRC Embassy in London! An amazing experience, surrounded by empowering women who each have unique innovative skills!  ✨",151,3,1,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAEaK88B5IxNJB9ABVkz8teZWmScyIzH188%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAEaK88B5IxNJB9ABVkz8teZWmScyIzH188&keywords=noella%20coursaris%20musunka&origin=CLUSTER_EXPANSION&position=0&searchId=5ae5bf9d-3f8b-4a32-8809-5ea84df692f4&sid=p%2Ct&sortBy=%22date_posted%22
Noella Coursaris Musunka,Female,2024-02-27,"January 2024. Pinch me moment… what a special experience!To be able to have a seat at the table of the White House to discuss issues of education and Africa, topics that I am passionate about, is beyond incredible.I am so grateful to have shared this experience with my colleague Alain, who I have been working with for over 15 years!A moment that I will definitely not forget! #whitehouse",148,5,1,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAEaK88B5IxNJB9ABVkz8teZWmScyIzH188%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAEaK88B5IxNJB9ABVkz8teZWmScyIzH188&keywords=noella%20coursaris%20musunka&origin=CLUSTER_EXPANSION&position=0&searchId=5ae5bf9d-3f8b-4a32-8809-5ea84df692f4&sid=p%2Ct&sortBy=%22date_posted%22
