Author,Gender,Date,Post Text,Likes,Comments,Shares,Page Link
Raphael Sofoluke,Male,2023-09-27,"UK Black Business Show  2023 It's a wrap!1 Day6,000+ Attendees150+ Exhibitors70+ SpeakersWhat an amazing UK Black Business Week and finishing it off with our flagship show UK Black Business Show was truly incredible !! We ended it in style, with a highly anticipated Q&A with Steven BartlettThe tables were turned, as i interviewed the best interviewer in the game 😅  He was humble, intelligent, authentic and the whole audience was in awe 👏 Thank you for gracing our stage Steven! Thank you to everyone who contributed to the amazing day, our exclusive headline sponsor HSBC, our other sponsors, exhibitors, attendees, partners and of course the amazing UKBBS Team for working soooo hard!See you next year and we hope you enjoyed!",824,56,13,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABWH_jcB-9HL2gsp72i9HA_Ga51XEfbixbo%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABWH_jcB-9HL2gsp72i9HA_Ga51XEfbixbo&keywords=dr.%20raphael%20sofoluke&origin=CLUSTER_EXPANSION&position=0&searchId=dba72db8-3f6f-4388-abbe-72e43b2c359b&sid=AUI&sortBy=%22date_posted%22
Raphael Sofoluke,Male,2023-11-27,"Introducing…. Dr Raphael Sofoluke   Honoured & Blessed to share this milestone moment! This week, I was awarded an honorary Doctorate of Business Administration from  Arden University This achievement represents not just personal success, but a commitment to empowering and uplifting the Black business community. Grateful for this recognition and excited to continue championing Black entrepreneurs and professionals ! Thank you, for this honour !  #ukbbshow #doctorate #ardenuniversity",823,157,12,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABWH_jcB-9HL2gsp72i9HA_Ga51XEfbixbo%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABWH_jcB-9HL2gsp72i9HA_Ga51XEfbixbo&keywords=dr.%20raphael%20sofoluke&origin=CLUSTER_EXPANSION&position=0&searchId=dba72db8-3f6f-4388-abbe-72e43b2c359b&sid=AUI&sortBy=%22date_posted%22
Raphael Sofoluke,Male,2023-04-27,"Oooh Check me out on a Billboard 😁 I'm excited to be joining a great lineup of speakers at #Founderfest2023 on 20 May to discuss “How to Scale a Community”Founderfest 2023, brings together some of the most inspirational founders, business leaders, investors, and corporations to create a new agenda for growth.Use my special discount code for tickets : RAPHAELGUESTTickets available on https://lnkd.in/eVFV5niJ#founderfestPhoto credit :Barnaby Newton",597,35,8,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABWH_jcB-9HL2gsp72i9HA_Ga51XEfbixbo%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABWH_jcB-9HL2gsp72i9HA_Ga51XEfbixbo&keywords=dr.%20raphael%20sofoluke&origin=CLUSTER_EXPANSION&position=0&searchId=dba72db8-3f6f-4388-abbe-72e43b2c359b&sid=AUI&sortBy=%22date_posted%22
Raphael Sofoluke,Male,2023-09-27,Day 1 - UK Black Business Week  Launch Party Sponsored by Burberry was a success! Thank you all for coming!,520,21,1,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABWH_jcB-9HL2gsp72i9HA_Ga51XEfbixbo%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABWH_jcB-9HL2gsp72i9HA_Ga51XEfbixbo&keywords=dr.%20raphael%20sofoluke&origin=CLUSTER_EXPANSION&position=0&searchId=dba72db8-3f6f-4388-abbe-72e43b2c359b&sid=AUI&sortBy=%22date_posted%22
Raphael Sofoluke,Male,2023-09-27,"Hope you enjoyed UK Black Business Show 2023! Still Buzzing! Such a great day, here'a recap video of the day!💫 6,000+ Attendees💫 150+ Exhibitors💫 70+ SpeakersThank you for coming and see you next year! UK Black Business Show is back on the 19th October 2024Stefan Johnson Temi Ofong Lamar Tyler Mose Adigun Lee Chambers Christina Brooks Jane Musyoki👨‍👩‍👧‍👧 Lorraine Wright MBE Chenelle Ansah Claudine Reid MBE Simon Kenyon Gihan Hyde Karen Wardle Lydia Amoah FRSA Emmanuel Asuquo - TV Financial Adviser Mercedes B. Yeshua Carter Cecil Peters Hannah Prevett Opeyemi Sofoluke Steven Bartlett",427,48,29,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABWH_jcB-9HL2gsp72i9HA_Ga51XEfbixbo%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABWH_jcB-9HL2gsp72i9HA_Ga51XEfbixbo&keywords=dr.%20raphael%20sofoluke&origin=CLUSTER_EXPANSION&position=0&searchId=dba72db8-3f6f-4388-abbe-72e43b2c359b&sid=AUI&sortBy=%22date_posted%22
Raphael Sofoluke,Male,2023-11-27,"We won!! So proud of the UK Black Business Show team for winning the Best DE&I Champion of the year award at the The Lloyds Bank British Business Excellence Awards last nightThe DE&I Champion of the Year Award was awarded to us for our ability to demonstrate the success of DE&I policies and initiatives to improve diversity, equity and inclusion.Thank you for giving us this award! We are honoured!Melina Mavoungou ACCA Abigail Cairns Michael Adeniya Shreeya Rash Margaret Boatemaah <3 My team!",418,59,5,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABWH_jcB-9HL2gsp72i9HA_Ga51XEfbixbo%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABWH_jcB-9HL2gsp72i9HA_Ga51XEfbixbo&keywords=dr.%20raphael%20sofoluke&origin=CLUSTER_EXPANSION&position=0&searchId=dba72db8-3f6f-4388-abbe-72e43b2c359b&sid=AUI&sortBy=%22date_posted%22
Raphael Sofoluke,Male,2024-02-27,"On Monday we launched the first Black Tech Achievement Awards in the US ✨ The Black Tech Achievement Awards has played an instrumental role in celebrating Black technologists in the UK for many years, and it fills us with pride to extend this celebration to the US.The room was filled with incredible tech talent! A night filled with inspiration, role models & entertainment 🖤 Congratulations to all the finalists and winners, you are doing remarkable things in this industry!Special thanks to our Headline Sponsor JPMorgan Chase & Co. , all our  nominees, attendees, judges, award sponsor Axon,  our host Jay-Ann Lopez  and my fantastic team  for their commitment to changing the narrative in this industryMelina Mavoungou ACCA Shreeya Rash Margaret Boatemaah Abigail Cairns Jamal Alleyne Jordan Griffith Indie Love GordonSee you again next year US ❤️  Next stop BTA UK 15th March ✨ #btaawards  #btaawardsus  #Blacktechachievementawards",413,32,2,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABWH_jcB-9HL2gsp72i9HA_Ga51XEfbixbo%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABWH_jcB-9HL2gsp72i9HA_Ga51XEfbixbo&keywords=dr.%20raphael%20sofoluke&origin=CLUSTER_EXPANSION&position=0&searchId=dba72db8-3f6f-4388-abbe-72e43b2c359b&sid=AUI&sortBy=%22date_posted%22
Raphael Sofoluke,Male,2023-06-27,"We collaborated with HSBC Commercial Banking to select 25 Top Black Entrepreneurs to Watch in 2023.We are thrilled to shine a spotlight once again on 25 Black entrepreneurs, marking the third consecutive year of this celebration in collaboration with our esteemed partner, HSBC UK. These entrepreneurs possess remarkable attributes and have demonstrated tremendous resilience in business. Their outstanding achievements deserve recognition, and it is our privilege to celebrate and showcase their accomplishments.Check out the full list on the link below",396,14,13,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABWH_jcB-9HL2gsp72i9HA_Ga51XEfbixbo%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABWH_jcB-9HL2gsp72i9HA_Ga51XEfbixbo&keywords=dr.%20raphael%20sofoluke&origin=CLUSTER_EXPANSION&position=0&searchId=dba72db8-3f6f-4388-abbe-72e43b2c359b&sid=AUI&sortBy=%22date_posted%22
Raphael Sofoluke,Male,2023-05-27,We Won Best Company Initiative 😮 🏆 The last few days have been busy! It still hasn’t sunk in! Picking up the Best Company initiative at the prestigious AEO Association of Event Organisers awards on its 30th year anniversary was extremely special Our category wasn’t easy with some exceptional companies shortlisted alongside us!  Have to shout out my team! I love them! All extremely hard working! Michael Adeniya Margaret Boatemaah Abigail Cairns Shreeya Rash Melina Mavoungou ACCA Also big congrats to my mates at Digital Transformation EXPO Series for their win too!Appreciate everyone who supports us!! Hopefully more to come 🤞🏾 #winners #aeoawards #ukbbshow #ukbbweek #birmbbshow #btaawards,393,47,3,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABWH_jcB-9HL2gsp72i9HA_Ga51XEfbixbo%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABWH_jcB-9HL2gsp72i9HA_Ga51XEfbixbo&keywords=dr.%20raphael%20sofoluke&origin=CLUSTER_EXPANSION&position=0&searchId=dba72db8-3f6f-4388-abbe-72e43b2c359b&sid=AUI&sortBy=%22date_posted%22
Raphael Sofoluke,Male,2023-07-27,"This years UK Black Business Week & UK Black Business Show is gaining momentum - Don't miss out With events delivered by industry leaders, the UK Black Business Week promises to equip Black Professionals, Entrepreneurs & Allies with business insights, new skills and knowledge to navigate the world of work.Grab your tickets on link below or drop me a line if you want your company involved!https://lnkd.in/dt4cndv7https://lnkd.in/e6Ad9_un",285,15,9,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABWH_jcB-9HL2gsp72i9HA_Ga51XEfbixbo%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABWH_jcB-9HL2gsp72i9HA_Ga51XEfbixbo&keywords=dr.%20raphael%20sofoluke&origin=CLUSTER_EXPANSION&position=0&searchId=dba72db8-3f6f-4388-abbe-72e43b2c359b&sid=AUI&sortBy=%22date_posted%22
