Author,Gender,Date,Post Text,Likes,Comments,Shares,Page Link
Ravi Kikan,Male,2024-03-27,"I just deleted the Ola app and would strongly suggest you do too.Here is why.I think the fat paychecks and valuation has gone into the heads of people and they least care about others.Others include all you and me.Imagine if this was you,Imagine if your kid was there with family,Imagine the worse.How can a driver slap the passenger and try to loot a customer in broad daylight ?No one can take us for granted and it is highly disgusting that neither Ola nor the police took any action.Untrained driversZero empathyNo Action helplineForget customer service No police supportHow can you build a safe line for passengers, I wonder what about women passengers, senior citizens etc ?Same question again rattling in my brains..What if this was your family and you were slapped inform of your family and looted if they were no help ?Where is law and order ?So much Action required here.So damn much.and this Action is required on a national level without a hitch.Absolutely disgusting.Strict action required.Narendra Modi Uttar Pradesh Tourism Haryana Police Nitin Gadkari Hindustan Times Times Now",672,69,37,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAC_QYoBIfb8UL2HbgiRbzHhMFNjtu34ojo%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAC_QYoBIfb8UL2HbgiRbzHhMFNjtu34ojo&keywords=ravi%20kikan&origin=CLUSTER_EXPANSION&position=0&searchId=8803ca92-00a2-41b3-bb5b-45a746d382d7&sid=pJ.&sortBy=%22date_posted%22
Ravi Kikan,Male,2024-02-27,"I failed to control my joy, excitement and tears seeing this.Beyond politics, media, regional demarcation, caste, creed, religion is a playground for national belief.That is where we all belong.This video is all about that - to go beyond, religion, caste, creed, sex, orientation, regional demarcation and award the highest honours to the ones who not only deserve but their unheard voice is heard - loud and clear from the small little streets and hum drums of the real ethos of India.This is not just a win from the winners but win for India to award and recognise the institution called talent and contribution in various cultural formats.The honourable PM Narendra Modi ji and the entire stakeholders for such kind of build up needs to be given a bow of respect.India as we know is changing and for good.Take a bow our beloved country - Bharat.#JaiHind",649,18,26,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAC_QYoBIfb8UL2HbgiRbzHhMFNjtu34ojo%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAC_QYoBIfb8UL2HbgiRbzHhMFNjtu34ojo&keywords=ravi%20kikan&origin=CLUSTER_EXPANSION&position=0&searchId=8803ca92-00a2-41b3-bb5b-45a746d382d7&sid=pJ.&sortBy=%22date_posted%22
Ravi Kikan,Male,2024-02-27,"You might call him anything but our respected prime minister has gone through the ranks.Modi ji is far more sophisticated than we think he is, immaculate perspective, an overall functional leader if you may dig deep like --   Great marketing and PR skills to showcase whatever is being done, -   Extremely high stake leadership to take super crucial decisions, -   Great operational prowess to get things done and -   Great team leader to hire the right folks to get the work done.CEO of our nation has a 200% NPSAnd I as an indvidual Indian have a 10/10 CSAT of living in India.Best country to liveBest times to live.#JaiHind #leadership #growthmindset #servantleadership",163,8,12,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAC_QYoBIfb8UL2HbgiRbzHhMFNjtu34ojo%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAC_QYoBIfb8UL2HbgiRbzHhMFNjtu34ojo&keywords=ravi%20kikan&origin=CLUSTER_EXPANSION&position=0&searchId=8803ca92-00a2-41b3-bb5b-45a746d382d7&sid=pJ.&sortBy=%22date_posted%22
Ravi Kikan,Male,2024-03-27,"State of #Mentalhealth is up close and personal.This is as real as it gets.It is in fact no more about IIT, IIM or an ivy league it is purely about the state of mind.To be honest not everyone is alike e.g. for some if it is work pressure however for some it is infact hustle BUT the caveat is to understand and ensure a great mental health for the folks across is the right balance.We will keep harping on the fact and spend millions of dollars in building culture but the fact remains if we don't invest into building superlative mental health for the employees and the employers things might go south.This isnworse than a pandemic.Makes me sad at the state of affairs when we are focussed on just performance without looking at how people are taking that journey.Mentally fit workforce is a billion times more productive, agile and innovative to hustle at a fantastic pace if really the right amount of care is given towards mental health.Our vision at UWC remains to put the most effective deep tech towards preventive healthcare including mental health and wellness and close the loop by extending the human touch with the best of clinicians, therapists , coaches etc network.I wish and pray that things like these can be minimized with the leaders putting their minds and money into building a great mental health for the organization at large.Godspeed.United We Care Ritu Mehrotra Sourav Banerjee Shumita Kakkar sheetal sharma Leann Sims Dan Gardner #mentalhealthmatters #humanresources #leadership #culture",154,38,8,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAC_QYoBIfb8UL2HbgiRbzHhMFNjtu34ojo%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAC_QYoBIfb8UL2HbgiRbzHhMFNjtu34ojo&keywords=ravi%20kikan&origin=CLUSTER_EXPANSION&position=0&searchId=8803ca92-00a2-41b3-bb5b-45a746d382d7&sid=pJ.&sortBy=%22date_posted%22
Ravi Kikan,Male,2024-01-27,"Requesting folks in my network in Bengaluru and South to share this with their networks and if there is anyone who has a lead or something should reach out or share.Spreading the word in my networks so that the young boy is back home, fast.Thanks Sridhar Pabbisetty for sharing this.UPDATE - Seems like the boy has been found in HYD,  thank you everyone who took out time from their precious schedule and shared the post or ensured it reached out to the right folks down south.The power of the network cannot go wrong if everyone decides to help. What a great network effect, thank you all, closing comments on this post.#missingperson #bengaluru",123,26,43,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAC_QYoBIfb8UL2HbgiRbzHhMFNjtu34ojo%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAC_QYoBIfb8UL2HbgiRbzHhMFNjtu34ojo&keywords=ravi%20kikan&origin=CLUSTER_EXPANSION&position=0&searchId=8803ca92-00a2-41b3-bb5b-45a746d382d7&sid=pJ.&sortBy=%22date_posted%22
Ravi Kikan,Male,2024-04-13,"I can bet they would win an Olympic gold.The regular floor exercises of jumping jack and turning here and there does show flexibility but this is next level stuff from Indian girls.I can clearly and proudly vouch that on the gymnastic free floor exercise there is no one who can beat these routines at all with precision and imagine these are very young girls who are doing this.The technicality, flexibility, routine, dance and yoga postures are mind boggling.Who says India cannot win golds by a bucket, yes there has to be a central leadership which pushes such talent and builds that interface to showcase talent.I am sure Narendra Modi ji will oversee that the next 5 years also belongs to sports representation from India on a global scale.All we need is someone lobbying for India and pushing talent internally and grooming them for a global level.Right from the sports at the village , town level to the district to the state level....there needs a rehaul of the ports machinery and the changes will show for the right talent.Kids at a very early stage should be taught that there much beyond life at just work, business or startups HOWEVER a life can be made in sports arena too.This belief needs to be percolated .....down , deep and in a decisive manner.Help is changing , so should we all with the right frame and for the right able , stable and decisive future.Jai hind.",97,7,3,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAC_QYoBIfb8UL2HbgiRbzHhMFNjtu34ojo%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAC_QYoBIfb8UL2HbgiRbzHhMFNjtu34ojo&keywords=ravi%20kikan&origin=CLUSTER_EXPANSION&position=0&searchId=8803ca92-00a2-41b3-bb5b-45a746d382d7&sid=pJ.&sortBy=%22date_posted%22
Ravi Kikan,Male,2024-04-06,Take a bow all my connects in Indore and all those who have been Indorians.Massive bow guys.Take a clue everyone in the metrosGodspeed.#culture #bharat,74,3,2,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAC_QYoBIfb8UL2HbgiRbzHhMFNjtu34ojo%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAC_QYoBIfb8UL2HbgiRbzHhMFNjtu34ojo&keywords=ravi%20kikan&origin=CLUSTER_EXPANSION&position=0&searchId=8803ca92-00a2-41b3-bb5b-45a746d382d7&sid=pJ.&sortBy=%22date_posted%22
Ravi Kikan,Male,2024-02-27,"Sometimes you have to be ordinary to be extraordinary. Our respected PM Narendra Modi ji shows the way by not only believing in the religious and historical flavors of our beloved country but by doing the extra mile.He can just put his comments for the heritage but instead he visits and builds that momentum of belief and devotion.You might call it extraordinary PR or marketing gimmic but I call this a awesome leadership trait to build the momentum to believe in what our lineage is and what our history has bestowed on us.Modi ji as a PM always is both for the class and mass. His extra ordinary effort of getting things done from the front is extra ordinary.The best part he takes time for these endeavors. If you see this , it is beyond politics, religion, caste, creed or any other such comparisons.Sir you take a bow#JaiHind",67,5,1,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAC_QYoBIfb8UL2HbgiRbzHhMFNjtu34ojo%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAC_QYoBIfb8UL2HbgiRbzHhMFNjtu34ojo&keywords=ravi%20kikan&origin=CLUSTER_EXPANSION&position=0&searchId=8803ca92-00a2-41b3-bb5b-45a746d382d7&sid=pJ.&sortBy=%22date_posted%22
Ravi Kikan,Male,2024-03-27,"Well it is always a good thing to follow smart and famous people.However there is a small little caveat.Not all smart and famous people are the ones who can really inspire you, good packaged visual content with a realistic story telling might pitch hard but then somewhere somehow things will start to leak.Be realistic, be grounded in hearing, influencing and following people.Completely your call but do it wisely.Thanks SAURABH SINGH for sharing, Ramesh Kumar - here we go.",58,34,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAC_QYoBIfb8UL2HbgiRbzHhMFNjtu34ojo%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAC_QYoBIfb8UL2HbgiRbzHhMFNjtu34ojo&keywords=ravi%20kikan&origin=CLUSTER_EXPANSION&position=0&searchId=8803ca92-00a2-41b3-bb5b-45a746d382d7&sid=pJ.&sortBy=%22date_posted%22
Ravi Kikan,Male,2024-04-24,"This is the state of Ivy Leagues.I think Dronacharya  college of engineering and DY Patil universities are better.Why ?I don't see any religion, caste, creed based protests happening at these college level institutions.Yes JNU is one of places where such things happened in the past.What is being taught at the campus?I don't like you and to hell with you.Religion, politics, racism ....who is teaching this to students ?Why is this being allowed ?Yes brave girl indeed but why allow such protests.I am not saying whether a Jew or a Palestinian should be favored....but why allow such things on the campus first place...Why allow chanting anti jew slogans ?Why allow someone to answer them ?Seriously , the dean of the campus and the administration should not allow protests in the first place....A campus is a place to study and groom to be a better indvidual and not the other way round.Well remember this is Yale.#Tuesdayvibes",55,13,2,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAC_QYoBIfb8UL2HbgiRbzHhMFNjtu34ojo%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAC_QYoBIfb8UL2HbgiRbzHhMFNjtu34ojo&keywords=ravi%20kikan&origin=CLUSTER_EXPANSION&position=0&searchId=8803ca92-00a2-41b3-bb5b-45a746d382d7&sid=pJ.&sortBy=%22date_posted%22
