Author,Gender,Date,Post Text,Likes,Comments,Shares,Page Link
Richard Branson,Male,2024-04-06,"I stumbled across this school reports from the Easter break, 65 years ago. It felt very fitting to hear that I was “very backward” in spelling and reading – as I get set to launch my audiobook next week! In case you can’t read the handwriting, here are a few highlights: Classics: “Very keen, but handicapped by a bad memory. Some progress.” Mathematics: “The first half of the term saw a great improvement in his work, but once he began to get onto really new processes his keenness declined, and his standard dropped.” French: “A slight improvement this term but his work is still below standard.” English: “He is still very backward in this subject, especially in spelling and reading - constant practice in the latter is necessary.” Drawing: “If he took a little care he could be good.” Going through school with undiagnosed dyslexia wasn’t at all fun, but I’m glad I didn’t let it squash my big ideas. I hope this inspires anyone out there who might be struggling at school right now. Just remember there’s a whole lot more to life out there, and one day you’ll be able to look back on these reports and smile.



…see more",39626,"2,038","1,718",https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAwp1RMBxG26M3Qkhm4klqLNr1bIplo6GhY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAwp1RMBxG26M3Qkhm4klqLNr1bIplo6GhY&keywords=richard%20branson&origin=CLUSTER_EXPANSION&position=0&searchId=132252d3-108b-453e-8f05-839cba116952&sid=c-t&sortBy=%22date_posted%22
Richard Branson,Male,2023-12-27,"Not my first rodeo… at the end of a press conference we held aboard the ship in Sydney, a group of brilliant dancers got up around the pool and started dancing to the dreamy version of Karma Chameleon that Virgin Voyages reimagined. Nirmal and I got up to dance, and I just couldn’t help pushing him in the pool (again!) before jumping in myself. After all, you miss 100% of the chances you don’t take in life… https://virg.in/iNyX



…see more",28478,"1,025",428,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAwp1RMBxG26M3Qkhm4klqLNr1bIplo6GhY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAwp1RMBxG26M3Qkhm4klqLNr1bIplo6GhY&keywords=richard%20branson&origin=CLUSTER_EXPANSION&position=0&searchId=132252d3-108b-453e-8f05-839cba116952&sid=c-t&sortBy=%22date_posted%22
Richard Branson,Male,2024-02-27,Surprising the grandkids on their way home from school! So special. Holly Branson Sam Branson,23010,683,127,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAwp1RMBxG26M3Qkhm4klqLNr1bIplo6GhY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAwp1RMBxG26M3Qkhm4klqLNr1bIplo6GhY&keywords=richard%20branson&origin=CLUSTER_EXPANSION&position=0&searchId=132252d3-108b-453e-8f05-839cba116952&sid=c-t&sortBy=%22date_posted%22
Richard Branson,Male,2023-12-27,"The only way to make resolutions stick is to keep repeating the habits until they become your lifestyle. I’ve been looking back at mine over the past few years and they’ve been largely the same: exercise more & focus on my health. Rinse and repeat. If you look after yourself, you’ll have the motivation to get up and go in other parts of your life.



…see more",21740,825,540,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAwp1RMBxG26M3Qkhm4klqLNr1bIplo6GhY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAwp1RMBxG26M3Qkhm4klqLNr1bIplo6GhY&keywords=richard%20branson&origin=CLUSTER_EXPANSION&position=0&searchId=132252d3-108b-453e-8f05-839cba116952&sid=c-t&sortBy=%22date_posted%22
Richard Branson,Male,2023-09-27,"A welcome drink with Virgin Voyages new CEO, Nirmal Saverimuttu!",20811,957,309,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAwp1RMBxG26M3Qkhm4klqLNr1bIplo6GhY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAwp1RMBxG26M3Qkhm4klqLNr1bIplo6GhY&keywords=richard%20branson&origin=CLUSTER_EXPANSION&position=0&searchId=132252d3-108b-453e-8f05-839cba116952&sid=c-t&sortBy=%22date_posted%22
Richard Branson,Male,2023-12-27,I always love the feeling that the start of the year brings. It’s a wonderful time to hit reset and set some goals.,19833,699,124,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAwp1RMBxG26M3Qkhm4klqLNr1bIplo6GhY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAwp1RMBxG26M3Qkhm4klqLNr1bIplo6GhY&keywords=richard%20branson&origin=CLUSTER_EXPANSION&position=0&searchId=132252d3-108b-453e-8f05-839cba116952&sid=c-t&sortBy=%22date_posted%22
Richard Branson,Male,2023-08-27,"In Morocco, meeting the incredible Berber communities in the High Atlas Mountains and delivering supplies directly to people in need. It's been awe-inspiring to see the bravery of people who have been through unthinkable horror. The teams are working incredibly hard to help the communities affected by the earthquake: https://virg.in/wASqThe Eve Branson Foundation Virgin Unite Virgin Limited Edition 



…see more",17580,764,734,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAwp1RMBxG26M3Qkhm4klqLNr1bIplo6GhY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAwp1RMBxG26M3Qkhm4klqLNr1bIplo6GhY&keywords=richard%20branson&origin=CLUSTER_EXPANSION&position=0&searchId=132252d3-108b-453e-8f05-839cba116952&sid=c-t&sortBy=%22date_posted%22
Richard Branson,Male,2023-08-27,"I started my very first business with £300 my mum gave me after selling a necklace when I was a teenager, and this £300 sparked the whole Virgin story. Throughout my career I began to wonder why budding entrepreneurs couldn’t get a similar leg-up from loan providers? I asked myself: ‘What if entrepreneurs could easily get a small loan to turn their idea into reality? What would that mean for them, and what would it mean for the economy and wider society?' I knew that Virgin was in a position to help too, and so the follow up question was, ‘how?’. Virgin StartUp became the answer to the question, and 10 years later our not-for-profit #entrepreneurship incubator has given out over 5,000 loans and distributed over £70 million in funding. Here’s the full story:  https://virg.in/woyM#WorldEntrepreneurshipDay #WhatIfAndy Fishburn



…see more",16037,727,345,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAwp1RMBxG26M3Qkhm4klqLNr1bIplo6GhY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAwp1RMBxG26M3Qkhm4klqLNr1bIplo6GhY&keywords=richard%20branson&origin=CLUSTER_EXPANSION&position=0&searchId=132252d3-108b-453e-8f05-839cba116952&sid=c-t&sortBy=%22date_posted%22
Richard Branson,Male,2023-10-27,"I never went to university, but I consider life to be one long educational experience.",12704,518,272,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAwp1RMBxG26M3Qkhm4klqLNr1bIplo6GhY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAwp1RMBxG26M3Qkhm4klqLNr1bIplo6GhY&keywords=richard%20branson&origin=CLUSTER_EXPANSION&position=0&searchId=132252d3-108b-453e-8f05-839cba116952&sid=c-t&sortBy=%22date_posted%22
Richard Branson,Male,2023-11-27,"The world will always assume something can't be done - until it’s done. Virgin Atlantic's long haul Flight100 using 100% sustainable fuel now proves it can be done. If you make it, Virgin Atlantic will fly it. https://virg.in/iSsd 



…see more",12470,476,282,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAwp1RMBxG26M3Qkhm4klqLNr1bIplo6GhY%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAwp1RMBxG26M3Qkhm4klqLNr1bIplo6GhY&keywords=richard%20branson&origin=CLUSTER_EXPANSION&position=0&searchId=132252d3-108b-453e-8f05-839cba116952&sid=c-t&sortBy=%22date_posted%22
