Author,Gender,Date,Post Text,Likes,Comments,Shares,Page Link
Roxanne Bras Petraeus,Female,2023-10-27,"Someone recently asked me if ""Happy Veterans Day"" is the right term. I am obviously not the judge here, but I see why people ask – there's something odd about putting ""happy"" next to military service. I had a phenomenal experience serving in the U.S. Army – I was able to pay for college, I went through incredible training, I learned leadership from the best, I worked with dedicated, loyal, and diverse service members, and I also happened to meet my husband, who I happen to like quite a lot.But military service is also connected to global conflict, to physical and emotional trauma for those who serve and also, the countries where conflicts rage.I'm going to punt the question of what's the right saying because I don't know and I think it misses the larger opportunity, which is to get to know someone who served and learn more about their experience.If you're looking for ways to open a conversation, here are a few:1. What brought you to military service?2. I'd love to learn about the people you served with – what were they like?3. What kind of job did you do in uniform?Nothing revolutionary, just an opportunity to have a conversation and learn more about this part of someone's experience.#veterans #veteransday",654,53,18,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABtGWkEBl1VzMq5jspDI1rTUjFEYKyYry58%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABtGWkEBl1VzMq5jspDI1rTUjFEYKyYry58&keywords=roxanne%20bras%20petraeus&origin=CLUSTER_EXPANSION&position=0&searchId=cb1ce05d-7067-4f4a-a12f-efc7f1b03930&sid=MxB&sortBy=%22date_posted%22
Roxanne Bras Petraeus,Female,2022-04-27,"I left the military in 2016, excited to do something entrepreneurial. But leaving the military meant starting over professionally. My college classmates were already well established in their careers; I was starting from scratch.Today, I am the CEO of Ethena, a venture-backed startup reinventing compliance training. My military experience actually inspired me to start Ethena and helps me lead my rapidly growing team today.In my #BusinessReimagined article, I share how I made a big career change and the leadership lessons that helped me lead – both in uniform and as the CEO of a fast-growing company. What are the best leadership lessons you’ve learned? Have they helped you make big career changes?",600,214,25,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABtGWkEBl1VzMq5jspDI1rTUjFEYKyYry58%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABtGWkEBl1VzMq5jspDI1rTUjFEYKyYry58&keywords=roxanne%20bras%20petraeus&origin=CLUSTER_EXPANSION&position=0&searchId=cb1ce05d-7067-4f4a-a12f-efc7f1b03930&sid=MxB&sortBy=%22date_posted%22
Roxanne Bras Petraeus,Female,2024-02-27,"Our little guy is here! We are very into his chubby cheeks and personality, which largely consists of eating and sleeping. I’m on maternity leave from Ethena so please excuse my delays. Know that I very much look forward to actual adult conversations when I get back 😂",546,85,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABtGWkEBl1VzMq5jspDI1rTUjFEYKyYry58%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABtGWkEBl1VzMq5jspDI1rTUjFEYKyYry58&keywords=roxanne%20bras%20petraeus&origin=CLUSTER_EXPANSION&position=0&searchId=cb1ce05d-7067-4f4a-a12f-efc7f1b03930&sid=MxB&sortBy=%22date_posted%22
Roxanne Bras Petraeus,Female,2024-01-27,"When I first got pregnant, I was worried about two things. The first happened – I met the motherhood penalty. It happened in ways both subtle and comically obvious, like when a prominent venture capitalist asked me, apropos of nothing, if I was planning on getting pregnant. But in addition to worrying about how I'd be perceived, I also worried, more privately, about whether this penalty was rooted in some reality. Would I become less driven, less focused, less ambitious, less ""me.""My son is now a few years old, and I'm super pregnant with my second. My company, Ethena, just had its strongest quarter ever. We've recruited more incredible team members and brought on our largest customers yet.And I'm still waddling into the gym at 6AM because it turns out that motherhood didn't fundamentally change who I am.So anyway, I don't know who needs to hear this (except that venture capitalist –he definitely needs the memo), but counting mothers out of the game is dumb.",527,66,13,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABtGWkEBl1VzMq5jspDI1rTUjFEYKyYry58%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABtGWkEBl1VzMq5jspDI1rTUjFEYKyYry58&keywords=roxanne%20bras%20petraeus&origin=CLUSTER_EXPANSION&position=0&searchId=cb1ce05d-7067-4f4a-a12f-efc7f1b03930&sid=MxB&sortBy=%22date_posted%22
Roxanne Bras Petraeus,Female,2023-05-27,"📣 Big news: I was on the news! I sat down with Bloomberg News to talk tech trends, the jobs report, and yes, AI!I shared how the best tech companies are using tools like Ethena to automate their paperwork so they can focus on actual ""people work"" that's so, so important.I *love* sharing what I'm learning from our incredible customers about how to build strong cultures that retain the best talent.Learn more about how great companies leverage Ethena by chatting with us! (link 👇)#tech #peopleandculture #work #startups",297,19,14,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABtGWkEBl1VzMq5jspDI1rTUjFEYKyYry58%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABtGWkEBl1VzMq5jspDI1rTUjFEYKyYry58&keywords=roxanne%20bras%20petraeus&origin=CLUSTER_EXPANSION&position=0&searchId=cb1ce05d-7067-4f4a-a12f-efc7f1b03930&sid=MxB&sortBy=%22date_posted%22
Roxanne Bras Petraeus,Female,2024-01-27,"A CEO is generating heat right now for a parental leave fail. I so strongly believe that you don't always have to have a take. It's okay to sit a scandal out. But I *do* have a take because I'm also a mom, a CEO, I'm heading out on mat leave any day now, and I have a lot of team members taking/returning from parental leave. So here are my thoughts with fair warning that this isn't just a ""look how awful this company is"" screed:1. I don't think the focus on the individual CEO is helpful. This is a broader issue about parental leave in America. And man, do we love to take down a women CEO because any shortcomings she has toward women or parents look especially hypocritical.Have you ever used the phrase ""working father?"" No, you say he's a lawyer or a CEO or a pilot and then of course he's got kids. But women CEOs are called ""working moms"" and get all the baggage that comes with having to represent both women and parents in the workplace.2. Parents go through so much and I wish there was more flexibility for all of the heart wrenching situations parents find themselves in, whether it's caring for a sick baby, enduring the devastation of a miscarriage, or going through a fertility journey.It's all so darn hard and while nothing makes it easy, more flexibility and higher salaries help.3. But as a country, we're relying on businesses to provide those resources and (here's the part where I sound like a heartless capitalist) businesses are incentivized to make profits. If we don't have government systems to support parents, we're asking every business to make individual decisions (within the very limited legal protections parents do have) that have really hard tradeoffs.So where I'm at is, yeah, this whole system is pretty nutty. I wish it were better and I wish I knew how to make a bigger difference. But I don't think piling on to an individual's mistake gets us there.",244,24,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABtGWkEBl1VzMq5jspDI1rTUjFEYKyYry58%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABtGWkEBl1VzMq5jspDI1rTUjFEYKyYry58&keywords=roxanne%20bras%20petraeus&origin=CLUSTER_EXPANSION&position=0&searchId=cb1ce05d-7067-4f4a-a12f-efc7f1b03930&sid=MxB&sortBy=%22date_posted%22
Roxanne Bras Petraeus,Female,2024-01-27,"This morning, my Crossfit coach asked, ""So what do you want me to do if your water breaks in class?"" which tells me I quite close to my maternity leave. So this is my last newsletter for a while!In it, I share a typical day in my life as CEO of Ethena because I've heard (and personally felt) that the role of CEO/founder can be mysterious. I love being an entrepreneur so I want to share what it's really like in the hopes of making it feel a bit more accessible.Sadly, there is not cake on my desk every day but there really should be.",196,22,1,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABtGWkEBl1VzMq5jspDI1rTUjFEYKyYry58%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABtGWkEBl1VzMq5jspDI1rTUjFEYKyYry58&keywords=roxanne%20bras%20petraeus&origin=CLUSTER_EXPANSION&position=0&searchId=cb1ce05d-7067-4f4a-a12f-efc7f1b03930&sid=MxB&sortBy=%22date_posted%22
Roxanne Bras Petraeus,Female,2023-07-27,"You might be at a great company but if you have a meh manager, you're really at a meh company. Managers have a massive impact on the productivity and retention of their teams. We know this; studies show this; and yet, it's super easy to forget to train managers on how to be great at the craft.This is particular true in tech where most managers are new managers. New managers aren't bad, but they don't know what they don't know.They may default to things that feel perfect reasonable, like telling an employee who is struggling with a personal issue to, ""Take all the time you need."" 🚩But when managers aren't aware of the basic hygiene of being a manger, problems pop up and People/Legal teams are left doing damage control.Being proactive is better than being reactive. So I'm proud of the newest Ethena course, which stars our very own People leader Melanie Naranjo, to help companies be proactive.It includes topics like Performance Management, Performance Reviews, Reasonable Accommodation & Disabilities, Terminations, Leaves of Absence, and California-specific topics. It's the ""managers really should know this"" course. And companies can add their own policies so the training is specific. Check out a sample of this course and let me know what you think!And question – what other topics should we add to the library? We continue making microlearnings for all of our courses so they say relevant. What do you wish your manager (or you as a manager) had a little refresher on?",190,13,1,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABtGWkEBl1VzMq5jspDI1rTUjFEYKyYry58%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABtGWkEBl1VzMq5jspDI1rTUjFEYKyYry58&keywords=roxanne%20bras%20petraeus&origin=CLUSTER_EXPANSION&position=0&searchId=cb1ce05d-7067-4f4a-a12f-efc7f1b03930&sid=MxB&sortBy=%22date_posted%22
Roxanne Bras Petraeus,Female,2023-07-27,"I find most Return to Office takes, well, dumb. They feel like variations on, ""[Insert my preference for working] is the only way to work. We should all do that.""This lacks the flexibility to cover various life stages, preferences, and candidly, even gendered components of work.A few weeks back, I saw a wild chart that showed that the only heterosexual couples where men do the majority of the ""housework"" are couples where women are the SOLE (not just primary) earners. Side note – this is in no way a passive aggressive move against my husband, who is a flawless co-parent 😂Yesterday, the benefits of Ethena's flexible work-where-you-work arrangement were in my face, as I picked my kid up from day care and chased him around the track, happy I was getting fresh air and he was more likely to go to sleep on time. I logged back in after his bedtime, but it was a delight to see the sun and my son.In my 20s, I had some of the least flexible jobs – I deployed to a war zone, trained militaries in foreign countries, and then, as a consultant, spent most weeks in hotels. Now, as a mom, getting from Brooklyn to Manhattan feels like a journey! I'm a flexibility fan now. That's my camp.",190,17,2,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABtGWkEBl1VzMq5jspDI1rTUjFEYKyYry58%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABtGWkEBl1VzMq5jspDI1rTUjFEYKyYry58&keywords=roxanne%20bras%20petraeus&origin=CLUSTER_EXPANSION&position=0&searchId=cb1ce05d-7067-4f4a-a12f-efc7f1b03930&sid=MxB&sortBy=%22date_posted%22
Roxanne Bras Petraeus,Female,2024-01-27,"We're thrilled to welcome Chris Vandermarel to the Ethena team as our VP of Marketing!! On behalf of Anne Solmssen (who managed to dodge this picture), Melanie Naranjo and the rest of the Ethena team, welcome Chris!! And yes, I'm still pregnant and yes, I'm excited to be almost done with this marathon 😅",171,10,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABtGWkEBl1VzMq5jspDI1rTUjFEYKyYry58%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABtGWkEBl1VzMq5jspDI1rTUjFEYKyYry58&keywords=roxanne%20bras%20petraeus&origin=CLUSTER_EXPANSION&position=0&searchId=cb1ce05d-7067-4f4a-a12f-efc7f1b03930&sid=MxB&sortBy=%22date_posted%22
