Author,Gender,Date,Post Text,Likes,Comments,Shares,Page Link
Russell Brunson,Male,2023-07-27,"Change your environment, change your life.",722,39,3,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAACiA3QBETy4jzuf75LR4Fwzo1Rn39CekCE%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAACiA3QBETy4jzuf75LR4Fwzo1Rn39CekCE&keywords=russell%20brunson&origin=CLUSTER_EXPANSION&position=0&searchId=640633c9-9d32-4ccc-862d-50388095940e&sid=u.P&sortBy=%22date_posted%22
Russell Brunson,Male,2023-07-27,God will lead us as we start moving in the right direction and as we start figuring things out. He will provide ideas & inspiration...It's up to you to listen.,705,33,10,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAACiA3QBETy4jzuf75LR4Fwzo1Rn39CekCE%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAACiA3QBETy4jzuf75LR4Fwzo1Rn39CekCE&keywords=russell%20brunson&origin=CLUSTER_EXPANSION&position=0&searchId=640633c9-9d32-4ccc-862d-50388095940e&sid=u.P&sortBy=%22date_posted%22
Russell Brunson,Male,2023-07-27,I just found one of my favorite quotes OF ALL TIME!!,686,42,20,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAACiA3QBETy4jzuf75LR4Fwzo1Rn39CekCE%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAACiA3QBETy4jzuf75LR4Fwzo1Rn39CekCE&keywords=russell%20brunson&origin=CLUSTER_EXPANSION&position=0&searchId=640633c9-9d32-4ccc-862d-50388095940e&sid=u.P&sortBy=%22date_posted%22
Russell Brunson,Male,2023-07-27,Sometimes the best things in life come from overcoming the pain you're in... so push beyond it.Use it to fulfill your mission.,656,37,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAACiA3QBETy4jzuf75LR4Fwzo1Rn39CekCE%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAACiA3QBETy4jzuf75LR4Fwzo1Rn39CekCE&keywords=russell%20brunson&origin=CLUSTER_EXPANSION&position=0&searchId=640633c9-9d32-4ccc-862d-50388095940e&sid=u.P&sortBy=%22date_posted%22
Russell Brunson,Male,2023-07-27,Masterminds are SO important…Have you had to opportunity to attend one yet?,648,32,3,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAACiA3QBETy4jzuf75LR4Fwzo1Rn39CekCE%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAACiA3QBETy4jzuf75LR4Fwzo1Rn39CekCE&keywords=russell%20brunson&origin=CLUSTER_EXPANSION&position=0&searchId=640633c9-9d32-4ccc-862d-50388095940e&sid=u.P&sortBy=%22date_posted%22
Russell Brunson,Male,2023-08-27,You need to buy into your own vision before you can expect someone else to.But how do you ensure that you believe in your vision and act on it?Tell me how you do it in the poll below!,604,43,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAACiA3QBETy4jzuf75LR4Fwzo1Rn39CekCE%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAACiA3QBETy4jzuf75LR4Fwzo1Rn39CekCE&keywords=russell%20brunson&origin=CLUSTER_EXPANSION&position=0&searchId=640633c9-9d32-4ccc-862d-50388095940e&sid=u.P&sortBy=%22date_posted%22
Russell Brunson,Male,2023-10-27,"Got an amazing offer, but nobody is taking it?This is probably why.",595,26,10,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAACiA3QBETy4jzuf75LR4Fwzo1Rn39CekCE%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAACiA3QBETy4jzuf75LR4Fwzo1Rn39CekCE&keywords=russell%20brunson&origin=CLUSTER_EXPANSION&position=0&searchId=640633c9-9d32-4ccc-862d-50388095940e&sid=u.P&sortBy=%22date_posted%22
Russell Brunson,Male,2023-07-27,I love Napoleon Hill.He's one of my favorite authors.And although I hear people bring up anti-Napoleon Hill stuff online...I believe there's anti-”everything good”.There's anti-Christ things.There are anti-Mormon things.Anti-everything.For everything I believe in…there are people that believe the opposite out there.But I still choose to believe the things that bring me more faith and hope and happiness and light in my life.You should too.,575,17,1,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAACiA3QBETy4jzuf75LR4Fwzo1Rn39CekCE%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAACiA3QBETy4jzuf75LR4Fwzo1Rn39CekCE&keywords=russell%20brunson&origin=CLUSTER_EXPANSION&position=0&searchId=640633c9-9d32-4ccc-862d-50388095940e&sid=u.P&sortBy=%22date_posted%22
Russell Brunson,Male,2023-09-27,These are 5 things Napoleon Hill said you should STOP doing in order to be successful…,570,43,20,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAACiA3QBETy4jzuf75LR4Fwzo1Rn39CekCE%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAACiA3QBETy4jzuf75LR4Fwzo1Rn39CekCE&keywords=russell%20brunson&origin=CLUSTER_EXPANSION&position=0&searchId=640633c9-9d32-4ccc-862d-50388095940e&sid=u.P&sortBy=%22date_posted%22
Russell Brunson,Male,2023-07-27,"It seems impossible…until you do it :)Here's the story of Roger Bannister, the man who broke the four minute mile, and how it relates to EVERYTHING you do in business…",555,45,11,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAACiA3QBETy4jzuf75LR4Fwzo1Rn39CekCE%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAACiA3QBETy4jzuf75LR4Fwzo1Rn39CekCE&keywords=russell%20brunson&origin=CLUSTER_EXPANSION&position=0&searchId=640633c9-9d32-4ccc-862d-50388095940e&sid=u.P&sortBy=%22date_posted%22
Russell Brunson,Male,2023-07-27,Habits are SO important to follow in order to achieve your goals...What healthy habits have you created?,552,81,11,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAACiA3QBETy4jzuf75LR4Fwzo1Rn39CekCE%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAACiA3QBETy4jzuf75LR4Fwzo1Rn39CekCE&keywords=russell%20brunson&origin=CLUSTER_EXPANSION&position=0&searchId=640633c9-9d32-4ccc-862d-50388095940e&sid=u.P&sortBy=%22date_posted%22
Russell Brunson,Male,2023-07-27,"When I started my business people thought I was crazy.They asked me why I was doing it.It was because of obsession...I remember I was on a wrestling trip.We had a 12-hour van ride up to this wrestling tournament and a 12-hour back, so 24 hours in a van.Before I left, I found a whole bunch of teleseminars of Armand Morin interviewing people on how to start businesses.I took all the teleseminars, burned them on CDs, and I brought a huge case of CDs.I sat in the back of the van listening to these CDs for 12 hours there, 12 hours back.I listened to people talking about how to make money and what they were doing.One of my friends saw me so excited and eyes wide open.He thought I was going to become a psycopath and kill them all.Because I was so excited and didn't slept at all.What he didn't realize was I was learning how to start a business and how to make money.Now, here I am with a business, making money.And so again, people think you're crazy until you execute on it.",532,35,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAACiA3QBETy4jzuf75LR4Fwzo1Rn39CekCE%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAACiA3QBETy4jzuf75LR4Fwzo1Rn39CekCE&keywords=russell%20brunson&origin=CLUSTER_EXPANSION&position=0&searchId=640633c9-9d32-4ccc-862d-50388095940e&sid=u.P&sortBy=%22date_posted%22
