Author,Gender,Date,Post Text,Likes,Comments,Shares,Page Link
Sallie Krawcheck,Male,2024-04-27,"Here's my story (or,  more accurately, one of my stories) of sexual harassment at work. And how I was able to respond.",9596,265,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAApgNwUBrPiN3Ni6Kx0QrLJbAceu1hjwzfc%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAApgNwUBrPiN3Ni6Kx0QrLJbAceu1hjwzfc&keywords=sallie%20krawcheck&origin=CLUSTER_EXPANSION&position=0&searchId=892383d4-ac4d-4f1d-89ae-84463b5a06d9&sid=j1B&sortBy=%22date_posted%22
Sallie Krawcheck,Male,2024-04-27,"Last week I wrote about the biggest mistake I've seen women make in business; this week is a (I think, surprising) quality for success at work. I haven't seen anyone else talking about this.",5251,269,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAApgNwUBrPiN3Ni6Kx0QrLJbAceu1hjwzfc%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAApgNwUBrPiN3Ni6Kx0QrLJbAceu1hjwzfc&keywords=sallie%20krawcheck&origin=CLUSTER_EXPANSION&position=0&searchId=892383d4-ac4d-4f1d-89ae-84463b5a06d9&sid=j1B&sortBy=%22date_posted%22
Sallie Krawcheck,Male,2024-04-27,"Let's face it: in a capitalist society, money is power. And we women have less money than the men in our lives do. One reason: society tells us that talking about it is crass. We're looking to change that!! Hope you'll tune in.",4367,135,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAApgNwUBrPiN3Ni6Kx0QrLJbAceu1hjwzfc%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAApgNwUBrPiN3Ni6Kx0QrLJbAceu1hjwzfc&keywords=sallie%20krawcheck&origin=CLUSTER_EXPANSION&position=0&searchId=892383d4-ac4d-4f1d-89ae-84463b5a06d9&sid=j1B&sortBy=%22date_posted%22
Sallie Krawcheck,Male,2024-04-27,"Ladies, Venus Williams thinks our jobs can be harder than hers. Whaaatt????",4304,479,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAApgNwUBrPiN3Ni6Kx0QrLJbAceu1hjwzfc%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAApgNwUBrPiN3Ni6Kx0QrLJbAceu1hjwzfc&keywords=sallie%20krawcheck&origin=CLUSTER_EXPANSION&position=0&searchId=892383d4-ac4d-4f1d-89ae-84463b5a06d9&sid=j1B&sortBy=%22date_posted%22
Sallie Krawcheck,Male,2024-04-27,"Venture capital is in the spotlight for its treatment of women. Here's my take on how this groundswell is going to drive change in the industry, for the better.",4288,172,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAApgNwUBrPiN3Ni6Kx0QrLJbAceu1hjwzfc%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAApgNwUBrPiN3Ni6Kx0QrLJbAceu1hjwzfc&keywords=sallie%20krawcheck&origin=CLUSTER_EXPANSION&position=0&searchId=892383d4-ac4d-4f1d-89ae-84463b5a06d9&sid=j1B&sortBy=%22date_posted%22
Sallie Krawcheck,Male,2024-04-27,Here's something we don't discuss much; but it's a hazard some professional women face. Interested in your thoughts on this.,3813,327,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAApgNwUBrPiN3Ni6Kx0QrLJbAceu1hjwzfc%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAApgNwUBrPiN3Ni6Kx0QrLJbAceu1hjwzfc&keywords=sallie%20krawcheck&origin=CLUSTER_EXPANSION&position=0&searchId=892383d4-ac4d-4f1d-89ae-84463b5a06d9&sid=j1B&sortBy=%22date_posted%22
Sallie Krawcheck,Male,2024-04-27,"ICYMI: Here is what women have been talking about in their group texts, in the wake of Dr Ford's testimony.     Eyes are opening.",3192,460,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAApgNwUBrPiN3Ni6Kx0QrLJbAceu1hjwzfc%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAApgNwUBrPiN3Ni6Kx0QrLJbAceu1hjwzfc&keywords=sallie%20krawcheck&origin=CLUSTER_EXPANSION&position=0&searchId=892383d4-ac4d-4f1d-89ae-84463b5a06d9&sid=j1B&sortBy=%22date_posted%22
Sallie Krawcheck,Male,2024-04-27,"This week's thoughts on women, money and work: How the means to success in business is changing....and why this is going to work a lot better.",3122,80,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAApgNwUBrPiN3Ni6Kx0QrLJbAceu1hjwzfc%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAApgNwUBrPiN3Ni6Kx0QrLJbAceu1hjwzfc&keywords=sallie%20krawcheck&origin=CLUSTER_EXPANSION&position=0&searchId=892383d4-ac4d-4f1d-89ae-84463b5a06d9&sid=j1B&sortBy=%22date_posted%22
Sallie Krawcheck,Male,2024-04-27,,2734,116,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAApgNwUBrPiN3Ni6Kx0QrLJbAceu1hjwzfc%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAApgNwUBrPiN3Ni6Kx0QrLJbAceu1hjwzfc&keywords=sallie%20krawcheck&origin=CLUSTER_EXPANSION&position=0&searchId=892383d4-ac4d-4f1d-89ae-84463b5a06d9&sid=j1B&sortBy=%22date_posted%22
Sallie Krawcheck,Male,2024-03-27,"Today, Ellevest is announcing $2 billion in client assets under management, on the floor of the New York Stock Exchange. And during Women’s History Month, no less. I couldn't be prouder of the Ellevest team, our clients, our investors and board members, and so many more. Together, we’re planting a flag for all the women who are taking control of their financial futures by investing their money and building their wealth. We can’t say it enough: Nothing bad happens when women have more money.And in case you missed it, we’re just getting started. There’s never been a better time to become an Ellevest client: www.ellevest.com.",2150,146,49,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAApgNwUBrPiN3Ni6Kx0QrLJbAceu1hjwzfc%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAApgNwUBrPiN3Ni6Kx0QrLJbAceu1hjwzfc&keywords=sallie%20krawcheck&origin=CLUSTER_EXPANSION&position=0&searchId=892383d4-ac4d-4f1d-89ae-84463b5a06d9&sid=j1B&sortBy=%22date_posted%22
