Author,Gender,Date,Post Text,Likes,Comments,Shares,Page Link
Sharon Hurley Hall,Female,2023-10-27,This is literally a whole word! Adding it to my personal dictionary.,251,16,5,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAB0e8ABVuvHk1GL7bPB4sMl_bEmmMPoci4%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAB0e8ABVuvHk1GL7bPB4sMl_bEmmMPoci4&keywords=sharon%20hurley%20hall%20(she%2Fher)&origin=CLUSTER_EXPANSION&position=0&searchId=037cf45f-368e-471c-ae0d-6ce59d68386b&sid=O!O&sortBy=%22date_posted%22
Sharon Hurley Hall,Female,2023-08-27,"So, yesterday I started recording the audiobook of I’m Tired of Racism. So exciting!Instructions from the studio were to avoid wearing clothes that rustle and jewellery that jingle. Given that I’m usually in trousers or shorts and tee-shirts and wear silver bobs most of the time, it was easy to meet those requirements.The studio happens to be five minutes from my home at the end of an industrial estate. Despite that, it’s surprisingly quiet. Though it’s pretty unassuming from the outside, the mixing equipment is pretty impressive.I had a flask with a warm honey and lemon drink with me - that worked surprisingly well any time I started feeling a little hoarse. They also supplied water. That initial session was about 4 hours, and I’m doing another 2-hour session today.Once I finish my bit, the sound engineer will go back and edit out any mistakes (he described it as a clean recording, but there were still a few times where I stumbled over words and had to repeat stuff), and then the audio will be mastered. The guy who does the mastering will be out of town for a while, so I may not get the final version till late October, early November. There’s still lots to do in the meantime - audiobook cover design, for example. I’ll keep you posted.",224,75,2,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAB0e8ABVuvHk1GL7bPB4sMl_bEmmMPoci4%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAB0e8ABVuvHk1GL7bPB4sMl_bEmmMPoci4&keywords=sharon%20hurley%20hall%20(she%2Fher)&origin=CLUSTER_EXPANSION&position=0&searchId=037cf45f-368e-471c-ae0d-6ce59d68386b&sid=O!O&sortBy=%22date_posted%22
Sharon Hurley Hall,Female,2023-11-27,"I've been shaken by some recent events, both personal and global, and I've had low capacity to create my own posts. That's how it goes sometimes, and it may last for a while longer.However, I have continued to share and amplify the voices of others, especially those better informed than I am. I saw something on Instagram recently that resonated (and lost it immediately, the feed being what it is). The gist of it was that as welcome as a ""pause"" is, you don't just pause a genocide; you have to stop it completely. I agree.Free Palestine. Permanent ceasefire now!What I said before still stands:I will not celebrate anyone's death.There is no excuse for genocide.There is no excuse for killing innocent civilians. There is no excuse for apartheid. Oppression is wrong. Occupation is wrong. And nothing good ever came from colonialism or imperialism.Finally, a reminder of what I believe and do my best to live: I am against bigotry, racism, discrimination and inequity. I'm for creating equality for deliberately disadvantaged folx and for everyone. I'm committed to continuing to learn and grow and to always doing better. Instant report and block for Islamophobia, antisemitism and hate speech directed at people who face isms.",209,19,13,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAB0e8ABVuvHk1GL7bPB4sMl_bEmmMPoci4%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAB0e8ABVuvHk1GL7bPB4sMl_bEmmMPoci4&keywords=sharon%20hurley%20hall%20(she%2Fher)&origin=CLUSTER_EXPANSION&position=0&searchId=037cf45f-368e-471c-ae0d-6ce59d68386b&sid=O!O&sortBy=%22date_posted%22
Sharon Hurley Hall,Female,2023-09-27,"When someone shares their gender identity or sexuality with me, it's not my job nor is it my place to debate, deny, or diminish. They know themselves best.What I can, should and will do is acknowledge, accept and affirm their identity. (Changed to ""identity"" from ""choice"" - thanks Amanda Vail, MBA, FACHE, LCSW-S)They know themselves best.End of story.P.S. I'm still learning and I still mess up sometimes. I am always grateful to know better so I can do better.",177,17,5,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAB0e8ABVuvHk1GL7bPB4sMl_bEmmMPoci4%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAB0e8ABVuvHk1GL7bPB4sMl_bEmmMPoci4&keywords=sharon%20hurley%20hall%20(she%2Fher)&origin=CLUSTER_EXPANSION&position=0&searchId=037cf45f-368e-471c-ae0d-6ce59d68386b&sid=O!O&sortBy=%22date_posted%22
Sharon Hurley Hall,Female,2024-03-27,"Insightful, as always",160,6,9,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAB0e8ABVuvHk1GL7bPB4sMl_bEmmMPoci4%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAB0e8ABVuvHk1GL7bPB4sMl_bEmmMPoci4&keywords=sharon%20hurley%20hall%20(she%2Fher)&origin=CLUSTER_EXPANSION&position=0&searchId=037cf45f-368e-471c-ae0d-6ce59d68386b&sid=O!O&sortBy=%22date_posted%22
Sharon Hurley Hall,Female,2024-03-27,"Despite what the social media platforms would have you believe, high follower counts don't help you pay the bills. People who support your work with actual money in the form of contracts, projects, speaking engagements, subscriptions, purchases and donations DO help you pay the bills.",142,40,9,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAB0e8ABVuvHk1GL7bPB4sMl_bEmmMPoci4%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAB0e8ABVuvHk1GL7bPB4sMl_bEmmMPoci4&keywords=sharon%20hurley%20hall%20(she%2Fher)&origin=CLUSTER_EXPANSION&position=0&searchId=037cf45f-368e-471c-ae0d-6ce59d68386b&sid=O!O&sortBy=%22date_posted%22
Sharon Hurley Hall,Female,2023-10-27,"""Does your empathy come with conditions?"" I saw this on Instagram this morning, and it felt like a question we should all ask ourselves.Dehumanising people is not the way to go.Genocide is never ok.That is all.",125,18,11,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAB0e8ABVuvHk1GL7bPB4sMl_bEmmMPoci4%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAB0e8ABVuvHk1GL7bPB4sMl_bEmmMPoci4&keywords=sharon%20hurley%20hall%20(she%2Fher)&origin=CLUSTER_EXPANSION&position=0&searchId=037cf45f-368e-471c-ae0d-6ce59d68386b&sid=O!O&sortBy=%22date_posted%22
Sharon Hurley Hall,Female,2023-10-27,"On Saturday, I finally had the Barbados launch of I'm Tired of Racism, released just over a year ago. My gratitude to Kathie Daniel of Southpaw Grafix Inc, who helped pull the launch together, to Professor Emerita Hazel Simmons-McDonald, who shared her view on the book in an excellent presentation, Stephen R. Smith of Pro Photo Studios Barbados, who took these wonderful photographs, my mother Kathleen, my husband Stephen, and my sister-friend Susan, who helped pull everything together before, during and after the launch. And my thanks, of course, to everyone who attended and made it a special event. Image 1 descriptionPhoto of a large rectangular cake iced in black and white, with the image of the cover of I'm Tired of Racism on top. It was as delicious as it looks. Baked by Fosters Bakery in Barbados.Image 2 descriptionLeft, a copy of Exploring Shadeism. Right a copy of I'm Tired of Racism. Both books are upright on picture stands. The cover of Exploring Shadeism features a woman's face divided in half, with one half black and the other white. The cover of I'm Tired of Racism has a black face with a single tear being shed.Image 3 descriptionPhoto of Ms Kathie Daniel, who served as emcee for the launch of I'm Tired of Racism. Ms Daniel is a Black woman with her hair in a bun. She's wearing a top with a variegated pattern. She is standing at a lectern with a mic.Image 4 descriptionPhoto of Professor Hazel Simmons-McDonald, a Black woman wearing a brown top with a variegated black pattern. Professor Simmons-McDonald has her hair in a bun and is wearing glasses. She is smiling. She is standing at a lectern with a mic.Image 5 descriptionPhoto of Sharon Hurley Hall, a Black woman standing at a lectern with a mic. She is wearing a grey tunic top and glasses, and has short natural hair. She is mid-sentence and smiling slightly.Image 6 descriptionPhoto of Sharon Hurley Hall, a Black woman with short natural hair, who is wearing a grey tunic top. She is signing a copy of I'm Tired of Racism with a Sharpie in her left hand. On the table are postcards with quotes from the book.Image 7 descriptionSome of the crowd at the I'm Tired of Racism book launch. They all appear to be listening attentively.",124,33,2,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAB0e8ABVuvHk1GL7bPB4sMl_bEmmMPoci4%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAB0e8ABVuvHk1GL7bPB4sMl_bEmmMPoci4&keywords=sharon%20hurley%20hall%20(she%2Fher)&origin=CLUSTER_EXPANSION&position=0&searchId=037cf45f-368e-471c-ae0d-6ce59d68386b&sid=O!O&sortBy=%22date_posted%22
Sharon Hurley Hall,Female,2023-10-27,"This was just before the Barbados launch of I'm Tired of Racism yesterday. It went very well, though the weather affected attendance. Official photos and unofficial videos coming soon.[Image description: In the foreground copies of I'm Tired of Racism and Exploring Shadeism sit on a table covered with a white tablecloth and black leatherette. In the background, the hall is filled with mostly empty chairs. A white man in a red tee shirt and grey shorts is seated, backing the camera, and in the distance (slightly blurred) there are two Black women chatting.]",118,48,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAB0e8ABVuvHk1GL7bPB4sMl_bEmmMPoci4%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAB0e8ABVuvHk1GL7bPB4sMl_bEmmMPoci4&keywords=sharon%20hurley%20hall%20(she%2Fher)&origin=CLUSTER_EXPANSION&position=0&searchId=037cf45f-368e-471c-ae0d-6ce59d68386b&sid=O!O&sortBy=%22date_posted%22
Sharon Hurley Hall,Female,2023-10-27,"I've been trying to gather my words for days but they remain stubbornly ungathered. So here's where I am: I've felt ill-informed and have been trying to fill my knowledge gaps without resorting to biased media outlets. So I've been listening to and learning from my Muslim and Jewish friends, and will continue to do so.Here are the things I know and hold to:There is no excuse for genocide.There is no excuse for killing innocent civilians. There is no excuse for apartheid. Oppression is wrong. Occupation is wrong. And nothing good ever came from colonialism or imperialism. As a Black woman, watching people spew vitriol on other Global Majority people awakens all kinds of trauma, both generational and from my own experience. The inhumanity of killing innocents is also traumatic.I will not celebrate anyone's death. And I will not countenance Islamophobia or antisemitism. (Immediate block and report if anyone does that on my post.)That is all for now. P.S. I've been following Rahimeh Ramezany 🧕🏻  and Emily O. Weltman, M. Ed. (among many others) as part of questioning all the things and getting better informed. Their posts have a wealth of information, so they're a good place to start if you've been in a similar space.",115,17,4,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAB0e8ABVuvHk1GL7bPB4sMl_bEmmMPoci4%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAB0e8ABVuvHk1GL7bPB4sMl_bEmmMPoci4&keywords=sharon%20hurley%20hall%20(she%2Fher)&origin=CLUSTER_EXPANSION&position=0&searchId=037cf45f-368e-471c-ae0d-6ce59d68386b&sid=O!O&sortBy=%22date_posted%22
