Author,Gender,Date,Post Text,Likes,Comments,Shares,Page Link
Talifhani Banks,Male,2024-04-20,I’m happy to share that I’ve been awarded Honorary Doctor's Degree at Prowess University!,2053,258,14,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABdavMUBYCvGEP3np0tVJAsec91Qzoaep6k%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABdavMUBYCvGEP3np0tVJAsec91Qzoaep6k&keywords=dr.%20talifhani%20banks%20%F0%9F%87%BF%F0%9F%87%A6&origin=CLUSTER_EXPANSION&position=0&searchId=b85add19-6687-4147-9a57-21c5e84674ea&sid=VA2&sortBy=%22date_posted%22
Talifhani Banks,Male,2023-07-27,"Back in 2003 when I stayed with my father at atteridgeville, he used to tell everyone at Transnet my son is the future I’m just here to fulfil the prophecy Best believe I’m mentally ready Spaza Eats  goes live today Download Spaza Eats App now",1325,64,24,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABdavMUBYCvGEP3np0tVJAsec91Qzoaep6k%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABdavMUBYCvGEP3np0tVJAsec91Qzoaep6k&keywords=dr.%20talifhani%20banks%20%F0%9F%87%BF%F0%9F%87%A6&origin=CLUSTER_EXPANSION&position=0&searchId=b85add19-6687-4147-9a57-21c5e84674ea&sid=VA2&sortBy=%22date_posted%22
Talifhani Banks,Male,2023-10-27,"I left corporate at 28 , I am 35 years now group CEO at AnalyticsX Managed to build 2 sustainable companies Analytics Advertising and AnalyticsX I am working on my third company now Spaza Eats with so much potential to become a continental solution. We are already franchising Spaza Eats in 2 counties in the Southern region looking to franchise more in the East and West Africa I’ve been creating sustainable partnerships for Spaza Eats that will shift us to a different quadrant in the next 6 months, Can only be God Mine is another voice in the choir of saints creating jobs directly to those who need them. Africa is blessed with problems and we are the answer 🙏",1217,101,35,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABdavMUBYCvGEP3np0tVJAsec91Qzoaep6k%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABdavMUBYCvGEP3np0tVJAsec91Qzoaep6k&keywords=dr.%20talifhani%20banks%20%F0%9F%87%BF%F0%9F%87%A6&origin=CLUSTER_EXPANSION&position=0&searchId=b85add19-6687-4147-9a57-21c5e84674ea&sid=VA2&sortBy=%22date_posted%22
Talifhani Banks,Male,2024-01-27,"Officially 7 years in business with Pabalelo Banks 🙏💫Yesterday we got a chance to sit in Analytics Advertising management meeting and it’s amazing to see a business flourish without our 100% involvement We are now strongly focused on building Spaza Eats a food , grocery and e-commerce platform that’s already making waves in the country. Creating 351 delivery jobs & bankability to township & city restaurants. We have township restaurants generating over R50 000 in one store , one month. Let’s talk about solving for X yeah 🎯We are soon launching BP express in Gauteng on the Spaza Eats AppAs we continue to optimise our systems with better payment options , AI delivery solutions , We also plan to launch in Limpopo and KZN this Quarter. Managing the group AnalyticsX is another big role we are playing massively to shape the direction of our organisations. We consult in technology, advisory and digitising corporations Looking forward to 2024, our unity is strong to handle the pressure as long as we continue to work with those who are passionate about impact and can get the job done ☑️ . You never really know the true impact you have on those around you 🎯",892,40,7,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABdavMUBYCvGEP3np0tVJAsec91Qzoaep6k%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABdavMUBYCvGEP3np0tVJAsec91Qzoaep6k&keywords=dr.%20talifhani%20banks%20%F0%9F%87%BF%F0%9F%87%A6&origin=CLUSTER_EXPANSION&position=0&searchId=b85add19-6687-4147-9a57-21c5e84674ea&sid=VA2&sortBy=%22date_posted%22
Talifhani Banks,Male,2024-01-27,"The people who told me it won’t work is the experts who haven’t lived in the township. If you are from the township like me, you already know Spaza Eats is a powerful engine for us We are activating the township, creating the economics within one platform.Now our drivers are ready to deliver your grocery & meals in a full gear.Shout out to G.Fox  for sponsoring us with the uniform 🎯",865,70,18,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABdavMUBYCvGEP3np0tVJAsec91Qzoaep6k%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABdavMUBYCvGEP3np0tVJAsec91Qzoaep6k&keywords=dr.%20talifhani%20banks%20%F0%9F%87%BF%F0%9F%87%A6&origin=CLUSTER_EXPANSION&position=0&searchId=b85add19-6687-4147-9a57-21c5e84674ea&sid=VA2&sortBy=%22date_posted%22
Talifhani Banks,Male,2024-01-27,"I always cherish moments with my kids because is the only time I’m not strategic , I’m operating with love beyond conditions. Only time I feel free. Truth be told , I’ve always been aware of my surroundings and ready for war because I’m aware that my spirit is powerful that it affect weak leaders. My sense of urgency comes from a powerful connection with the present.",807,33,1,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABdavMUBYCvGEP3np0tVJAsec91Qzoaep6k%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABdavMUBYCvGEP3np0tVJAsec91Qzoaep6k&keywords=dr.%20talifhani%20banks%20%F0%9F%87%BF%F0%9F%87%A6&origin=CLUSTER_EXPANSION&position=0&searchId=b85add19-6687-4147-9a57-21c5e84674ea&sid=VA2&sortBy=%22date_posted%22
Talifhani Banks,Male,2023-05-27,Great conversation with Penuel Mlotshwa It’s always powerful when brothers connect to create AnalyticsX,797,47,3,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABdavMUBYCvGEP3np0tVJAsec91Qzoaep6k%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABdavMUBYCvGEP3np0tVJAsec91Qzoaep6k&keywords=dr.%20talifhani%20banks%20%F0%9F%87%BF%F0%9F%87%A6&origin=CLUSTER_EXPANSION&position=0&searchId=b85add19-6687-4147-9a57-21c5e84674ea&sid=VA2&sortBy=%22date_posted%22
Talifhani Banks,Male,2023-10-27,Happy birthday to self 🎂,793,112,19,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABdavMUBYCvGEP3np0tVJAsec91Qzoaep6k%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABdavMUBYCvGEP3np0tVJAsec91Qzoaep6k&keywords=dr.%20talifhani%20banks%20%F0%9F%87%BF%F0%9F%87%A6&origin=CLUSTER_EXPANSION&position=0&searchId=b85add19-6687-4147-9a57-21c5e84674ea&sid=VA2&sortBy=%22date_posted%22
Talifhani Banks,Male,2024-02-27,"6 awards in one night , congratulations to us 🥇🥇🥇🥇🥇🥇There’s toomuch light at Analytics Advertising Shout out to the CEO Azola Tshobonga your turn to take it to greater heights “Large corporation” God bless you ✅",775,40,2,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABdavMUBYCvGEP3np0tVJAsec91Qzoaep6k%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABdavMUBYCvGEP3np0tVJAsec91Qzoaep6k&keywords=dr.%20talifhani%20banks%20%F0%9F%87%BF%F0%9F%87%A6&origin=CLUSTER_EXPANSION&position=0&searchId=b85add19-6687-4147-9a57-21c5e84674ea&sid=VA2&sortBy=%22date_posted%22
Talifhani Banks,Male,2024-04-06,IT WAS ALL A DREAM 🇿🇦A BIG thank you 🙏 Bidvest Afcom G.Fox Yamaha Distributors South AfricaIt says a lot when you receive so much support from the GIANTS ✅,713,75,37,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABdavMUBYCvGEP3np0tVJAsec91Qzoaep6k%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABdavMUBYCvGEP3np0tVJAsec91Qzoaep6k&keywords=dr.%20talifhani%20banks%20%F0%9F%87%BF%F0%9F%87%A6&origin=CLUSTER_EXPANSION&position=0&searchId=b85add19-6687-4147-9a57-21c5e84674ea&sid=VA2&sortBy=%22date_posted%22
